Gebied;Specialiteit;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64
België;ALLE APOTHEKERS;18618;12993;5625;647;1845;1336;1440;1508;1495;1129;844;1227;1522;151;523;346;483;445;531;502;435;740
Gewest Vlaanderen;ALLE APOTHEKERS;10941;7571;3370;471;1121;780;836;864;861;667;464;702;805;106;285;174;273;254;269;293;262;513
Gewest Wallonië;ALLE APOTHEKERS;5965;4217;1748;147;522;403;479;532;518;364;294;412;546;38;167;113;154;154;210;165;126;176
Gewest Brussels hoofdstedelijk gewest;ALLE APOTHEKERS;1712;1205;507;29;202;153;125;112;116;98;86;113;171;7;71;59;56;37;52;44;47;51
Prov Vlaams Brabant;ALLE APOTHEKERS;2421;1749;672;98;227;182;210;188;215;161;114;171;183;15;64;44;60;59;66;68;68;80
Prov West-Vlaanderen;ALLE APOTHEKERS;2006;1362;644;90;177;144;147;165;146;115;82;126;170;16;42;24;43;35;43;49;51;109
Prov Oost-Vlaanderen;ALLE APOTHEKERS;2686;1831;855;131;290;155;226;213;210;140;117;168;181;30;68;38;75;79;65;59;61;156
Prov Antwerpen;ALLE APOTHEKERS;2817;1925;892;103;304;222;177;220;209;200;115;179;196;25;87;52;67;67;76;94;69;119
Prov Limburg;ALLE APOTHEKERS;1011;704;307;49;123;77;76;78;81;51;36;58;75;20;24;16;28;14;19;23;13;49
Prov Waals Brabant;ALLE APOTHEKERS;1003;728;275;10;81;68;84;91;108;52;67;77;90;1;21;21;27;34;28;35;19;22
Prov Henegouwen;ALLE APOTHEKERS;1704;1190;514;50;136;104;141;163;137;119;92;129;119;15;49;38;53;44;62;53;38;73
Prov Luik;ALLE APOTHEKERS;2005;1399;606;51;182;137;133;164;161;114;81;119;257;14;64;34;43;46;74;45;43;47
Prov Namen;ALLE APOTHEKERS;883;646;237;28;91;60;94;80;74;60;40;66;53;7;22;14;22;17;31;22;22;24
Prov Luxemburg;ALLE APOTHEKERS;370;254;116;8;32;34;27;34;38;19;14;21;27;1;11;6;9;13;15;10;4;10
Prov Brussels hoofdstedelijk gewest;ALLE APOTHEKERS;1712;1205;507;29;202;153;125;112;116;98;86;113;171;7;71;59;56;37;52;44;47;51
België;GEEN ERKENNING;17370;11963;5407;603;1607;1174;1309;1403;1405;1068;793;1123;1478;150;482;323;463;430;507;488;423;698
België;ZIEKENHUISFARMACIE;1248;1030;218;44;238;162;131;105;90;61;51;104;44;1;41;23;20;15;24;14;12;42
Gewest Vlaanderen;GEEN ERKENNING;10185;6941;3244;447;971;685;754;802;807;628;434;633;780;105;267;161;259;246;260;285;254;484
Gewest Vlaanderen;ZIEKENHUISFARMACIE;756;630;126;24;150;95;82;62;54;39;30;69;25;1;18;13;14;8;9;8;8;29
Gewest Wallonië;GEEN ERKENNING;5581;3900;1681;129;455;356;441;497;485;345;276;388;528;38;149;110;151;148;198;161;124;164
Gewest Wallonië;ZIEKENHUISFARMACIE;384;317;67;18;67;47;38;35;33;19;18;24;18;0;18;3;3;6;12;4;2;12
Gewest Brussels hoofdstedelijk gewest;GEEN ERKENNING;1604;1122;482;27;181;133;114;104;113;95;83;102;170;7;66;52;53;36;49;42;45;50
Gewest Brussels hoofdstedelijk gewest;ZIEKENHUISFARMACIE;108;83;25;2;21;20;11;8;3;3;3;11;1;0;5;7;3;1;3;2;2;1
Prov Vlaams Brabant;GEEN ERKENNING;2271;1624;647;92;204;158;191;180;204;156;109;150;180;14;60;39;58;59;65;65;66;75
Prov Vlaams Brabant;ZIEKENHUISFARMACIE;150;125;25;6;23;24;19;8;11;5;5;21;3;1;4;5;2;0;1;3;2;5
Prov West-Vlaanderen;GEEN ERKENNING;1872;1252;620;88;151;124;132;157;136;108;77;113;166;16;36;23;42;32;41;49;48;103
Prov West-Vlaanderen;ZIEKENHUISFARMACIE;134;110;24;2;26;20;15;8;10;7;5;13;4;0;6;1;1;3;2;0;3;6
Prov Oost-Vlaanderen;GEEN ERKENNING;2476;1653;823;124;237;137;195;197;198;132;112;148;173;30;68;34;68;77;63;58;59;147
Prov Oost-Vlaanderen;ZIEKENHUISFARMACIE;210;178;32;7;53;18;31;16;12;8;5;20;8;0;0;4;7;2;2;1;2;9
Prov Antwerpen;GEEN ERKENNING;2632;1772;860;97;271;198;165;201;194;184;103;169;190;25;82;50;64;65;72;92;68;114
Prov Antwerpen;ZIEKENHUISFARMACIE;185;153;32;6;33;24;12;19;15;16;12;10;6;0;5;2;3;2;4;2;1;5
Prov Limburg;GEEN ERKENNING;934;640;294;46;108;68;71;67;75;48;33;53;71;20;21;15;27;13;19;21;13;45
Prov Limburg;ZIEKENHUISFARMACIE;77;64;13;3;15;9;5;11;6;3;3;5;4;0;3;1;1;1;0;2;0;4
Prov Waals Brabant;GEEN ERKENNING;941;672;269;10;70;57;74;87;103;49;63;71;88;1;20;19;27;34;28;34;18;21
Prov Waals Brabant;ZIEKENHUISFARMACIE;62;56;6;0;11;11;10;4;5;3;4;6;2;0;1;2;0;0;0;1;1;1
Prov Henegouwen;GEEN ERKENNING;1600;1108;492;45;124;91;131;153;130;112;85;123;114;15;46;37;51;42;58;51;38;68
Prov Henegouwen;ZIEKENHUISFARMACIE;104;82;22;5;12;13;10;10;7;7;7;6;5;0;3;1;2;2;4;2;0;5
Prov Luik;GEEN ERKENNING;1885;1305;580;47;157;129;123;150;150;110;79;109;251;14;51;34;43;44;69;45;42;45
Prov Luik;ZIEKENHUISFARMACIE;120;94;26;4;25;8;10;14;11;4;2;10;6;0;13;0;0;2;5;0;1;2
Prov Namen;GEEN ERKENNING;803;575;228;21;74;48;86;74;66;55;35;65;51;7;22;14;21;16;29;21;22;20
Prov Namen;ZIEKENHUISFARMACIE;80;71;9;7;17;12;8;6;8;5;5;1;2;0;0;0;1;1;2;1;0;4
Prov Luxemburg;GEEN ERKENNING;352;240;112;6;30;31;27;33;36;19;14;20;24;1;10;6;9;12;14;10;4;10
Prov Luxemburg;ZIEKENHUISFARMACIE;18;14;4;2;2;3;0;1;2;0;0;1;3;0;1;0;0;1;1;0;0;0
Prov Brussels hoofdstedelijk gewest;GEEN ERKENNING;1604;1122;482;27;181;133;114;104;113;95;83;102;170;7;66;52;53;36;49;42;45;50
Prov Brussels hoofdstedelijk gewest;ZIEKENHUISFARMACIE;108;83;25;2;21;20;11;8;3;3;3;11;1;0;5;7;3;1;3;2;2;1
