territoire;specialite;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;TOUTES SPECIALITES;154;92;62;0;0;73;11;7;1;0;0;0;0;0;1;37;10;7;3;3;1;0;0
Région Flandre;TOUTES SPECIALITES;86;54;32;0;0;45;5;4;0;0;0;0;0;0;0;22;3;4;2;1;0;0;0
Région Wallonie;TOUTES SPECIALITES;39;22;17;0;0;14;4;3;1;0;0;0;0;0;1;11;3;1;0;1;0;0;0
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;29;16;13;0;0;14;2;0;0;0;0;0;0;0;0;4;4;2;1;1;1;0;0
Prov Brabant flamand;TOUTES SPECIALITES;27;16;11;0;0;14;2;0;0;0;0;0;0;0;0;8;2;1;0;0;0;0;0
Prov Flandre occidentale;TOUTES SPECIALITES;8;5;3;0;0;5;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0
Prov Flandre orientale;TOUTES SPECIALITES;21;16;5;0;0;15;0;1;0;0;0;0;0;0;0;3;1;0;0;1;0;0;0
Prov Anvers;TOUTES SPECIALITES;22;14;8;0;0;11;1;2;0;0;0;0;0;0;0;5;0;2;1;0;0;0;0
Prov Limbourg;TOUTES SPECIALITES;8;3;5;0;0;0;2;1;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0
Prov Brabant wallon;TOUTES SPECIALITES;4;2;2;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Prov Hainaut;TOUTES SPECIALITES;7;5;2;0;0;2;1;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Prov Liège;TOUTES SPECIALITES;20;11;9;0;0;8;3;0;0;0;0;0;0;0;1;4;2;1;0;1;0;0;0
Prov Namur;TOUTES SPECIALITES;6;3;3;0;0;2;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Prov Luxembourg;TOUTES SPECIALITES;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;29;16;13;0;0;14;2;0;0;0;0;0;0;0;0;4;4;2;1;1;1;0;0
Belgique;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;27;15;12;0;0;5;8;2;0;0;0;0;0;0;0;4;3;1;1;2;1;0;0
Belgique;GERIATRIE;7;6;1;0;0;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
