territoire;spécialité;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;TOUTES SPECIALITES;8842;4196;4646;46;389;318;395;455;456;659;764;390;324;15;176;178;238;206;274;762;1121;630;1046
Région Flandre;TOUTES SPECIALITES;5218;2485;2733;31;247;167;229;306;261;419;473;192;160;13;117;81;125;115;131;438;719;370;624
Région Wallonie;TOUTES SPECIALITES;2588;1216;1372;10;90;96;110;111;136;181;232;140;110;2;35;55;63;57;91;237;309;214;309
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;1036;495;541;5;52;55;56;38;59;59;59;58;54;0;24;42;50;34;52;87;93;46;113
Prov Brabant flamand;TOUTES SPECIALITES;1180;640;540;5;53;39;59;84;86;108;121;48;37;2;26;18;25;33;28;104;133;69;102
Prov Flandre occidentale;TOUTES SPECIALITES;968;425;543;9;47;31;46;53;32;60;85;28;34;2;12;14;19;14;20;66;154;84;158
Prov Flandre orientale;TOUTES SPECIALITES;1125;534;591;7;62;31;49;67;52;77;92;51;46;5;33;17;31;30;31;86;142;85;131
Prov Anvers;TOUTES SPECIALITES;1290;593;697;4;60;44;43;60;66;126;111;45;34;3;30;23;31;26;42;122;190;79;151
Prov Limbourg;TOUTES SPECIALITES;655;293;362;6;25;22;32;42;25;48;64;20;9;1;16;9;19;12;10;60;100;53;82
Prov Brabant wallon;TOUTES SPECIALITES;524;286;238;1;12;17;25;29;34;37;60;38;33;0;6;9;9;14;16;35;51;38;60
Prov Hainaut;TOUTES SPECIALITES;677;305;372;5;22;23;22;33;34;49;64;33;20;2;9;19;12;17;23;51;96;57;86
Prov Liège;TOUTES SPECIALITES;916;405;511;2;40;46;43;31;42;55;74;45;27;0;17;21;28;14;34;101;108;75;113
Prov Namur;TOUTES SPECIALITES;315;145;170;1;8;8;13;14;16;26;21;16;22;0;2;5;12;8;10;33;31;29;40
Prov Luxembourg;TOUTES SPECIALITES;156;75;81;1;8;2;7;4;10;14;13;8;8;0;1;1;2;4;8;17;23;15;10
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;1036;495;541;5;52;55;56;38;59;59;59;58;54;0;24;42;50;34;52;87;93;46;113
