territoire;specialite;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;TOUTES SPECIALITES;8555;3998;4557;34;368;270;439;447;531;692;694;276;247;16;143;180;225;205;394;949;1037;523;885
Région Flandre;TOUTES SPECIALITES;5009;2344;2665;28;213;145;257;284;327;416;429;127;118;12;90;76;129;94;204;548;686;296;530
Région Wallonie;TOUTES SPECIALITES;2535;1175;1360;5;96;81;126;124;135;221;202;101;84;3;26;62;52;71;130;304;278;178;256
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;1011;479;532;1;59;44;56;39;69;55;63;48;45;1;27;42;44;40;60;97;73;49;99
Prov Brabant flamand;TOUTES SPECIALITES;1140;617;523;7;43;43;70;81;92;114;107;25;35;2;19;15;29;30;51;116;128;50;83
Prov Flandre occidentale;TOUTES SPECIALITES;932;396;536;6;45;25;53;48;34;75;65;26;19;1;10;17;18;14;22;101;148;77;128
Prov Flandre orientale;TOUTES SPECIALITES;1075;498;577;6;46;31;55;62;66;68;98;39;27;3;26;15;36;17;50;103;148;62;117
Prov Anvers;TOUTES SPECIALITES;1239;560;679;6;55;25;45;62;100;107;104;24;32;4;24;16;31;27;62;158;160;65;132
Prov Limbourg;TOUTES SPECIALITES;623;273;350;3;24;21;34;31;35;52;55;13;5;2;11;13;15;6;19;70;102;42;70
Prov Brabant wallon;TOUTES SPECIALITES;503;274;229;0;16;18;24;35;32;45;55;22;27;0;5;8;9;15;22;40;46;36;48
Prov Hainaut;TOUTES SPECIALITES;668;302;366;2;24;17;33;39;32;63;53;22;17;1;8;19;10;20;35;71;92;44;66
Prov Liège;TOUTES SPECIALITES;906;393;513;1;48;37;46;26;44;79;57;35;20;2;13;25;20;22;45;133;93;63;97
Prov Namur;TOUTES SPECIALITES;310;142;168;2;6;7;15;18;19;20;23;17;15;0;0;9;9;9;19;32;35;19;36
Prov Luxembourg;TOUTES SPECIALITES;148;64;84;0;2;2;8;6;8;14;14;5;5;0;0;1;4;5;9;28;12;16;9
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;1011;479;532;1;59;44;56;39;69;55;63;48;45;1;27;42;44;40;60;97;73;49;99
Belgique;DENTISTERIE GENERALE;7997;3635;4362;34;345;226;393;395;458;651;637;261;235;16;136;159;200;190;370;911;998;508;874
Belgique;PARODONTOLOGIE;146;82;64;0;8;14;19;16;18;3;3;1;0;0;6;8;12;7;13;9;7;2;0
Belgique;ORTHODONTIE;412;281;131;0;15;30;27;36;55;38;54;14;12;0;1;13;13;8;11;29;32;13;11
Région Flandre;DENTISTERIE GENERALE;4661;2120;2541;28;199;121;231;254;278;389;386;122;112;12;84;63;115;82;193;522;658;291;521
Région Flandre;PARODONTOLOGIE;105;60;45;0;5;7;13;13;15;3;3;1;0;0;6;5;8;6;6;8;5;1;0
Région Flandre;ORTHODONTIE;243;164;79;0;9;17;13;17;34;24;40;4;6;0;0;8;6;6;5;18;23;4;9
Région Wallonie;DENTISTERIE GENERALE;2382;1073;1309;5;90;66;114;104;122;210;192;91;79;3;25;56;47;69;119;296;268;171;255
Région Wallonie;PARODONTOLOGIE;28;15;13;0;2;5;3;3;2;0;0;0;0;0;0;3;2;1;5;0;2;0;0
Région Wallonie;ORTHODONTIE;125;87;38;0;4;10;9;17;11;11;10;10;5;0;1;3;3;1;6;8;8;7;1
Région Région de Bruxelles-capitale;DENTISTERIE GENERALE;954;442;512;1;56;39;48;37;58;52;59;48;44;1;27;40;38;39;58;93;72;46;98
Région Région de Bruxelles-capitale;PARODONTOLOGIE;13;7;6;0;1;2;3;0;1;0;0;0;0;0;0;0;2;0;2;1;0;1;0
Région Région de Bruxelles-capitale;ORTHODONTIE;44;30;14;0;2;3;5;2;10;3;4;0;1;0;0;2;4;1;0;3;1;2;1
Prov Brabant flamand;DENTISTERIE GENERALE;1042;554;488;7;41;38;63;70;81;106;93;24;31;2;18;13;24;27;47;108;120;48;81
Prov Brabant flamand;PARODONTOLOGIE;32;17;15;0;1;1;3;5;3;1;3;0;0;0;1;0;2;3;3;3;2;1;0
Prov Brabant flamand;ORTHODONTIE;66;46;20;0;1;4;4;6;8;7;11;1;4;0;0;2;3;0;1;5;6;1;2
Prov Flandre occidentale;DENTISTERIE GENERALE;880;364;516;6;43;21;47;45;30;69;59;25;19;1;8;16;15;10;21;97;146;77;125
Prov Flandre occidentale;PARODONTOLOGIE;16;10;6;0;1;0;4;2;2;1;0;0;0;0;2;1;1;0;1;1;0;0;0
Prov Flandre occidentale;ORTHODONTIE;36;22;14;0;1;4;2;1;2;5;6;1;0;0;0;0;2;4;0;3;2;0;3
Prov Flandre orientale;DENTISTERIE GENERALE;997;450;547;6;42;24;51;52;56;65;91;37;26;3;24;10;33;14;46;96;145;60;116
Prov Flandre orientale;PARODONTOLOGIE;25;14;11;0;3;2;1;5;3;0;0;0;0;0;2;2;2;2;2;0;1;0;0
Prov Flandre orientale;ORTHODONTIE;53;34;19;0;1;5;3;5;7;3;7;2;1;0;0;3;1;1;2;7;2;2;1
Prov Anvers;DENTISTERIE GENERALE;1155;504;651;6;51;19;38;57;82;101;96;23;31;4;23;12;29;26;60;152;151;65;129
Prov Anvers;PARODONTOLOGIE;22;13;9;0;0;4;3;1;4;0;0;1;0;0;1;1;2;0;0;3;2;0;0
