gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle vroedvrouwen;12482;12376;106;878;2128;1925;1449;1195;914;1011;1185;802;889;1;6;7;4;12;14;18;23;18;3
Vlaams Gewest;Alle vroedvrouwen;8579;8511;68;688;1420;1263;1057;893;590;688;830;534;548;1;3;4;3;5;8;16;17;9;2
Waals Gewest;Alle vroedvrouwen;3086;3057;29;148;505;478;317;250;286;286;287;230;270;0;1;2;0;6;4;1;6;8;1
Brussels Hoofdstedelijk Gewest;Alle vroedvrouwen;817;808;9;42;203;184;75;52;38;37;68;38;71;0;2;1;1;1;2;1;0;1;0
Vlaams Brabant;Alle vroedvrouwen;1627;1609;18;120;263;267;192;151;119;130;161;101;105;0;1;1;1;1;3;3;4;3;1
West-Vlaanderen;Alle vroedvrouwen;1698;1687;11;155;294;231;195;150;127;139;161;129;106;0;1;1;0;0;0;2;5;2;0
Oost-Vlaanderen;Alle vroedvrouwen;1768;1750;18;136;329;294;232;224;122;141;139;76;57;1;0;1;0;3;2;7;4;0;0
Antwerpen;Alle vroedvrouwen;2307;2293;14;155;365;321;279;253;145;192;243;154;186;0;1;1;2;1;1;2;3;2;1
Limburg;Alle vroedvrouwen;1179;1172;7;122;169;150;159;115;77;86;126;74;94;0;0;0;0;0;2;2;1;2;0
Waals Brabant;Alle vroedvrouwen;438;434;4;21;63;74;42;28;34;52;41;32;47;0;0;0;0;0;0;0;1;2;1
Henegouwen;Alle vroedvrouwen;936;925;11;49;133;146;92;80;98;104;83;80;60;0;1;0;0;1;2;1;1;5;0
Luik;Alle vroedvrouwen;918;907;11;42;155;147;113;79;82;69;78;63;79;0;0;1;0;5;2;0;3;0;0
Namen;Alle vroedvrouwen;534;533;1;24;101;81;52;40;46;36;55;34;64;0;0;0;0;0;0;0;1;0;0
Luxemburg;Alle vroedvrouwen;260;258;2;12;53;30;18;23;26;25;30;21;20;0;0;1;0;0;0;0;0;1;0
Brussels Hoofdstedelijk Gewest;Alle vroedvrouwen;817;808;9;42;203;184;75;52;38;37;68;38;71;0;2;1;1;1;2;1;0;1;0
België;Zonder toelating om voor te schrijven;11124;11026;98;635;1619;1717;1315;1100;854;972;1141;786;887;1;3;5;4;12;13;18;23;16;3
Vlaams Gewest;Zonder toelating om voor te schrijven;7917;7853;64;558;1209;1169;971;836;561;670;805;526;548;1;1;3;3;5;7;16;17;9;2
Waals Gewest;Zonder toelating om voor te schrijven;2601;2576;25;58;301;410;285;227;264;266;271;225;269;0;0;1;0;6;4;1;6;6;1
Brussels Hoofdstedelijk Gewest;Zonder toelating om voor te schrijven;606;597;9;19;109;138;59;37;29;36;65;35;70;0;2;1;1;1;2;1;0;1;0
Vlaams Brabant;Zonder toelating om voor te schrijven;1461;1443;18;99;218;238;168;131;110;125;151;98;105;0;1;1;1;1;3;3;4;3;1
West-Vlaanderen;Zonder toelating om voor te schrijven;1588;1578;10;128;255;219;183;140;124;137;159;127;106;0;0;1;0;0;0;2;5;2;0
Oost-Vlaanderen;Zonder toelating om voor te schrijven;1606;1588;18;98;277;275;213;212;114;135;133;74;57;1;0;1;0;3;2;7;4;0;0
Antwerpen;Zonder toelating om voor te schrijven;2165;2154;11;129;322;298;258;243;138;189;238;153;186;0;0;0;2;1;0;2;3;2;1
Limburg;Zonder toelating om voor te schrijven;1097;1090;7;104;137;139;149;110;75;84;124;74;94;0;0;0;0;0;2;2;1;2;0
Waals Brabant;Zonder toelating om voor te schrijven;367;363;4;10;33;62;38;25;28;49;40;31;47;0;0;0;0;0;0;0;1;2;1
Henegouwen;Zonder toelating om voor te schrijven;764;756;8;15;74;117;78;74;89;95;75;79;60;0;0;0;0;1;2;1;1;3;0
Luik;Zonder toelating om voor te schrijven;825;815;10;22;114;141;107;74;76;66;75;62;78;0;0;0;0;5;2;0;3;0;0
Namen;Zonder toelating om voor te schrijven;440;439;1;6;56;68;45;34;45;35;54;32;64;0;0;0;0;0;0;0;1;0;0
Luxemburg;Zonder toelating om voor te schrijven;205;203;2;5;24;22;17;20;26;21;27;21;20;0;0;1;0;0;0;0;0;1;0
Brussels Hoofdstedelijk Gewest;Zonder toelating om voor te schrijven;606;597;9;19;109;138;59;37;29;36;65;35;70;0;2;1;1;1;2;1;0;1;0
België;Voorschrift geneesmiddelen;1358;1350;8;243;509;208;134;95;60;39;44;16;2;0;3;2;0;0;1;0;0;2;0
