gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;man_min25;man_25-29;man_30-34;man_35-39;man_40-44
België;Alle specialiteiten;348;226;122;83;101;20;12;4;3;1;1;1;32;50;27;9;4
België;Algemeen tandarts;267;175;92;70;65;18;12;4;3;1;1;1;23;34;22;9;4
België;Parodontologie;28;11;17;4;6;1;0;0;0;0;0;0;5;10;2;0;0
België;Orthodontie;53;40;13;9;30;1;0;0;0;0;0;0;4;6;3;0;0
Vlaams Gewest;Alle specialiteiten;192;133;59;65;52;8;4;3;0;1;0;0;24;17;12;3;3
Vlaams Gewest;Algemeen tandarts;139;95;44;54;27;6;4;3;0;1;0;0;19;10;9;3;3
Vlaams Gewest;Parodontologie;20;10;10;4;5;1;0;0;0;0;0;0;3;5;2;0;0
Vlaams Gewest;Orthodontie;33;28;5;7;20;1;0;0;0;0;0;0;2;2;1;0;0
Waals Gewest;Alle specialiteiten;69;43;26;11;23;3;5;0;1;0;0;0;5;12;4;4;1
Waals Gewest;Algemeen tandarts;55;36;19;9;18;3;5;0;1;0;0;0;2;8;4;4;1
Waals Gewest;Parodontologie;4;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0
Waals Gewest;Orthodontie;10;7;3;2;5;0;0;0;0;0;0;0;1;2;0;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;87;50;37;7;26;9;3;1;2;0;1;1;3;21;11;2;0
Brussels Hoofdstedelijk Gewest;Algemeen tandarts;73;44;29;7;20;9;3;1;2;0;1;1;2;16;9;2;0
Brussels Hoofdstedelijk Gewest;Parodontologie;4;1;3;0;1;0;0;0;0;0;0;0;0;3;0;0;0
Brussels Hoofdstedelijk Gewest;Orthodontie;10;5;5;0;5;0;0;0;0;0;0;0;1;2;2;0;0
Vlaams Brabant;Alle specialiteiten;62;45;17;16;22;4;2;0;0;1;0;0;4;7;5;0;1
Vlaams Brabant;Algemeen tandarts;40;31;9;12;12;4;2;0;0;1;0;0;2;4;2;0;1
Vlaams Brabant;Parodontologie;11;4;7;2;2;0;0;0;0;0;0;0;2;3;2;0;0
Vlaams Brabant;Orthodontie;11;10;1;2;8;0;0;0;0;0;0;0;0;0;1;0;0
West-Vlaanderen;Alle specialiteiten;27;16;11;11;4;0;0;1;0;0;0;0;7;2;1;1;0
West-Vlaanderen;Algemeen tandarts;21;13;8;10;2;0;0;1;0;0;0;0;6;0;1;1;0
West-Vlaanderen;Parodontologie;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
West-Vlaanderen;Orthodontie;5;3;2;1;2;0;0;0;0;0;0;0;1;1;0;0;0
Oost-Vlaanderen;Alle specialiteiten;53;38;15;22;12;4;0;0;0;0;0;0;10;1;1;2;1
Oost-Vlaanderen;Algemeen tandarts;35;23;12;17;4;2;0;0;0;0;0;0;8;0;1;2;1
Oost-Vlaanderen;Parodontologie;7;5;2;2;2;1;0;0;0;0;0;0;1;1;0;0;0
Oost-Vlaanderen;Orthodontie;11;10;1;3;6;1;0;0;0;0;0;0;1;0;0;0;0
Antwerpen;Alle specialiteiten;43;29;14;12;13;0;2;2;0;0;0;0;3;7;4;0;0
Antwerpen;Algemeen tandarts;37;24;13;11;9;0;2;2;0;0;0;0;3;6;4;0;0
Antwerpen;Orthodontie;6;5;1;1;4;0;0;0;0;0;0;0;0;1;0;0;0
Limburg;Alle specialiteiten;7;5;2;4;1;0;0;0;0;0;0;0;0;0;1;0;1
Limburg;Algemeen tandarts;6;4;2;4;0;0;0;0;0;0;0;0;0;0;1;0;1
Limburg;Parodontologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Waals Brabant;Alle specialiteiten;7;6;1;3;3;0;0;0;0;0;0;0;0;1;0;0;0
Waals Brabant;Algemeen tandarts;6;5;1;3;2;0;0;0;0;0;0;0;0;1;0;0;0
Waals Brabant;Orthodontie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Henegouwen;Alle specialiteiten;16;9;7;3;2;1;2;0;1;0;0;0;0;4;2;1;0
Henegouwen;Algemeen tandarts;16;9;7;3;2;1;2;0;1;0;0;0;0;4;2;1;0
Luik;Alle specialiteiten;40;23;17;4;15;2;2;0;0;0;0;0;5;7;2;2;1
Luik;Algemeen tandarts;29;19;10;3;12;2;2;0;0;0;0;0;2;3;2;2;1
Luik;Parodontologie;4;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0
Luik;Orthodontie;7;4;3;1;3;0;0;0;0;0;0;0;1;2;0;0;0
Namen;Alle specialiteiten;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Namen;Orthodontie;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Luxemburg;Alle specialiteiten;4;3;1;0;2;0;1;0;0;0;0;0;0;0;0;1;0
Luxemburg;Algemeen tandarts;4;3;1;0;2;0;1;0;0;0;0;0;0;0;0;1;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;87;50;37;7;26;9;3;1;2;0;1;1;3;21;11;2;0
Brussels Hoofdstedelijk Gewest;Algemeen tandarts;73;44;29;7;20;9;3;1;2;0;1;1;2;16;9;2;0
Brussels Hoofdstedelijk Gewest;Parodontologie;4;1;3;0;1;0;0;0;0;0;0;0;0;3;0;0;0
Brussels Hoofdstedelijk Gewest;Orthodontie;10;5;5;0;5;0;0;0;0;0;0;0;1;2;2;0;0
