territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Toutes les spécialités;6689;3877;2812;353;2627;771;70;28;16;8;3;1;209;1846;648;65;22;10;6;3;2;1
Belgique;Gériatrie;137;101;36;3;58;38;1;1;0;0;0;0;1;21;12;2;0;0;0;0;0;0
Belgique;Médecine d'urgence;585;349;236;27;217;89;10;3;2;1;0;0;9;126;81;12;2;4;1;0;1;0
Belgique;Médecine légale;14;10;4;1;5;4;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0
Belgique;Gestion des données de santé;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgique;Anesthésie-réanimation;616;265;351;12;184;59;7;3;0;0;0;0;22;246;73;7;3;0;0;0;0;0
Belgique;Chirurgie;395;208;187;19;134;53;0;2;0;0;0;0;14;123;49;1;0;0;0;0;0;0
Belgique;Neurochirurgie;74;26;48;3;16;7;0;0;0;0;0;0;1;33;13;1;0;0;0;0;0;0
Belgique;Chirurgie plastique, reconstructive et esthétique;71;38;33;5;24;9;0;0;0;0;0;0;3;16;13;1;0;0;0;0;0;0
Belgique;Urologie;165;77;88;5;50;21;1;0;0;0;0;0;6;54;27;1;0;0;0;0;0;0
Belgique;Orthopédie;314;84;230;6;49;27;2;0;0;0;0;0;15;146;63;6;0;0;0;0;0;0
Belgique;Neurologie;201;129;72;13;91;20;4;1;0;0;0;0;9;53;10;0;0;0;0;0;0;0
Belgique;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;148;125;23;8;92;21;2;2;0;0;0;0;2;17;4;0;0;0;0;0;0;0
Belgique;Psychiatrie, particulièrement en psychiatrie adulte;333;192;141;12;144;28;6;2;0;0;0;0;8;98;32;1;2;0;0;0;0;0
Belgique;Pneumologie;104;64;40;1;38;25;0;0;0;0;0;0;1;26;13;0;0;0;0;0;0;0
Belgique;Gastro-entérologie;144;90;54;1;49;38;1;0;1;0;0;0;2;31;21;0;0;0;0;0;0;0
Belgique;Cardiologie;161;65;96;3;29;33;0;0;0;0;0;0;1;59;34;2;0;0;0;0;0;0
Belgique;Médecine interne;883;503;380;77;387;38;1;0;0;0;0;0;54;277;45;3;0;1;0;0;0;0
Belgique;Rhumatologie;46;30;16;0;12;18;0;0;0;0;0;0;1;9;6;0;0;0;0;0;0;0
Belgique;Médecine aiguë;6;2;4;0;1;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
Belgique;Gynécologie-obstétrique;348;306;42;34;220;47;4;1;0;0;0;0;1;28;11;1;1;0;0;0;0;0
Belgique;Ophtalmologie;166;91;75;18;66;6;1;0;0;0;0;0;10;56;8;1;0;0;0;0;0;0
Belgique;Oto-rhino-laryngologie;147;95;52;10;76;8;1;0;0;0;0;0;5;40;6;1;0;0;0;0;0;0
Belgique;Stomatologie;76;30;46;4;20;6;0;0;0;0;0;0;3;37;5;1;0;0;0;0;0;0
Belgique;Dermato-vénéréologie;140;120;20;14;91;14;1;0;0;0;0;0;1;14;5;0;0;0;0;0;0;0
Belgique;Pédiatrie;498;424;74;52;310;59;3;0;0;0;0;0;5;54;14;1;0;0;0;0;0;0
Belgique;Médecine physique et réadaptation;135;68;67;3;54;9;0;1;0;1;0;0;5;46;16;0;0;0;0;0;0;0
Belgique;Biologie clinique;72;30;42;3;18;6;1;2;0;0;0;0;3;29;7;2;0;1;0;0;0;0
Belgique;Radiodiagnostic;296;108;188;11;76;15;3;2;1;0;0;0;18;130;30;6;4;0;0;0;0;0
Belgique;Radiothérapie-oncologie;60;30;30;3;19;8;0;0;0;0;0;0;3;16;9;2;0;0;0;0;0;0
Belgique;Médecine nucléaire;42;16;26;1;14;0;1;0;0;0;0;0;5;12;9;0;0;0;0;0;0;0
Belgique;Anatomie pathologique;72;49;23;1;32;13;1;2;0;0;0;0;1;17;4;1;0;0;0;0;0;0
Belgique;Oncologie médicale;61;39;22;2;24;12;1;0;0;0;0;0;0;10;12;0;0;0;0;0;0;0
Belgique;Génétique clinique;37;27;10;1;13;10;1;1;1;0;0;0;0;5;2;3;0;0;0;0;0;0
Belgique;Médecine du travail;131;81;50;0;13;29;15;4;10;6;3;1;0;12;10;8;9;4;5;1;1;0
Belgique;Médecine d'assurance et expertise médicale;10;4;6;0;1;0;2;1;0;0;0;0;0;0;1;1;1;0;0;2;0;1
Région flamande;Toutes les spécialités;3475;2003;1472;206;1389;344;32;18;7;5;2;0;135;998;291;25;13;3;5;2;0;0
Région flamande;Gériatrie;53;38;15;0;24;14;0;0;0;0;0;0;0;10;4;1;0;0;0;0;0;0
Région flamande;Médecine d'urgence;256;156;100;19;99;34;3;1;0;0;0;0;6;60;28;3;2;0;1;0;0;0
Région flamande;Médecine légale;9;7;2;1;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Région flamande;Anesthésie-réanimation;322;141;181;7;100;26;5;3;0;0;0;0;13;126;36;3;3;0;0;0;0;0
Région flamande;Chirurgie;195;102;93;7;68;25;0;2;0;0;0;0;6;66;21;0;0;0;0;0;0;0
Région flamande;Neurochirurgie;46;14;32;3;8;3;0;0;0;0;0;0;1;24;7;0;0;0;0;0;0;0
Région flamande;Chirurgie plastique, reconstructive et esthétique;43;22;21;4;14;4;0;0;0;0;0;0;2;10;8;1;0;0;0;0;0;0
Région flamande;Urologie;105;50;55;4;34;12;0;0;0;0;0;0;5;34;15;1;0;0;0;0;0;0
Région flamande;Orthopédie;166;40;126;2;26;11;1;0;0;0;0;0;12;85;27;2;0;0;0;0;0;0
Région flamande;Neurologie;107;70;37;9;45;11;4;1;0;0;0;0;7;28;2;0;0;0;0;0;0;0
Région flamande;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;79;64;15;6;48;9;0;1;0;0;0;0;2;10;3;0;0;0;0;0;0;0
Région flamande;Psychiatrie, particulièrement en psychiatrie adulte;194;108;86;9;80;12;5;2;0;0;0;0;6;61;18;0;1;0;0;0;0;0
Région flamande;Pneumologie;49;29;20;0;20;9;0;0;0;0;0;0;0;13;7;0;0;0;0;0;0;0
Région flamande;Gastro-entérologie;73;48;25;0;29;18;0;0;1;0;0;0;0;15;10;0;0;0;0;0;0;0
Région flamande;Cardiologie;64;25;39;0;14;11;0;0;0;0;0;0;0;22;16;1;0;0;0;0;0;0
Région flamande;Médecine interne;498;294;204;47;226;20;1;0;0;0;0;0;33;148;21;1;0;1;0;0;0;0
Région flamande;Rhumatologie;22;12;10;0;5;7;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0
Région flamande;Médecine aiguë;5;2;3;0;1;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Région flamande;Gynécologie-obstétrique;177;156;21;19;111;24;1;1;0;0;0;0;0;15;5;0;1;0;0;0;0;0
Région flamande;Ophtalmologie;95;60;35;11;45;4;0;0;0;0;0;0;6;28;1;0;0;0;0;0;0;0
Région flamande;Oto-rhino-laryngologie;91;66;25;9;52;5;0;0;0;0;0;0;3;19;2;1;0;0;0;0;0;0
Région flamande;Stomatologie;48;18;30;1;15;2;0;0;0;0;0;0;2;26;2;0;0;0;0;0;0;0
Région flamande;Dermato-vénéréologie;78;68;10;9;52;7;0;0;0;0;0;0;1;7;2;0;0;0;0;0;0;0
Région flamande;Pédiatrie;231;198;33;26;147;24;1;0;0;0;0;0;4;23;6;0;0;0;0;0;0;0
Région flamande;Médecine physique et réadaptation;79;43;36;2;35;4;0;1;0;1;0;0;4;23;9;0;0;0;0;0;0;0
