Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Homme;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22
;;;Femme;Homme;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
Belgique;Toutes les spécialités;31416.0;14085;17331;33;1731;2154;1770;1907;1824;1430;1124;2112;27;1233;1372;1185;1531;1591;1782;2115;6495
;Gériatrie;432.0;287;145;0;48;61;44;40;41;24;13;16;0;13;9;15;9;13;9;20;57
;Médecine d'urgence;421.0;210;211;0;68;75;38;11;11;5;2;0;0;65;62;30;21;20;6;4;3
;Médecine légale;14.0;5;9;0;1;2;0;2;0;0;0;0;0;0;1;2;2;0;0;1;3
;Gestion des données de santé;57.0;22;35;0;0;0;0;1;2;7;8;4;0;0;0;1;1;4;7;11;11
;Anesthésie-réanimation;2963.0;1237;1726;3;144;218;152;160;171;119;69;201;0;219;193;152;193;207;188;188;386
;Chirurgie;1841.0;436;1405;0;55;95;63;61;56;32;24;50;0;63;111;105;127;140;141;161;557
;Neurochirurgie;265.0;37;228;0;4;13;2;3;7;6;2;0;0;16;31;23;32;29;19;20;58
;"Chirurgie plastique, reconstructive et
esthétique";313.0;89;224;0;15;16;12;10;7;8;9;12;0;17;21;28;19;27;27;31;54
;Urologie;550.0;98;452;0;22;21;19;15;7;7;5;2;0;30;58;32;46;53;37;48;148
;Orthopédie;1351.0;168;1183;0;34;27;30;15;25;12;9;16;0;85;121;100;128;109;125;160;355
;Neurologie;735.0;382;353;1;67;68;63;50;43;40;21;29;0;30;32;30;48;32;44;49;88
;Psychiatrie;921.0;427;494;0;1;5;10;29;95;113;77;97;0;0;3;2;23;65;84;74;243
