territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Tous les kinésithérapeutes;35533;21238;14295;1316;3544;1851;1988;2630;2168;2043;2094;1604;2000;678;2127;1000;902;1642;1325;1248;1486;1477;2410
Région flamande;Tous les kinésithérapeutes;19927;12304;7623;729;1907;1042;1278;1716;1370;1145;1201;911;1005;308;1000;445;515;921;693;644;833;860;1404
Région wallonne;Tous les kinésithérapeutes;12707;7240;5467;479;1269;641;614;804;683;762;734;539;715;300;861;393;303;625;565;518;559;511;832
Région de Bruxelles Capitale;Tous les kinésithérapeutes;2899;1694;1205;108;368;168;96;110;115;136;159;154;280;70;266;162;84;96;67;86;94;106;174
Brabant flamand;Tous les kinésithérapeutes;4287;2726;1561;162;451;234;286;340;291;270;255;222;215;61;225;109;105;206;134;138;148;183;252
Flandre occidentale;Tous les kinésithérapeutes;3759;2182;1577;139;309;133;213;345;243;209;222;165;204;60;134;63;105;195;148;135;217;174;346
Flandre orientale;Tous les kinésithérapeutes;4574;2941;1633;162;428;254;327;443;321;271;276;205;254;68;202;74;105;203;140;167;185;191;298
Anvers;Tous les kinésithérapeutes;4861;3020;1841;188;473;275;312;382;335;287;329;214;225;80;265;134;122;193;173;136;198;205;335
Limbourg;Tous les kinésithérapeutes;2446;1435;1011;78;246;146;140;206;180;108;119;105;107;39;174;65;78;124;98;68;85;107;173
Brabant Wallon;Tous les kinésithérapeutes;2198;1397;801;81;217;114;107;163;111;143;172;121;168;44;142;67;39;100;85;66;90;70;98
Hainaut;Tous les kinésithérapeutes;3863;1978;1885;121;319;153;162;216;201;216;216;134;240;94;276;124;88;198;197;162;204;174;368
Liège;Tous les kinésithérapeutes;3678;2143;1535;150;388;193;189;232;200;233;200;178;180;83;236;99;98;174;170;166;154;157;198
Namur;Tous les kinésithérapeutes;1801;1024;777;70;190;87;86;103;103;115;100;73;97;35;111;54;34;107;76;81;75;84;120
Luxembourg;Tous les kinésithérapeutes;1167;698;469;57;155;94;70;90;68;55;46;33;30;44;96;49;44;46;37;43;36;26;48
Région de Bruxelles Capitale;Tous les kinésithérapeutes;2899;1694;1205;108;368;168;96;110;115;136;159;154;280;70;266;162;84;96;67;86;94;106;174
Belgique;Sans qualification professionnelle particulière (QPP);32498;19079;13419;1316;3115;1428;1639;2318;1951;1846;1943;1537;1986;678;2011;870;783;1495;1225;1161;1403;1413;2380
Région flamande;Sans qualification professionnelle particulière (QPP);17507;10585;6922;729;1558;689;1005;1473;1185;998;1093;863;992;308;906;349;416;809;609;573;764;809;1379
Région wallonne;Sans qualification professionnelle particulière (QPP);12233;6895;5338;479;1202;600;553;747;655;719;702;524;714;300;846;369;289;600;551;508;548;499;828
Région de Bruxelles Capitale;Sans qualification professionnelle particulière (QPP);2758;1599;1159;108;355;139;81;98;111;129;148;150;280;70;259;152;78;86;65;80;91;105;173
Brabant flamand;Sans qualification professionnelle particulière (QPP);3816;2388;1428;162;393;154;232;286;253;246;237;210;215;61;202;90;88;182;121;123;137;174;250
Flandre occidentale;Sans qualification professionnelle particulière (QPP);3255;1834;1421;139;230;77;156;296;204;178;200;155;199;60;115;43;83;165;130;124;202;164;335
Flandre orientale;Sans qualification professionnelle particulière (QPP);3954;2477;1477;162;333;158;248;373;267;234;255;196;251;68;187;55;78;175;123;147;171;180;293
Anvers;Sans qualification professionnelle particulière (QPP);4308;2632;1676;188;385;199;256;329;299;252;296;206;222;80;241;108;103;177;150;118;174;192;333
Limbourg;Sans qualification professionnelle particulière (QPP);2174;1254;920;78;217;101;113;189;162;88;105;96;105;39;161;53;64;110;85;61;80;99;168
Brabant Wallon;Sans qualification professionnelle particulière (QPP);2063;1296;767;81;195;103;91;149;103;128;163;116;167;44;138;60;36;91;82;65;88;66;97
Hainaut;Sans qualification professionnelle particulière (QPP);3764;1913;1851;121;311;145;151;203;194;206;209;133;240;94;272;118;84;193;194;159;201;170;366
Liège;Sans qualification professionnelle particulière (QPP);3505;2016;1489;150;359;179;168;213;189;219;189;170;180;83;230;94;92;165;163;161;150;154;197
Namur;Sans qualification professionnelle particulière (QPP);1751;985;766;70;187;80;77;93;101;112;96;72;97;35;110;49;33;106;75;80;74;84;120
Luxembourg;Sans qualification professionnelle particulière (QPP);1150;685;465;57;150;93;66;89;68;54;45;33;30;44;96;48;44;45;37;43;35;25;48
Région de Bruxelles Capitale;Sans qualification professionnelle particulière (QPP);2758;1599;1159;108;355;139;81;98;111;129;148;150;280;70;259;152;78;86;65;80;91;105;173
Belgique;Kinésithérapie cardiovasculaire;143;87;56;0;15;8;12;18;12;12;8;2;0;0;4;5;10;7;7;9;7;7;0
Belgique;Thérapie manuelle;1265;673;592;0;195;183;105;79;44;30;22;10;5;0;92;107;76;94;63;51;52;36;21
Belgique;Kinésithérapie neurologique;350;265;85;0;61;40;46;31;27;37;15;8;0;0;11;2;15;19;17;8;5;6;2
Belgique;Kinésithérapie pédiatrique;643;591;52;0;110;113;112;86;54;49;45;18;4;0;4;5;9;9;6;6;3;8;2
Belgique;Rééducation abdomino-pelvienne et kinésithérapie périnatale;408;391;17;0;21;52;51;76;60;56;49;23;3;0;0;1;1;1;3;3;3;2;3
Belgique;Kinésithérapie respiratoire;226;152;74;0;27;27;23;22;20;13;12;6;2;0;5;10;8;17;4;10;13;5;2
Région flamande;Kinésithérapie cardiovasculaire;82;50;32;0;11;7;5;6;8;10;2;1;0;0;1;1;5;5;3;4;6;7;0
Région flamande;Thérapie manuelle;1143;616;527;0;176;168;93;75;42;29;20;9;4;0;82;88;72;81;59;47;47;32;19
Région flamande;Kinésithérapie neurologique;233;180;53;0;44;31;31;18;20;22;9;5;0;0;6;1;10;11;13;6;3;2;1
Région flamande;Kinésithérapie pédiatrique;516;479;37;0;89;92;90;73;49;33;35;14;4;0;3;3;5;6;5;4;2;7;2
Région flamande;Rééducation abdomino-pelvienne et kinésithérapie périnatale;293;284;9;0;11;37;39;55;49;42;34;14;3;0;0;0;1;0;2;2;2;0;2
Région flamande;Kinésithérapie respiratoire;153;110;43;0;18;18;15;16;17;11;8;5;2;0;2;3;6;9;2;8;9;3;1
Région wallonne;Kinésithérapie cardiovasculaire;46;31;15;0;4;0;6;10;3;2;6;0;0;0;2;3;3;1;2;4;0;0;0
Région wallonne;Thérapie manuelle;93;42;51;0;16;8;9;3;1;1;2;1;1;0;7;14;3;12;4;1;4;4;2
Région wallonne;Kinésithérapie neurologique;98;73;25;0;16;5;11;12;6;15;5;3;0;0;3;1;5;4;4;2;1;4;1
Région wallonne;Kinésithérapie pédiatrique;94;84;10;0;16;12;17;11;5;14;6;3;0;0;1;1;2;2;1;1;1;1;0
Région wallonne;Rééducation abdomino-pelvienne et kinésithérapie périnatale;93;87;6;0;8;12;12;18;11;9;10;7;0;0;0;1;0;0;1;1;1;1;1
Région wallonne;Kinésithérapie respiratoire;50;28;22;0;7;4;6;3;2;2;3;1;0;0;2;4;1;6;2;1;4;2;0
Région de Bruxelles Capitale;Kinésithérapie cardiovasculaire;15;6;9;0;0;1;1;2;1;0;0;1;0;0;1;1;2;1;2;1;1;0;0
Région de Bruxelles Capitale;Thérapie manuelle;29;15;14;0;3;7;3;1;1;0;0;0;0;0;3;5;1;1;0;3;1;0;0
Région de Bruxelles Capitale;Kinésithérapie neurologique;19;12;7;0;1;4;4;1;1;0;1;0;0;0;2;0;0;4;0;0;1;0;0
Région de Bruxelles Capitale;Kinésithérapie pédiatrique;33;28;5;0;5;9;5;2;0;2;4;1;0;0;0;1;2;1;0;1;0;0;0
Région de Bruxelles Capitale;Rééducation abdomino-pelvienne et kinésithérapie périnatale;22;20;2;0;2;3;0;3;0;5;5;2;0;0;0;0;0;1;0;0;0;1;0
Région de Bruxelles Capitale;Kinésithérapie respiratoire;23;14;9;0;2;5;2;3;1;0;1;0;0;0;1;3;1;2;0;1;0;0;1
Brabant flamand;Kinésithérapie cardiovasculaire;19;12;7;0;3;3;1;1;1;2;0;1;0;0;0;1;2;0;2;1;0;1;0
Brabant flamand;Thérapie manuelle;207;112;95;0;24;29;24;16;7;6;4;2;0;0;19;17;9;17;7;9;9;6;2
Brabant flamand;Kinésithérapie neurologique;68;48;20;0;13;8;7;7;8;5;0;0;0;0;2;0;4;6;4;3;1;0;0
Brabant flamand;Kinésithérapie pédiatrique;89;83;6;0;13;21;11;13;9;4;7;5;0;0;2;1;1;0;0;1;0;1;0
Brabant flamand;Rééducation abdomino-pelvienne et kinésithérapie périnatale;61;59;2;0;2;13;7;14;7;7;6;3;0;0;0;0;1;0;0;0;1;0;0
Brabant flamand;Kinésithérapie respiratoire;27;24;3;0;3;6;4;3;6;0;1;1;0;0;0;0;0;1;0;1;0;1;0
Flandre occidentale;Kinésithérapie cardiovasculaire;8;2;6;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;2;2;0
Flandre occidentale;Thérapie manuelle;252;129;123;0;49;32;19;13;9;4;1;1;1;0;16;20;17;23;14;8;10;7;8
Flandre occidentale;Kinésithérapie neurologique;46;35;11;0;8;1;5;3;3;8;6;1;0;0;1;0;3;3;2;1;1;0;0
Flandre occidentale;Kinésithérapie pédiatrique;92;86;6;0;14;13;14;14;12;9;4;3;3;0;0;0;1;2;1;0;0;1;1
Flandre occidentale;Rééducation abdomino-pelvienne et kinésithérapie périnatale;76;73;3;0;5;7;13;16;11;8;9;3;1;0;0;0;0;0;1;1;0;0;1
Flandre occidentale;Kinésithérapie respiratoire;30;23;7;0;3;3;6;3;3;1;2;2;0;0;1;0;1;1;0;1;2;0;1
