territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44
Belgique;Toutes les spécialités;348;226;122;83;101;20;12;4;3;1;1;1;32;50;27;9;4
Belgique;Dentisterie générale;267;175;92;70;65;18;12;4;3;1;1;1;23;34;22;9;4
Belgique;Parodontologie;28;11;17;4;6;1;0;0;0;0;0;0;5;10;2;0;0
Belgique;Orthodontie;53;40;13;9;30;1;0;0;0;0;0;0;4;6;3;0;0
Région flamande;Toutes les spécialités;192;133;59;65;52;8;4;3;0;1;0;0;24;17;12;3;3
Région flamande;Dentisterie générale;139;95;44;54;27;6;4;3;0;1;0;0;19;10;9;3;3
Région flamande;Parodontologie;20;10;10;4;5;1;0;0;0;0;0;0;3;5;2;0;0
Région flamande;Orthodontie;33;28;5;7;20;1;0;0;0;0;0;0;2;2;1;0;0
Région wallonne;Toutes les spécialités;69;43;26;11;23;3;5;0;1;0;0;0;5;12;4;4;1
Région wallonne;Dentisterie générale;55;36;19;9;18;3;5;0;1;0;0;0;2;8;4;4;1
Région wallonne;Parodontologie;4;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0
Région wallonne;Orthodontie;10;7;3;2;5;0;0;0;0;0;0;0;1;2;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;87;50;37;7;26;9;3;1;2;0;1;1;3;21;11;2;0
Région de Bruxelles Capitale;Dentisterie générale;73;44;29;7;20;9;3;1;2;0;1;1;2;16;9;2;0
Région de Bruxelles Capitale;Parodontologie;4;1;3;0;1;0;0;0;0;0;0;0;0;3;0;0;0
Région de Bruxelles Capitale;Orthodontie;10;5;5;0;5;0;0;0;0;0;0;0;1;2;2;0;0
Brabant flamand;Toutes les spécialités;62;45;17;16;22;4;2;0;0;1;0;0;4;7;5;0;1
Brabant flamand;Dentisterie générale;40;31;9;12;12;4;2;0;0;1;0;0;2;4;2;0;1
Brabant flamand;Parodontologie;11;4;7;2;2;0;0;0;0;0;0;0;2;3;2;0;0
Brabant flamand;Orthodontie;11;10;1;2;8;0;0;0;0;0;0;0;0;0;1;0;0
Flandre occidentale;Toutes les spécialités;27;16;11;11;4;0;0;1;0;0;0;0;7;2;1;1;0
Flandre occidentale;Dentisterie générale;21;13;8;10;2;0;0;1;0;0;0;0;6;0;1;1;0
Flandre occidentale;Parodontologie;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Flandre occidentale;Orthodontie;5;3;2;1;2;0;0;0;0;0;0;0;1;1;0;0;0
Flandre orientale;Toutes les spécialités;53;38;15;22;12;4;0;0;0;0;0;0;10;1;1;2;1
Flandre orientale;Dentisterie générale;35;23;12;17;4;2;0;0;0;0;0;0;8;0;1;2;1
Flandre orientale;Parodontologie;7;5;2;2;2;1;0;0;0;0;0;0;1;1;0;0;0
Flandre orientale;Orthodontie;11;10;1;3;6;1;0;0;0;0;0;0;1;0;0;0;0
Anvers;Toutes les spécialités;43;29;14;12;13;0;2;2;0;0;0;0;3;7;4;0;0
Anvers;Dentisterie générale;37;24;13;11;9;0;2;2;0;0;0;0;3;6;4;0;0
Anvers;Orthodontie;6;5;1;1;4;0;0;0;0;0;0;0;0;1;0;0;0
Limbourg;Toutes les spécialités;7;5;2;4;1;0;0;0;0;0;0;0;0;0;1;0;1
Limbourg;Dentisterie générale;6;4;2;4;0;0;0;0;0;0;0;0;0;0;1;0;1
Limbourg;Parodontologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Brabant Wallon;Toutes les spécialités;7;6;1;3;3;0;0;0;0;0;0;0;0;1;0;0;0
Brabant Wallon;Dentisterie générale;6;5;1;3;2;0;0;0;0;0;0;0;0;1;0;0;0
Brabant Wallon;Orthodontie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Hainaut;Toutes les spécialités;16;9;7;3;2;1;2;0;1;0;0;0;0;4;2;1;0
Hainaut;Dentisterie générale;16;9;7;3;2;1;2;0;1;0;0;0;0;4;2;1;0
Liège;Toutes les spécialités;40;23;17;4;15;2;2;0;0;0;0;0;5;7;2;2;1
Liège;Dentisterie générale;29;19;10;3;12;2;2;0;0;0;0;0;2;3;2;2;1
Liège;Parodontologie;4;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0
Liège;Orthodontie;7;4;3;1;3;0;0;0;0;0;0;0;1;2;0;0;0
Namur;Toutes les spécialités;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Namur;Orthodontie;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Luxembourg;Toutes les spécialités;4;3;1;0;2;0;1;0;0;0;0;0;0;0;0;1;0
Luxembourg;Dentisterie générale;4;3;1;0;2;0;1;0;0;0;0;0;0;0;0;1;0
Région de Bruxelles Capitale;Toutes les spécialités;87;50;37;7;26;9;3;1;2;0;1;1;3;21;11;2;0
Région de Bruxelles Capitale;Dentisterie générale;73;44;29;7;20;9;3;1;2;0;1;1;2;16;9;2;0
Région de Bruxelles Capitale;Parodontologie;4;1;3;0;1;0;0;0;0;0;0;0;0;3;0;0;0
Région de Bruxelles Capitale;Orthodontie;10;5;5;0;5;0;0;0;0;0;0;0;1;2;2;0;0
