Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Homme;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24
;;;Femme;Homme;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
Belgique;Toutes les spécialités;10459.0;5348;5111;23;536;650;533;315;485;486;553;678;1089;20;222;428;293;234;259;242;420;950;2043
;Dentisterie générale;9666.0;4836;4830;23;514;572;476;271;432;428;472;639;1009;20;211;385;259;209;233;226;395;909;1983
;Parodontologie;216.0;121;95;0;7;22;16;14;19;18;18;3;4;0;6;18;17;9;11;7;12;8;7
;Orthodontie;577.0;391;186;0;15;56;41;30;34;40;63;36;76;0;5;25;17;16;15;9;13;33;53
Région flamande;Toutes les spécialités;6057.0;3124;2933;16;274;352;324;178;298;311;344;403;624;10;101;201;157;108;155;114;217;565;1305
;Dentisterie générale;5552.0;2788;2764;16;261;302;280;153;263;278;288;378;569;10;95;178;137;94;143;100;206;537;1264
;Parodontologie;155.0;91;64;0;4;16;12;7;15;15;15;3;4;0;5;13;14;4;6;6;5;6;5
;Orthodontie;350.0;245;105;0;9;34;32;18;20;18;41;22;51;0;1;10;6;10;6;8;6;22;36
Région wallonne;Toutes les spécialités;3055.0;1557;1498;4;172;163;150;98;138;133;137;221;341;8;67;109;63;82;68;84;141;299;577
;Dentisterie générale;2851.0;1422;1429;4;165;149;138;80;125;112;122;209;318;8;63;100;57;76;63;82;130;288;562
;Parodontologie;43.0;22;21;0;2;3;3;6;3;3;2;0;0;0;1;4;2;4;2;1;5;1;1
;Orthodontie;161.0;113;48;0;5;11;9;12;10;18;13;12;23;0;3;5;4;2;3;1;6;10;14
Région de Bruxelles Capitale;Toutes les spécialités;1347.0;667;680;3;90;135;59;39;49;42;72;54;124;2;54;118;73;44;36;44;62;86;161
;Dentisterie générale;1263.0;626;637;3;88;121;58;38;44;38;62;52;122;2;53;107;65;39;27;44;59;84;157
;Parodontologie;18.0;8;10;0;1;3;1;1;1;0;1;0;0;0;0;1;1;1;3;0;2;1;1
;Orthodontie;66.0;33;33;0;1;11;0;0;4;4;9;2;2;0;1;10;7;4;6;0;1;1;3
Brabant flamand;Toutes les spécialités;1391.0;783;608;4;55;75;78;53;79;94;91;107;147;3;30;38;42;25;38;40;52;121;219
;Dentisterie générale;1255.0;693;562;4;53;66;66;46;70;82;77;101;128;3;28;34;37;22;33;35;49;113;208
;Parodontologie;42.0;22;20;0;1;2;4;0;4;5;3;1;2;0;2;3;4;1;2;3;2;1;2
;Orthodontie;94.0;68;26;0;1;7;8;7;5;7;11;5;17;0;0;1;1;2;3;2;1;7;9
Flandre occidentale;Toutes les spécialités;1077.0;517;560;3;49;54;57;24;59;51;38;79;103;2;12;24;16;19;20;17;25;109;316
;Dentisterie générale;1005.0;467;538;3;44;44;52;22;52;48;33;72;97;2;12;23;12;19;17;13;24;104;312
;Parodontologie;26.0;19;7;0;1;4;3;0;5;2;2;1;1;0;0;1;3;0;1;0;1;1;0
;Orthodontie;46.0;31;15;0;4;6;2;2;2;1;3;6;5;0;0;0;1;0;2;4;0;4;4
Flandre orientale;Toutes les spécialités;1358.0;702;656;5;71;97;60;37;66;69;71;66;160;2;32;61;37;17;39;20;52;114;282
;Dentisterie générale;1234.0;623;611;5;68;84;49;30;59;57;60;62;149;2;29;52;31;13;37;17;47;106;277
;Parodontologie;41.0;23;18;0;2;4;4;2;1;7;3;0;0;0;3;4;5;1;1;2;2;0;0
;Orthodontie;83.0;56;27;0;1;9;7;5;6;5;8;4;11;0;0;5;1;3;1;1;3;8;5
Anvers;Toutes les spécialités;1486.0;759;727;2;67;83;94;39;55;66;106;100;147;0;18;53;42;29;40;30;67;151;297
;Dentisterie générale;1366.0;675;691;2;65;69;83;32;45;61;87;96;135;0;17;48;39;25;38;29;65;145;285
;Parodontologie;34.0;20;14;0;0;5;1;5;3;1;4;0;1;0;0;3;2;1;2;0;0;3;3
;Orthodontie;86.0;64;22;0;2;9;10;2;7;4;15;4;11;0;1;2;1;3;0;1;2;3;9
Limbourg;Toutes les spécialités;745.0;363;382;2;32;43;35;25;39;31;38;51;67;3;9;25;20;18;18;7;21;70;191
;Dentisterie générale;692.0;330;362;2;31;39;30;23;37;30;31;47;60;3;9;21;18;15;18;6;21;69;182
;Parodontologie;12.0;7;5;0;0;1;0;0;2;0;3;1;0;0;0;2;0;1;0;1;0;1;0
;Orthodontie;41.0;26;15;0;1;3;5;2;0;1;4;3;7;0;0;2;2;2;0;0;0;0;9
Brabant Wallon;Toutes les spécialités;629.0;367;262;2;20;33;35;28;31;38;33;46;101;0;6;16;14;19;17;18;26;40;106
;Dentisterie générale;574.0;331;243;2;20;29;32;25;27;29;29;44;94;0;6;14;12;17;16;18;23;38;99
;Parodontologie;10.0;3;7;0;0;0;0;2;0;1;0;0;0;0;0;1;0;2;0;0;2;1;1
;Orthodontie;45.0;33;12;0;0;4;3;1;4;8;4;2;7;0;0;1;2;0;1;0;1;1;6
