gebied;specialiteit;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;ALLE SPECIALITEITEN;9018;4342;4676;38;437;370;354;473;448;606;759;481;376;18;209;184;216;220;242;647;1032;785;1123
Gewest Vlaanderen;ALLE SPECIALITEITEN;5335;2581;2754;30;268;209;199;311;263;386;459;269;187;9;128;97;105;131;112;351;656;487;678
Gewest Wallonië;ALLE SPECIALITEITEN;2618;1242;1376;4;104;103;100;118;134;157;241;154;127;4;44;53;62;59;79;217;287;244;327
Gewest Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;1065;519;546;4;65;58;55;44;51;63;59;58;62;5;37;34;49;30;51;79;89;54;118
Prov Vlaams Brabant;ALLE SPECIALITEITEN;1196;650;546;5;47;50;47;91;78;104;121;61;46;0;28;23;16;38;24;87;126;89;115
Prov West-Vlaanderen;ALLE SPECIALITEITEN;989;447;542;7;56;41;37;54;42;46;75;49;40;3;15;12;19;16;16;46;135;112;168
Prov Oost-Vlaanderen;ALLE SPECIALITEITEN;1155;552;603;8;69;34;41;70;54;73;87;65;51;3;41;22;23;35;31;76;121;108;143
Prov Antwerpen;ALLE SPECIALITEITEN;1327;625;702;6;66;61;39;57;60;120;116;63;37;1;30;29;29;29;33;104;176;112;159
Prov Limburg;ALLE SPECIALITEITEN;668;307;361;4;30;23;35;39;29;43;60;31;13;2;14;11;18;13;8;38;98;66;93
Prov Waals Brabant;ALLE SPECIALITEITEN;531;286;245;0;10;19;23;29;37;30;59;38;41;0;7;12;9;17;14;35;42;45;64
Prov Henegouwen;ALLE SPECIALITEITEN;676;312;364;3;30;21;17;37;36;39;68;41;20;2;9;13;17;13;20;53;74;72;91
Prov Luik;ALLE SPECIALITEITEN;928;417;511;1;44;48;46;29;37;52;81;44;35;2;22;21;24;18;29;82;119;76;118
Prov Namen;ALLE SPECIALITEITEN;319;150;169;0;10;12;8;17;15;25;19;22;22;0;4;4;10;8;8;30;28;35;42
Prov Luxemburg;ALLE SPECIALITEITEN;164;77;87;0;10;3;6;6;9;11;14;9;9;0;2;3;2;3;8;17;24;16;12
Prov Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;1065;519;546;4;65;58;55;44;51;63;59;58;62;5;37;34;49;30;51;79;89;54;118
België;ALGEMENE TANDHEELKUNDE;8388;3934;4454;38;407;320;310;427;382;541;708;443;358;18;194;165;191;195;229;605;997;756;1104
België;PARODONTOLOGIE;173;97;76;0;13;16;15;14;21;11;4;3;0;0;9;11;12;9;8;16;5;4;2
België;ORTHODONTIE;457;311;146;0;17;34;29;32;45;54;47;35;18;0;6;8;13;16;5;26;30;25;17
Gewest Vlaanderen;ALGEMENE TANDHEELKUNDE;4936;2321;2615;30;246;179;175;283;222;341;422;245;178;9;116;85;89;118;100;328;632;469;669
Gewest Vlaanderen;PARODONTOLOGIE;126;74;52;0;12;9;8;12;18;8;4;3;0;0;7;8;7;6;8;8;4;3;1
Gewest Vlaanderen;ORTHODONTIE;273;186;87;0;10;21;16;16;23;37;33;21;9;0;5;4;9;7;4;15;20;15;8
Gewest Wallonië;ALGEMENE TANDHEELKUNDE;2453;1132;1321;4;99;88;85;106;114;146;229;142;119;4;42;49;58;53;79;202;279;234;321
