Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Homme;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18
;;;Femme;Homme;-25;25-29;30-34;35-39;40-44;45-49;-25;25-29;30-34;35-39;40-44;50-54;55-59;60-64
Belgique;Toutes les spécialités;354.0;232;122;105;112;11;2;1;1;26;66;21;3;1;1;3;1
;Dentisterie générale;277.0;179;98;90;76;9;2;1;1;20;53;16;3;1;1;3;1
;Parodontologie;27.0;14;13;6;8;0;0;0;0;3;7;3;0;0;0;0;0
;Orthodontie;50.0;39;11;9;28;2;0;0;0;3;6;2;0;0;0;0;0
Région flamande;Toutes les spécialités;168.0;109;59;67;39;2;1;0;0;15;27;14;1;1;1;0;0
;Dentisterie générale;123.0;78;45;57;19;1;1;0;0;11;20;11;1;1;1;0;0
;Parodontologie;19.0;8;11;4;4;0;0;0;0;2;6;3;0;0;0;0;0
;Orthodontie;26.0;23;3;6;16;1;0;0;0;2;1;0;0;0;0;0;0
Région wallonne;Toutes les spécialités;89.0;66;23;30;34;2;0;0;0;7;14;2;0;0;0;0;0
;Dentisterie générale;71.0;53;18;26;25;2;0;0;0;5;12;1;0;0;0;0;0
;Parodontologie;6.0;4;2;1;3;0;0;0;0;1;1;0;0;0;0;0;0
;Orthodontie;12.0;9;3;3;6;0;0;0;0;1;1;1;0;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;97.0;57;40;8;39;7;1;1;1;4;25;5;2;0;0;3;1
;Dentisterie générale;83.0;48;35;7;32;6;1;1;1;4;21;4;2;0;0;3;1
;Parodontologie;2.0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;Orthodontie;12.0;7;5;0;6;1;0;0;0;0;4;1;0;0;0;0;0
Brabant flamand;Toutes les spécialités;43.0;23;20;11;11;1;0;0;0;8;9;2;0;0;1;0;0
;Dentisterie générale;26.0;15;11;10;4;1;0;0;0;6;4;0;0;0;1;0;0
;Parodontologie;11.0;3;8;0;3;0;0;0;0;1;5;2;0;0;0;0;0
;Orthodontie;6.0;5;1;1;4;0;0;0;0;1;0;0;0;0;0;0;0
