territoire;specialite;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;TOUTES SPECIALITES;25012;9055;15957;0;24;1303;1741;1559;1321;1010;862;540;695;0;4;844;1506;1504;2025;2148;2187;1768;3971
Région Flandre;TOUTES SPECIALITES;13198;4662;8536;0;9;747;989;883;740;464;389;225;216;0;1;510;847;837;1176;1186;1198;886;1895
Région Wallonie;TOUTES SPECIALITES;8339;2930;5409;0;9;343;551;472;407;372;297;205;274;0;3;224;482;492;668;722;744;657;1417
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;3475;1463;2012;0;6;213;201;204;174;174;176;110;205;0;0;110;177;175;181;240;245;225;659
Prov Brabant flamand;TOUTES SPECIALITES;3502;1399;2103;0;6;232;275;261;209;154;124;79;59;0;0;124;203;214;316;305;288;215;438
Prov Flandre occidentale;TOUTES SPECIALITES;2156;601;1555;0;1;104;124;112;104;34;56;31;35;0;0;89;131;129;188;197;215;177;429
Prov Flandre orientale;TOUTES SPECIALITES;2865;1048;1817;0;0;172;228;190;162;111;82;53;50;0;0;104;203;182;241;246;238;196;407
Prov Anvers;TOUTES SPECIALITES;3331;1183;2148;0;2;177;260;230;187;123;102;49;53;0;1;138;205;217;305;296;314;209;463
Prov Limbourg;TOUTES SPECIALITES;1344;431;913;0;0;62;102;90;78;42;25;13;19;0;0;55;105;95;126;142;143;89;158
Prov Brabant wallon;TOUTES SPECIALITES;1694;627;1067;0;2;66;92;112;95;105;51;30;74;0;0;35;92;111;156;143;147;115;268
Prov Hainaut;TOUTES SPECIALITES;2291;741;1550;0;2;75;145;105;91;90;88;74;71;0;2;39;119;138;179;213;216;207;437
Prov Liège;TOUTES SPECIALITES;2722;1013;1709;0;4;128;196;164;135;117;107;70;92;0;1;96;154;156;194;226;228;204;450
Prov Namur;TOUTES SPECIALITES;1185;408;777;0;1;57;89;65;60;49;34;23;30;0;0;44;87;66;94;101;102;97;186
Prov Luxembourg;TOUTES SPECIALITES;447;141;306;0;0;17;29;26;26;11;17;8;7;0;0;10;30;21;45;39;51;34;76
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;3475;1463;2012;0;6;213;201;204;174;174;176;110;205;0;0;110;177;175;181;240;245;225;659
Belgique;MEDECINE DU TRAVAIL;1040;538;502;0;0;31;114;80;107;93;72;28;13;0;0;10;32;25;54;91;118;84;88
