gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59
België;Alle specialiteiten;220;112;108;1;87;15;4;4;1;1;82;10;6;5;3;1
België;Functionele en professionele revalidatie van gehandicapten;42;24;18;0;11;9;1;3;0;0;7;4;1;4;1;1
België;Mond-, kaak- en aangezichtschirurgie;13;2;11;0;2;0;0;0;0;1;10;0;0;0;0;0
België;Intensieve zorgen;68;25;43;1;23;1;0;0;0;0;36;4;1;1;1;0
België;Pediatrische neurologie;12;9;3;0;7;1;1;0;0;0;3;0;0;0;0;0
België;Nefrologie;11;5;6;0;5;0;0;0;0;0;6;0;0;0;0;0
België;Urgentiegeneeskunde;18;8;10;0;4;1;1;1;1;0;6;1;2;0;1;0
België;Endocrino-diabetologie;11;8;3;0;7;0;1;0;0;0;2;0;1;0;0;0
België;Neonatologie;9;8;1;0;7;1;0;0;0;0;0;0;1;0;0;0
België;Oncologie;10;7;3;0;7;0;0;0;0;0;2;1;0;0;0;0
België;Pediatrische hematologie en oncologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
België;Klinische hematologie;15;9;6;0;9;0;0;0;0;0;6;0;0;0;0;0
België;Forensische psychiatrie;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
België;Klinische infectiologie;8;4;4;0;3;1;0;0;0;0;4;0;0;0;0;0
België;Medische microbiologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Vlaams Gewest;Alle specialiteiten;149;83;66;1;66;10;3;2;1;0;54;4;3;3;1;1
Vlaams Gewest;Functionele en professionele revalidatie van gehandicapten;27;14;13;0;7;5;0;2;0;0;7;2;1;2;0;1
Vlaams Gewest;Mond-, kaak- en aangezichtschirurgie;8;2;6;0;2;0;0;0;0;0;6;0;0;0;0;0
Vlaams Gewest;Intensieve zorgen;48;18;30;1;17;0;0;0;0;0;27;1;0;1;1;0
Vlaams Gewest;Pediatrische neurologie;9;8;1;0;6;1;1;0;0;0;1;0;0;0;0;0
Vlaams Gewest;Nefrologie;5;2;3;0;2;0;0;0;0;0;3;0;0;0;0;0
Vlaams Gewest;Urgentiegeneeskunde;13;7;6;0;4;1;1;0;1;0;4;1;1;0;0;0
Vlaams Gewest;Endocrino-diabetologie;10;7;3;0;6;0;1;0;0;0;2;0;1;0;0;0
Vlaams Gewest;Neonatologie;7;7;0;0;6;1;0;0;0;0;0;0;0;0;0;0
Vlaams Gewest;Oncologie;8;7;1;0;7;0;0;0;0;0;1;0;0;0;0;0
Vlaams Gewest;Pediatrische hematologie en oncologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Vlaams Gewest;Klinische hematologie;6;4;2;0;4;0;0;0;0;0;2;0;0;0;0;0
Vlaams Gewest;Forensische psychiatrie;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Vlaams Gewest;Klinische infectiologie;5;4;1;0;3;1;0;0;0;0;1;0;0;0;0;0
Vlaams Gewest;Medische microbiologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Waals Gewest;Alle specialiteiten;39;18;21;0;12;4;0;2;0;1;12;4;1;1;2;0
Waals Gewest;Functionele en professionele revalidatie van gehandicapten;10;7;3;0;2;4;0;1;0;0;0;1;0;1;1;0
Waals Gewest;Mond-, kaak- en aangezichtschirurgie;3;0;3;0;0;0;0;0;0;1;2;0;0;0;0;0
Waals Gewest;Intensieve zorgen;7;2;5;0;2;0;0;0;0;0;3;2;0;0;0;0
Waals Gewest;Pediatrische neurologie;2;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
Waals Gewest;Nefrologie;4;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0
Waals Gewest;Urgentiegeneeskunde;5;1;4;0;0;0;0;1;0;0;2;0;1;0;1;0
Waals Gewest;Neonatologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Waals Gewest;Oncologie;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
