Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Man;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20
;;;Vrouw;Man;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
België;Alle specialiteiten;4841.0;1972;2869;169;310;341;330;274;175;142;231;126;185;230;306;303;374;372;973
;Nucleaire in vitro geneeskunde;203.0;80;123;0;0;0;4;11;19;24;22;0;2;0;2;6;17;27;69
;"Functionele en professionele revalidatie van
gehandicapten";983.0;387;596;7;27;38;67;74;38;31;105;7;21;30;31;45;56;55;351
;Geriatrie;140.0;49;91;0;0;9;12;12;5;6;5;0;0;2;5;4;6;10;64
;Mond-, kaak- en aangezichtschirurgie;228.0;59;169;9;11;16;9;6;2;4;2;15;19;26;21;19;21;17;31
;Intensieve zorgen;1030.0;353;677;48;83;58;67;48;26;11;12;56;78;76;85;77;100;94;111
;Pediatrische neurologie;109.0;83;26;9;12;19;13;6;4;3;17;1;2;1;2;4;1;3;12
;Nefrologie;391.0;169;222;29;31;39;27;15;10;7;11;14;24;22;23;21;24;23;71
;Urgentiegeneeskunde;495.0;145;350;8;17;26;27;22;21;11;13;6;14;25;55;58;54;55;83
;Endocrino-diabetologie;386.0;221;165;23;41;44;33;32;15;14;19;8;4;12;21;20;15;17;68
;Neonatologie;152.0;108;44;6;22;20;16;22;10;7;5;2;6;3;7;6;6;7;7
;Oncologie;352.0;145;207;14;38;39;32;8;5;7;2;8;10;18;34;25;39;36;37
;Pediatrische hematologie en oncologie;44.0;32;12;0;3;8;5;4;4;3;5;0;0;3;2;3;2;0;2
;Klinische hematologie;184.0;98;86;16;22;21;15;8;7;6;3;9;5;10;11;8;18;5;20
;Beheer van gezondheidsgegevens;103.0;29;74;0;0;0;1;4;6;8;10;0;0;1;1;4;10;20;38
;Forensische psychiatrie;41.0;14;27;0;3;4;2;2;3;0;0;0;0;1;6;3;5;3;9
Vlaams Gewest;Alle specialiteiten;2957.0;1228;1729;117;215;226;219;180;109;74;88;96;131;157;187;199;224;204;531
;Nucleaire in vitro geneeskunde;107.0;37;70;0;0;0;4;7;11;9;6;0;1;0;2;6;10;16;35
;"Functionele en professionele revalidatie van
gehandicapten";620.0;253;367;7;24;31;49;56;27;15;44;7;20;24;19;29;39;26;203
;Geriatrie;95.0;34;61;0;0;9;9;7;3;3;3;0;0;2;4;2;3;9;41
;Mond-, kaak- en aangezichtschirurgie;167.0;36;131;5;10;9;6;3;0;2;1;12;15;23;17;13;16;13;22
;Intensieve zorgen;686.0;267;419;41;58;45;54;37;20;7;5;46;52;53;54;50;53;54;57
;Pediatrische neurologie;61.0;45;16;6;7;10;7;5;2;2;6;0;1;0;2;4;1;2;6
;Nefrologie;211.0;92;119;17;18;23;15;8;3;6;2;6;16;14;14;11;13;10;35
;Urgentiegeneeskunde;282.0;84;198;7;15;16;18;13;7;3;5;4;10;20;32;38;29;30;35
;Endocrino-diabetologie;194.0;117;77;10;28;24;13;15;11;9;7;7;2;5;10;9;9;3;32
;Neonatologie;81.0;55;26;4;12;8;5;12;9;3;2;1;3;1;3;4;5;5;4
;Oncologie;251.0;111;140;10;30;29;23;7;5;6;1;7;7;9;22;19;28;22;26
;Pediatrische hematologie en oncologie;26.0;20;6;0;1;6;3;3;2;3;2;0;0;1;0;3;1;0;1
;Klinische hematologie;100.0;55;45;10;10;12;11;4;4;3;1;6;4;4;3;6;8;4;10
;Beheer van gezondheidsgegevens;45.0;9;36;0;0;0;0;1;2;3;3;0;0;1;1;3;5;8;18
;Forensische psychiatrie;31.0;13;18;0;2;4;2;2;3;0;0;0;0;0;4;2;4;2;6
Waals Gewest;Alle specialiteiten;1352.0;506;846;36;59;74;87;66;44;49;91;20;39;44;92;74;123;127;327
;Nucleaire in vitro geneeskunde;66.0;29;37;0;0;0;0;3;7;9;10;0;1;0;0;0;5;6;25
;"Functionele en professionele revalidatie van
gehandicapten";267.0;98;169;0;2;4;17;13;8;12;42;0;1;5;8;10;16;20;109
;Geriatrie;36.0;13;23;0;0;0;3;5;2;2;1;0;0;0;0;2;2;1;18
;Mond-, kaak- en aangezichtschirurgie;35.0;11;24;2;1;5;3;0;0;0;0;1;2;1;4;5;4;2;5
;Intensieve zorgen;249.0;54;195;1;18;6;11;6;6;3;3;7;19;12;24;22;38;31;42
;Pediatrische neurologie;34.0;26;8;2;3;6;6;1;0;1;7;1;0;1;0;0;0;1;5
;Nefrologie;126.0;52;74;10;7;10;7;6;5;1;6;7;4;4;6;8;7;10;28
;Urgentiegeneeskunde;170.0;45;125;1;1;9;7;8;8;7;4;1;4;4;18;14;24;22;38
;Endocrino-diabetologie;134.0;75;59;11;7;14;14;16;2;5;6;1;2;3;10;6;5;11;21
;Neonatologie;42.0;30;12;2;5;6;6;6;0;3;2;0;2;2;3;1;1;1;2
;Oncologie;76.0;24;52;3;6;7;6;0;0;1;1;1;3;6;11;5;8;10;8
;Pediatrische hematologie en oncologie;11.0;7;4;0;1;1;2;0;1;0;2;0;0;1;2;0;1;0;0
;Klinische hematologie;54.0;27;27;4;7;6;4;2;2;1;1;1;1;4;6;0;7;1;7
;Beheer van gezondheidsgegevens;46.0;14;32;0;0;0;1;0;3;4;6;0;0;0;0;1;4;10;17
;Forensische psychiatrie;6.0;1;5;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;2
"Brussels Hoofdstedelijk
Gewest";Alle specialiteiten;532.0;238;294;16;36;41;24;28;22;19;52;10;15;29;27;30;27;41;115
;Nucleaire in vitro geneeskunde;30.0;14;16;0;0;0;0;1;1;6;6;0;0;0;0;0;2;5;9
;"Functionele en professionele revalidatie van
gehandicapten";96.0;36;60;0;1;3;1;5;3;4;19;0;0;1;4;6;1;9;39
;Geriatrie;9.0;2;7;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;5
;Mond-, kaak- en aangezichtschirurgie;26.0;12;14;2;0;2;0;3;2;2;1;2;2;2;0;1;1;2;4
;Intensieve zorgen;95.0;32;63;6;7;7;2;5;0;1;4;3;7;11;7;5;9;9;12
;Pediatrische neurologie;14.0;12;2;1;2;3;0;0;2;0;4;0;1;0;0;0;0;0;1
;Nefrologie;54.0;25;29;2;6;6;5;1;2;0;3;1;4;4;3;2;4;3;8
;Urgentiegeneeskunde;43.0;16;27;0;1;1;2;1;6;1;4;1;0;1;5;6;1;3;10
;Endocrino-diabetologie;58.0;29;29;2;6;6;6;1;2;0;6;0;0;4;1;5;1;3;15
;Neonatologie;29.0;23;6;0;5;6;5;4;1;1;1;1;1;0;1;1;0;1;1
;Oncologie;25.0;10;15;1;2;3;3;1;0;0;0;0;0;3;1;1;3;4;3
;Pediatrische hematologie en oncologie;7.0;5;2;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0;1
;Klinische hematologie;30.0;16;14;2;5;3;0;2;1;2;1;2;0;2;2;2;3;0;3
;Beheer van gezondheidsgegevens;12.0;6;6;0;0;0;0;3;1;1;1;0;0;0;0;0;1;2;3
;Forensische psychiatrie;4.0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1
Vlaams Brabant;Alle specialiteiten;735.0;341;394;24;63;67;63;43;22;29;30;29;25;37;39;43;55;34;132
;Nucleaire in vitro geneeskunde;35.0;12;23;0;0;0;0;4;0;4;4;0;1;0;1;0;3;3;15
;"Functionele en professionele revalidatie van
gehandicapten";165.0;68;97;3;6;10;13;13;7;4;12;2;4;6;2;6;8;7;62
;Geriatrie;19.0;12;7;0;0;3;4;2;0;2;1;0;0;0;1;1;0;2;3
;Mond-, kaak- en aangezichtschirurgie;32.0;14;18;2;5;3;2;0;0;1;1;3;1;5;3;0;4;0;2
;Intensieve zorgen;163.0;59;104;6;15;10;15;6;3;2;2;18;11;13;12;13;16;9;12
;Pediatrische neurologie;20.0;14;6;4;0;5;2;0;0;1;2;0;0;0;0;3;1;1;1
;Nefrologie;49.0;25;24;4;10;5;3;2;0;1;0;2;2;6;4;1;1;2;6
;Urgentiegeneeskunde;62.0;23;39;1;2;8;3;4;1;1;3;0;1;3;6;8;7;3;11
;Endocrino-diabetologie;55.0;38;17;0;7;8;7;5;3;5;3;0;1;1;5;2;1;1;6
;Neonatologie;27.0;19;8;1;5;3;1;4;4;1;0;0;1;0;0;1;3;1;2
;Oncologie;48.0;21;27;0;8;5;6;1;0;1;0;3;2;3;3;4;4;3;5
;Pediatrische hematologie en oncologie;12.0;10;2;0;1;3;3;0;1;2;0;0;0;0;0;1;1;0;0
;Klinische hematologie;31.0;17;14;3;3;4;3;1;1;1;1;1;1;0;2;3;2;1;4
;Beheer van gezondheidsgegevens;11.0;6;5;0;0;0;0;1;1;3;1;0;0;0;0;0;2;1;2
;Forensische psychiatrie;6.0;3;3;0;1;0;1;0;1;0;0;0;0;0;0;0;2;0;1
West-Vlaanderen;Alle specialiteiten;539.0;180;359;19;30;40;23;27;20;5;16;16;18;28;33;41;46;46;131
;Nucleaire in vitro geneeskunde;11.0;3;8;0;0;0;1;0;1;0;1;0;0;0;0;1;0;3;4
;"Functionele en professionele revalidatie van
gehandicapten";135.0;49;86;1;4;5;4;14;9;1;11;0;3;3;3;5;10;7;55
;Geriatrie;30.0;11;19;0;0;4;3;2;1;0;1;0;0;0;1;0;1;2;15
;Mond-, kaak- en aangezichtschirurgie;33.0;3;30;0;2;0;1;0;0;0;0;3;1;6;4;5;5;3;3
;Intensieve zorgen;117.0;41;76;8;9;11;4;5;3;1;0;7;7;9;10;9;10;12;12
;Pediatrische neurologie;6.0;3;3;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;2
;Nefrologie;41.0;14;27;1;1;5;4;1;2;0;0;1;2;1;4;4;2;1;12
;Urgentiegeneeskunde;60.0;20;40;4;3;3;3;3;2;1;1;2;2;5;4;7;7;8;5
;Endocrino-diabetologie;22.0;11;11;1;3;3;1;1;1;0;1;0;0;0;1;2;2;0;6
;Neonatologie;13.0;7;6;1;3;1;1;1;0;0;0;1;0;0;1;2;1;1;0
;Oncologie;52.0;14;38;3;1;8;0;0;1;1;0;1;3;1;5;3;6;7;12
;Pediatrische hematologie en oncologie;2.0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
;Klinische hematologie;11.0;3;8;0;2;0;0;0;0;1;0;1;0;2;0;1;1;2;1
;Beheer van gezondheidsgegevens;4.0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3
;Forensische psychiatrie;2.0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Oost-Vlaanderen;Alle specialiteiten;655.0;280;375;34;44;53;55;38;25;11;20;23;32;33;46;48;46;51;96
;Nucleaire in vitro geneeskunde;34.0;10;24;0;0;0;2;0;5;2;1;0;0;0;1;4;4;6;9
;"Functionele en professionele revalidatie van
gehandicapten";125.0;58;67;0;7;7;14;12;5;2;11;2;4;7;4;8;10;6;26
;Geriatrie;16.0;5;11;0;0;1;0;2;1;0;1;0;0;0;0;1;1;0;9
;Mond-, kaak- en aangezichtschirurgie;40.0;11;29;1;2;3;2;2;0;1;0;2;4;3;4;3;1;6;6
;Intensieve zorgen;146.0;58;88;10;14;10;11;8;4;0;1;9;14;8;12;11;9;13;12
;Pediatrische neurologie;13.0;8;5;1;0;1;1;2;1;1;1;0;1;0;2;0;0;0;2
;Nefrologie;54.0;24;30;6;3;6;3;1;1;3;1;1;5;5;2;4;3;2;8
;Urgentiegeneeskunde;53.0;11;42;2;2;1;4;1;1;0;0;0;2;7;10;7;4;7;5
;Endocrino-diabetologie;49.0;27;22;5;9;5;2;4;1;1;0;5;0;1;2;2;4;1;7
;Neonatologie;10.0;8;2;0;0;2;1;2;2;0;1;0;0;0;0;1;0;0;1
;Oncologie;60.0;31;29;4;5;10;10;1;0;0;1;1;1;2;6;6;7;3;3
;Pediatrische hematologie en oncologie;8.0;7;1;0;0;2;0;3;1;0;1;0;0;0;0;0;0;0;1
;Klinische hematologie;23.0;16;7;5;2;3;4;0;1;1;0;3;1;0;0;0;1;1;1
;Beheer van gezondheidsgegevens;14.0;1;13;0;0;0;0;0;0;0;1;0;0;0;1;1;2;4;5
;Forensische psychiatrie;10.0;5;5;0;0;2;1;0;2;0;0;0;0;0;2;0;0;2;1
Antwerpen;Alle specialiteiten;724.0;317;407;27;56;51;58;54;29;23;19;18;38;35;41;49;55;50;121
;Nucleaire in vitro geneeskunde;19.0;9;10;0;0;0;1;2;3;3;0;0;0;0;0;0;3;3;4
;"Functionele en professionele revalidatie van
gehandicapten";139.0;63;76;3;6;6;14;13;6;7;8;2;6;5;4;9;7;3;40
;Geriatrie;25.0;5;20;0;0;0;2;1;1;1;0;0;0;0;2;0;1;5;12
;Mond-, kaak- en aangezichtschirurgie;41.0;6;35;2;1;1;1;1;0;0;0;2;7;6;2;3;4;2;9
;Intensieve zorgen;171.0;71;100;8;12;12;16;12;6;3;2;7;13;13;16;12;12;13;14
;Pediatrische neurologie;16.0;14;2;0;3;2;3;3;1;0;2;0;0;0;0;0;0;1;1
;Nefrologie;51.0;26;25;6;3;7;5;2;0;2;1;2;4;0;3;2;3;3;8
;Urgentiegeneeskunde;72.0;19;53;0;6;4;3;4;0;1;1;1;3;4;6;13;8;10;8
;Endocrino-diabetologie;50.0;33;17;3;8;6;3;3;5;2;3;1;1;1;1;2;2;1;8
;Neonatologie;29.0;19;10;2;4;2;2;4;2;2;1;0;2;1;2;0;1;3;1
;Oncologie;63.0;33;30;1;11;5;5;5;4;2;0;2;0;2;3;3;9;5;6
;Pediatrische hematologie en oncologie;3.0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0
;Klinische hematologie;27.0;13;14;2;2;3;3;3;0;0;0;1;2;2;0;2;3;0;4
;Beheer van gezondheidsgegevens;10.0;2;8;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;5
;Forensische psychiatrie;8.0;3;5;0;0;2;0;1;0;0;0;0;0;0;2;1;1;0;1
Limburg;Alle specialiteiten;304.0;110;194;13;22;15;20;18;13;6;3;10;18;24;28;18;22;23;51
