Territoire;Specialite;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUTES SPECIALITES;26018;9769;16249;0;18;1234;1776;1754;1428;1144;881;703;831;0;10;774;1446;1559;1801;2188;2190;1958;4323
Région Flandre;TOUTES SPECIALITES;13793;5055;8738;0;8;710;986;1021;798;555;403;310;264;0;6;459;838;872;1018;1247;1215;1000;2083
Région Wallonie;TOUTES SPECIALITES;8621;3157;5464;0;5;330;549;519;453;406;308;267;320;0;3;200;412;510;612;716;732;730;1549
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;3604;1557;2047;0;5;194;241;214;177;183;170;126;247;0;1;115;196;177;171;225;243;228;691
Prov Brabant flamand;TOUTES SPECIALITES;3667;1522;2145;0;4;206;300;302;223;175;130;106;76;0;1;100;204;216;278;327;289;250;480
Prov Flandre occidentale;TOUTES SPECIALITES;2256;649;1607;0;0;108;118;126;113;53;51;37;43;0;1;88;130;140;164;211;207;188;478
Prov Flandre orientale;TOUTES SPECIALITES;2974;1142;1832;0;1;177;213;224;178;135;78;72;64;0;1;89;183;185;217;248;255;209;445
Prov Anvers;TOUTES SPECIALITES;3475;1265;2210;0;3;155;255;267;194;144;116;73;58;0;3;123;214;231;257;318;314;244;506
Prov Limbourg;TOUTES SPECIALITES;1421;477;944;0;0;64;100;102;90;48;28;22;23;0;0;59;107;100;102;143;150;109;174
Prov Brabant wallon;TOUTES SPECIALITES;1776;687;1089;0;0;58;108;102;108;116;66;45;84;0;0;33;80;113;128;160;148;136;291
Prov Hainaut;TOUTES SPECIALITES;2340;792;1548;0;0;73;139;127;93;100;85;84;91;0;0;43;89;133;167;203;207;222;484
Prov Liège;TOUTES SPECIALITES;2813;1090;1723;0;3;137;184;185;164;114;105;94;104;0;2;77;144;158;191;211;230;224;486
Prov Namur;TOUTES SPECIALITES;1247;439;808;0;2;49;88;80;61;57;37;33;32;0;1;42;76;81;89;98;104;104;213
Prov Luxembourg;TOUTES SPECIALITES;445;149;296;0;0;13;30;25;27;19;15;11;9;0;0;5;23;25;37;44;43;44;75
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;3604;1557;2047;0;5;194;241;214;177;183;170;126;247;0;1;115;196;177;171;225;243;228;691
Belgique;MEDECINE DU TRAVAIL;1103;583;520;0;0;27;98;105;102;105;71;56;19;0;0;3;36;27;41;85;110;112;106
Belgique;ANESTHESIE-REANIMATION;2281;881;1400;0;1;122;153;176;121;69;73;64;102;0;0;104;195;208;195;202;171;121;204
Belgique;CHIRURGIE;1697;269;1428;0;0;41;63;52;32;25;30;13;13;0;0;65;131;141;150;169;189;146;437
Belgique;NEUROCHIRURGIE;207;20;187;0;0;1;3;7;6;2;0;0;1;0;0;16;28;30;20;19;24;16;34
Belgique;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;248;53;195;0;0;6;11;7;9;9;7;1;3;0;0;16;23;28;29;32;17;17;33
Belgique;NEUROLOGIE;494;223;271;0;0;46;49;39;39;23;15;9;3;0;0;19;46;35;46;41;41;22;21
Belgique;PSYCHIATRIE;999;437;562;0;0;4;27;96;116;79;35;36;44;0;0;0;21;69;88;73;69;68;174
Belgique;GYNECOLOGIE-OBSTETRIQUE;1541;692;849;0;1;106;138;126;105;85;62;28;41;0;0;25;50;59;78;97;126;104;310
Belgique;OPHTALMOLOGIE;1174;678;496;0;11;80;92;88;82;81;71;65;108;0;4;29;32;38;54;56;52;54;177
Belgique;OTO-RHINO-LARYNGOLOGIE;708;269;439;0;0;39;47;50;52;28;22;15;16;0;1;19;33;30;42;61;62;55;136
Belgique;UROLOGIE;437;44;393;0;0;9;13;7;8;5;2;0;0;0;0;20;49;54;37;50;49;44;90
Belgique;CHIRURGIE ORTHOPEDIQUE;1100;85;1015;0;0;14;14;22;12;9;6;4;4;0;0;56;116;112;129;169;123;105;205
Belgique;STOMATOLOGIE;349;80;269;0;0;15;10;20;5;8;8;3;11;0;0;18;24;25;26;37;25;28;86
Belgique;DERMATO-VENEREOLOGIE;790;542;248;0;4;68;85;82;82;60;48;51;62;0;3;4;12;14;24;31;30;20;110
Belgique;PNEUMOLOGIE;539;199;340;0;0;40;55;43;16;15;13;7;10;0;0;12;38;31;43;65;61;43;47
Belgique;GASTRO-ENTEROLOGIE;671;183;488;0;0;34;42;37;22;19;11;10;8;0;0;25;57;52;67;78;66;59;84
Belgique;PEDIATRIE;1746;1044;702;0;0;138;203;183;149;98;76;90;107;0;0;31;37;54;51;61;74;87;307
Belgique;CARDIOLOGIE;1130;222;908;0;0;32;47;43;38;29;14;8;11;0;0;58;107;105;124;122;114;106;172
Belgique;NEUROPSYCHIATRIE;317;72;245;0;0;0;0;0;0;7;14;8;43;0;0;0;0;0;0;14;26;39;166
Belgique;MEDECINE PHYSIQUE ET READAPTATION;546;231;315;0;0;20;47;42;33;37;22;14;16;0;0;21;26;18;34;34;47;46;89
Belgique;BIOLOGIE CLINIQUE;751;331;420;0;0;21;33;42;32;43;41;42;77;0;0;11;19;13;40;44;54;75;164
Belgique;RADIODIAGNOSTIC;1712;449;1263;0;0;51;73;75;88;64;45;28;25;0;1;74;96;107;169;213;184;144;275
Belgique;RADIOTHERAPIE-ONCOLOGIE;228;125;103;0;0;19;22;19;18;21;10;11;5;0;0;13;15;13;4;22;12;2;22
Belgique;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE INFANTO-JUVENILE;266;200;66;0;0;47;64;37;9;13;9;13;8;0;0;9;13;6;4;11;10;7;6
Belgique;MEDECINE NUCLEAIRE;346;109;237;0;0;13;17;13;19;25;6;10;6;0;0;7;11;18;25;25;24;38;89
Belgique;ANATOMIE PATHOLOGIQUE;374;184;190;0;0;16;29;35;28;25;20;10;21;0;0;11;18;17;14;23;26;19;62
Belgique;MEDECINE INTERNE;1791;561;1230;0;1;92;134;108;71;47;43;30;35;0;1;50;86;110;135;128;136;110;474
Belgique;RHUMATOLOGIE;258;104;154;0;0;7;15;21;22;11;5;9;14;0;0;2;9;11;11;21;22;23;55
Belgique;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE DE L'ADULTE;657;278;379;0;0;66;86;37;6;16;26;29;12;0;0;30;57;25;8;36;52;71;100
Belgique;MEDECINE LEGALE;12;2;10;0;0;0;2;0;0;0;0;0;0;0;0;2;3;0;0;1;1;0;3
