Territoire;Spécialité;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);166659;145253;21406;5383;11145;14395;16487;16764;20184;20602;14976;10824;14493;788;1946;2536;2895;2623;2951;3237;2252;1281;897
Région Flandre;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);108559;93777;14782;3632;6907;9027;10520;10962;13502;13578;9702;6788;9159;546;1136;1514;1719;1744;2176;2403;1760;1074;710
Région Wallonie;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);49536;43979;5557;1451;3432;4550;5196;5091;5853;6088;4568;3510;4240;201;629;816;1010;749;663;715;427;184;163
Région Région de Bruxelles-capitale;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);8564;7497;1067;300;806;818;771;711;829;936;706;526;1094;41;181;206;166;130;112;119;65;23;24
Prov Brabant flamand;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);18046;15458;2588;487;973;1274;1614;1802;2421;2561;1760;1193;1373;82;160;218;265;279;370;518;368;208;120
Prov Flandre occidentale;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);23679;20593;3086;1019;1736;2101;2306;2221;2710;2813;2199;1477;2011;174;235;355;365;346;416;471;358;237;129
Prov Flandre orientale;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);25471;22025;3446;733;1508;2104;2518;2728;3152;3152;2258;1644;2228;93;265;386;413;414;513;578;429;239;116
Prov Anvers;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);25822;22316;3506;820;1508;2064;2394;2630;3388;3422;2201;1469;2420;102;260;324;404;447;542;600;415;237;175
Prov Limbourg;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);15541;13385;2156;573;1182;1484;1688;1581;1831;1630;1284;1005;1127;95;216;231;272;258;335;236;190;153;170
Prov Brabant wallon;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);4867;4463;404;104;227;322;475;497;616;778;548;377;519;16;49;54;54;70;57;55;30;10;9
Prov Hainaut;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);18192;16112;2080;530;1196;1635;1968;1960;2313;2181;1665;1233;1431;63;224;329;344;281;266;289;173;62;49
Prov Liège;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);15447;13532;1915;495;1225;1550;1695;1517;1616;1716;1336;1062;1320;73;230;274;358;255;193;229;155;66;82
Prov Namur;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);7406;6635;771;216;522;672;685;748;855;941;706;564;726;31;95;101;169;102;94;89;47;29;14
Prov Luxembourg;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);3624;3237;387;106;262;371;373;369;453;472;313;274;244;18;31;58;85;41;53;53;22;17;9
Prov Région de Bruxelles-capitale;TOUS LES INFIRMIERS (NOMBRE DE PERSONNES);8564;7497;1067;300;806;818;771;711;829;936;706;526;1094;41;181;206;166;130;112;119;65;23;24
Belgique;SANS AGREMENT;149321;131458;17863;4807;9288;12127;14147;14653;18169;18948;14183;10655;14481;696;1521;1963;2317;2096;2432;2765;1977;1208;888
Belgique;TITRE PROFESSIONNEL PARTICULIER - SOINS INTENSIFS ET D'URGENCE;8710;6002;2708;339;981;1110;1063;947;698;504;273;76;11;85;350;460;446;400;373;324;200;61;9
Belgique;TITRE PROFESSIONNEL PARTICULIER - GERIATRIE;1794;1471;323;38;145;205;260;230;266;214;90;23;0;2;17;37;50;60;58;67;27;5;0
