Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Homme;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15
;;;Femme;Homme;25-29;30-34;35-39;40-44;45-49;25-29;30-34;35-39;40-44;45-49;50-54
Belgique;Toutes les spécialités;208.0;102;106;3;87;7;4;1;1;85;9;3;5;3
;Réadaptation fonctionnelle et professionnelle des handicapés;32.0;20;12;0;16;1;2;1;0;5;4;0;2;1
;Chirurgie orale et maxillo - faciale;19.0;5;14;0;5;0;0;0;0;14;0;0;0;0
;Soins intensifs;61.0;18;43;0;16;0;2;0;1;37;2;2;1;0
;Neurologie pédiatrique;8.0;6;2;0;5;1;0;0;0;2;0;0;0;0
;Néphrologie;11.0;8;3;1;6;1;0;0;0;3;0;0;0;0
;Médecine d'urgence;20.0;5;15;1;2;2;0;0;0;7;3;1;2;2
;Endocrino-diabétologie;18.0;14;4;0;13;1;0;0;0;4;0;0;0;0
;Néonatologie;7.0;7;0;1;6;0;0;0;0;0;0;0;0;0
;Oncologie;12.0;6;6;0;6;0;0;0;0;6;0;0;0;0
;Hématologie et oncologie pédiatrique;5.0;5;0;0;4;1;0;0;0;0;0;0;0;0
;Hématologie clinique;15.0;8;7;0;8;0;0;0;0;7;0;0;0;0
Région flamande;Toutes les spécialités;137.0;68;69;2;59;5;2;0;0;60;6;1;1;1
;Réadaptation fonctionnelle et professionnelle des handicapés;22.0;15;7;0;12;1;2;0;0;4;3;0;0;0
;Chirurgie orale et maxillo - faciale;13.0;4;9;0;4;0;0;0;0;9;0;0;0;0
;Soins intensifs;39.0;10;29;0;10;0;0;0;0;28;1;0;0;0
;Neurologie pédiatrique;5.0;4;1;0;3;1;0;0;0;1;0;0;0;0
;Néphrologie;6.0;5;1;0;5;0;0;0;0;1;0;0;0;0
;Médecine d'urgence;16.0;5;11;1;2;2;0;0;0;6;2;1;1;1
;Endocrino-diabétologie;11.0;9;2;0;9;0;0;0;0;2;0;0;0;0
;Néonatologie;6.0;6;0;1;5;0;0;0;0;0;0;0;0;0
;Oncologie;8.0;3;5;0;3;0;0;0;0;5;0;0;0;0
;Hématologie et oncologie pédiatrique;5.0;5;0;0;4;1;0;0;0;0;0;0;0;0
;Hématologie clinique;6.0;2;4;0;2;0;0;0;0;4;0;0;0;0
Région wallonne;Toutes les spécialités;45.0;20;25;1;18;1;0;0;1;14;3;1;4;2
;Réadaptation fonctionnelle et professionnelle des handicapés;6.0;2;4;0;2;0;0;0;0;0;1;0;2;1
;Chirurgie orale et maxillo - faciale;4.0;0;4;0;0;0;0;0;0;4;0;0;0;0
;Soins intensifs;16.0;4;12;0;4;0;0;0;1;8;1;1;1;0
;Neurologie pédiatrique;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Néphrologie;3.0;3;0;1;1;1;0;0;0;0;0;0;0;0
;Médecine d'urgence;4.0;0;4;0;0;0;0;0;0;1;1;0;1;1
;Endocrino-diabétologie;4.0;4;0;0;4;0;0;0;0;0;0;0;0;0
;Néonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Oncologie;2.0;1;1;0;1;0;0;0;0;1;0;0;0;0
;Hématologie clinique;4.0;4;0;0;4;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;26.0;14;12;0;10;1;2;1;0;11;0;1;0;0
;Réadaptation fonctionnelle et professionnelle des handicapés;4.0;3;1;0;2;0;0;1;0;1;0;0;0;0
;Chirurgie orale et maxillo - faciale;2.0;1;1;0;1;0;0;0;0;1;0;0;0;0
;Soins intensifs;6.0;4;2;0;2;0;2;0;0;1;0;1;0;0
;Neurologie pédiatrique;2.0;1;1;0;1;0;0;0;0;1;0;0;0;0
;Néphrologie;2.0;0;2;0;0;0;0;0;0;2;0;0;0;0
;Endocrino-diabétologie;3.0;1;2;0;0;1;0;0;0;2;0;0;0;0
;Oncologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0
;Hématologie clinique;5.0;2;3;0;2;0;0;0;0;3;0;0;0;0
Brabant flamand;Toutes les spécialités;46.0;20;26;0;18;1;1;0;0;23;2;1;0;0
