Gebied;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Man;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24
;;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
Alle paramedici;België;66488.0;57890;8598;6394;11378;9044;6678;5735;3982;4394;4412;3614;2259;970;1886;1205;829;672;516;513;671;688;648
;Vlaams Gewest;39917.0;35323;4594;4533;7480;5570;3938;3394;2276;2534;2531;2024;1043;658;1110;578;417;301;224;212;325;381;388
;Waals Gewest;21790.0;18606;3184;1472;2923;2715;2282;2012;1482;1653;1643;1392;1032;246;585;489;315;288;235;254;291;260;221
;"Brussels Hoofdstedelijk
Gewest";4781.0;3961;820;389;975;759;458;329;224;207;238;198;184;66;191;138;97;83;57;47;55;47;39
;Vlaams Brabant;6690.0;5721;969;672;1126;843;688;547;391;418;446;388;202;113;215;102;81;65;55;58;91;108;81
;West-Vlaanderen;8189.0;7240;949;941;1554;1133;803;711;439;523;539;394;203;142;204;116;83;55;54;53;60;80;102
;Oost-Vlaanderen;9768.0;8693;1075;1118;1887;1396;947;832;552;604;564;515;278;143;264;135;108;85;45;53;78;75;89
;Antwerpen;10175.0;9116;1059;1282;1974;1410;956;831;563;648;671;524;257;175;263;147;99;60;47;39;66;85;78
;Limburg;5095.0;4553;542;520;939;788;544;473;331;341;311;203;103;85;164;78;46;36;23;9;30;33;38
;Waals Brabant;2519.0;2146;373;133;304;285;256;231;197;185;216;189;150;13;52;64;32;38;37;36;33;38;30
;Henegouwen;7547.0;6311;1236;540;1043;866;766;679;523;556;543;470;325;123;242;197;128;93;75;89;101;98;90
;Luik;6953.0;6063;890;436;932;949;734;641;463;559;543;459;347;69;172;130;90;83;73;60;79;69;65
;Namen;3322.0;2786;536;233;424;435;366;297;205;248;239;199;140;28;96;77;50;65;38;55;63;38;26
;Luxemburg;1449.0;1300;149;130;220;180;160;164;94;105;102;75;70;13;23;21;15;9;12;14;15;17;10
;"Brussels Hoofdstedelijk
Gewest";4781.0;3961;820;389;975;759;458;329;224;207;238;198;184;66;191;138;97;83;57;47;55;47;39
"Farmaceutisch-technisch
assistent";België;13414.0;11748;1666;1467;1782;1599;1221;1072;1059;1129;983;786;650;363;408;253;145;95;115;78;76;59;74
;Vlaams Gewest;6822.0;5820;1002;846;951;739;543;488;493;576;520;382;282;230;260;135;83;54;63;42;46;39;50
;Waals Gewest;5513.0;4985;528;487;623;678;557;500;517;495;420;374;334;107;117;98;49;30;40;27;24;15;21
;"Brussels Hoofdstedelijk
Gewest";1079.0;943;136;134;208;182;121;84;49;58;43;30;34;26;31;20;13;11;12;9;6;5;3
;Vlaams Brabant;1076.0;877;199;135;125;104;102;74;80;87;77;56;37;48;52;17;14;11;17;8;14;10;8
;West-Vlaanderen;1185.0;1028;157;122;147;98;83;97;91;126;114;86;64;29;36;18;16;12;16;5;7;8;10
;Oost-Vlaanderen;1291.0;1097;194;170;197;132;90;79;93;107;102;69;58;45;49;23;16;11;8;14;11;5;12
;Antwerpen;2110.0;1795;315;305;316;225;147;135;131;161;163;121;91;91;90;53;20;12;14;10;9;9;7
;Limburg;1160.0;1023;137;114;166;180;121;103;98;95;64;50;32;17;33;24;17;8;8;5;5;7;13
;Waals Brabant;272.0;241;31;13;18;19;16;22;29;35;31;32;26;3;4;4;1;3;4;1;3;3;5
;Henegouwen;2135.0;1916;219;199;242;241;193;174;204;200;168;156;139;59;46;35;20;13;15;10;9;6;6
;Luik;1840.0;1687;153;149;197;252;210;178;179;153;154;107;108;22;34;27;17;6;15;12;7;5;8
;Namen;892.0;795;97;83;124;121;100;80;77;76;44;53;37;17;30;24;6;7;5;4;4;0;0
;Luxemburg;374.0;346;28;43;42;45;38;46;28;31;23;26;24;6;3;8;5;1;1;0;1;1;2
;"Brussels Hoofdstedelijk
Gewest";1079.0;943;136;134;208;182;121;84;49;58;43;30;34;26;31;20;13;11;12;9;6;5;3
Audioloog;België;1365.0;1195;170;185;465;227;90;79;41;41;34;24;9;18;48;25;15;9;16;9;14;7;9
;Vlaams Gewest;1158.0;1067;91;169;433;213;82;70;31;29;20;15;5;9;26;20;7;6;9;3;5;3;3
;Waals Gewest;135.0;84;51;10;16;5;3;8;7;11;12;9;3;3;11;5;4;1;5;5;8;4;5
;"Brussels Hoofdstedelijk
Gewest";72.0;44;28;6;16;9;5;1;3;1;2;0;1;6;11;0;4;2;2;1;1;0;1
;Vlaams Brabant;171.0;157;14;30;62;26;17;8;5;5;3;1;0;0;3;3;1;1;2;2;1;0;1
;West-Vlaanderen;274.0;246;28;36;116;49;19;13;3;4;4;2;0;5;8;5;3;1;3;1;0;0;2
;Oost-Vlaanderen;316.0;284;32;47;119;57;16;20;10;8;3;3;1;3;11;8;2;4;2;0;1;1;0
;Antwerpen;308.0;294;14;49;107;59;23;22;8;9;8;7;2;1;3;4;1;0;2;0;1;2;0
;Limburg;89.0;86;3;7;29;22;7;7;5;3;2;2;2;0;1;0;0;0;0;0;2;0;0
;Waals Brabant;35.0;19;16;1;5;1;1;1;3;4;2;0;1;0;3;4;0;0;1;1;3;3;1
;Henegouwen;46.0;33;13;4;6;3;0;3;2;4;3;6;2;2;1;0;2;1;1;1;1;1;3
;Luik;22.0;13;9;4;2;1;1;2;1;1;1;0;0;1;4;0;1;0;2;0;0;0;1
;Namen;28.0;17;11;1;3;0;1;1;0;2;6;3;0;0;3;1;0;0;1;2;4;0;0
;Luxemburg;4.0;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0
;"Brussels Hoofdstedelijk
Gewest";72.0;44;28;6;16;9;5;1;3;1;2;0;1;6;11;0;4;2;2;1;1;0;1
Logopedist;België;15575.0;15074;501;1273;2919;2370;1690;1763;1148;1095;1183;919;714;6;29;23;25;34;26;47;70;95;146
;Vlaams Gewest;8894.0;8604;290;822;1743;1440;980;1056;640;594;580;460;289;3;12;7;13;21;13;20;43;59;99
;Waals Gewest;5576.0;5397;179;368;891;721;607;617;446;459;526;405;357;2;10;8;11;11;12;27;22;34;42
;"Brussels Hoofdstedelijk
Gewest";1105.0;1073;32;83;285;209;103;90;62;42;77;54;68;1;7;8;1;2;1;0;5;2;5
;Vlaams Brabant;1490.0;1454;36;136;271;248;168;193;106;88;92;90;62;1;5;0;2;1;3;1;8;8;7
;West-Vlaanderen;1898.0;1814;84;172;354;317;204;235;146;126;127;83;50;1;0;1;0;5;4;8;14;16;35
;Oost-Vlaanderen;2491.0;2414;77;228;514;386;293;295;171;154;143;141;89;0;6;2;7;8;2;7;13;13;19
;Antwerpen;2126.0;2060;66;219;435;354;219;221;147;146;144;106;69;1;1;2;2;6;2;4;6;16;26
;Limburg;889.0;862;27;67;169;135;96;112;70;80;74;40;19;0;0;2;2;1;2;0;2;6;12
;Waals Brabant;809.0;786;23;50;116;93;100;87;82;52;72;63;71;1;2;1;2;1;5;3;2;2;4
;Henegouwen;1536.0;1473;63;98;263;196;146;177;130;128;138;112;85;0;4;2;4;1;0;12;11;14;15
;Luik;1944.0;1884;60;119;299;265;207;201;146;181;184;157;125;0;4;4;3;4;6;8;7;11;13
;Namen;797.0;771;26;61;126;118;91;87;47;58;87;49;47;1;0;0;1;4;0;3;2;6;9
;Luxemburg;490.0;483;7;40;87;49;63;65;41;40;45;24;29;0;0;1;1;1;1;1;0;1;1
;"Brussels Hoofdstedelijk
Gewest";1105.0;1073;32;83;285;209;103;90;62;42;77;54;68;1;7;8;1;2;1;0;5;2;5
Orthoptist-optometrist;België;374.0;309;65;51;73;56;30;23;17;22;20;5;12;9;15;11;16;8;1;3;2;0;0
;Vlaams Gewest;318.0;266;52;45;67;48;27;20;12;18;18;3;8;7;11;9;15;5;1;3;1;0;0
;Waals Gewest;29.0;23;6;3;1;4;2;1;4;2;1;2;3;1;1;1;0;2;0;0;1;0;0
;"Brussels Hoofdstedelijk
Gewest";27.0;20;7;3;5;4;1;2;1;2;1;0;1;1;3;1;1;1;0;0;0;0;0
;Vlaams Brabant;56.0;48;8;7;14;7;7;4;0;2;3;1;3;2;3;0;2;0;0;1;0;0;0
