gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle paramedici;76856;65199;11657;6847;12346;10497;7728;6454;4854;4296;4653;4016;3508;1064;2344;1807;1165;971;875;717;844;861;1009
Vlaams Gewest;Alle paramedici;47390;40460;6930;4814;8238;6700;4743;3810;2891;2469;2747;2289;1759;738;1476;1026;605;552;491;398;492;509;643
Waals Gewest;Alle paramedici;24286;20464;3822;1541;3102;3010;2504;2275;1716;1609;1682;1531;1494;266;661;616;444;335;318;266;301;301;314
Brussels Hoofdstedelijk Gewest;Alle paramedici;5180;4275;905;492;1006;787;481;369;247;218;224;196;255;60;207;165;116;84;66;53;51;51;52
Vlaams Brabant;Alle paramedici;7938;6583;1355;663;1284;1055;794;653;484;426;455;432;337;130;257;188;109;109;103;79;114;133;133
West-Vlaanderen;Alle paramedici;9669;8223;1446;1033;1604;1364;966;794;588;466;591;464;353;124;295;201;136;101;115;95;114;104;161
Oost-Vlaanderen;Alle paramedici;11602;9987;1615;1212;2127;1680;1105;926;698;626;614;541;458;186;363;235;141;149;109;91;103;95;143
Antwerpen;Alle paramedici;12173;10475;1698;1363;2249;1674;1211;915;707;611;714;597;434;210;368;262;149;133;100;97;113;122;144
Limburg;Alle paramedici;6008;5192;816;543;974;927;667;522;414;340;373;255;177;88;193;140;70;60;64;36;48;55;62
Waals Brabant;Alle paramedici;2830;2367;463;141;329;294;299;266;209;194;216;206;213;21;53;71;63;50;37;45;34;43;46
Henegouwen;Alle paramedici;8450;6928;1522;532;1107;1035;828;743;595;563;556;482;487;148;291;245;182;123;105;95;101;107;125
Luik;Alle paramedici;7709;6668;1041;488;996;1004;811;733;540;535;542;535;484;54;197;161;122;87;103;67;79;82;89
Namen;Alle paramedici;3632;3027;605;220;438;473;386;362;244;221;250;220;213;26;93;105;65;56;61;46;66;49;38
Luxemburg;Alle paramedici;1665;1474;191;160;232;204;180;171;128;96;118;88;97;17;27;34;12;19;12;13;21;20;16
Brussels Hoofdstedelijk Gewest;Alle paramedici;5180;4275;905;492;1006;787;481;369;247;218;224;196;255;60;207;165;116;84;66;53;51;51;52
België;Farmaceutisch-technisch assistent;14860;12992;1868;1585;1934;1823;1373;1244;1017;1210;1035;851;920;362;409;358;181;111;119;89;72;71;96
Vlaams Gewest;Farmaceutisch-technisch assistent;7697;6564;1133;928;1062;919;617;583;456;617;534;436;412;222;266;218;95;67;59;50;47;41;68
Waals Gewest;Farmaceutisch-technisch assistent;6026;5439;587;495;687;716;631;559;504;539;452;386;470;114;113;115;71;33;45;27;21;25;23
Brussels Hoofdstedelijk Gewest;Farmaceutisch-technisch assistent;1137;989;148;162;185;188;125;102;57;54;49;29;38;26;30;25;15;11;15;12;4;5;5
Vlaams Brabant;Farmaceutisch-technisch assistent;1227;997;230;118;168;146;113;96;60;96;78;66;56;54;49;37;18;9;13;10;17;13;10
West-Vlaanderen;Farmaceutisch-technisch assistent;1349;1172;177;150;154;142;94;108;84;126;118;99;97;28;34;31;17;16;13;10;4;9;15
Oost-Vlaanderen;Farmaceutisch-technisch assistent;1450;1228;222;167;223;182;93;97;86;119;103;77;81;33;65;39;13;17;11;11;10;9;14
Antwerpen;Farmaceutisch-technisch assistent;2396;2040;356;385;346;258;173;159;125;168;158;135;133;92;94;71;27;15;13;14;12;7;11
Limburg;Farmaceutisch-technisch assistent;1275;1127;148;108;171;191;144;123;101;108;77;59;45;15;24;40;20;10;9;5;4;3;18
Waals Brabant;Farmaceutisch-technisch assistent;303;267;36;11;25;23;22;21;25;36;34;31;39;3;5;4;3;2;5;2;1;5;6
Henegouwen;Farmaceutisch-technisch assistent;2310;2057;253;188;262;270;216;186;181;225;185;146;198;69;51;38;26;18;17;10;7;10;7
Luik;Farmaceutisch-technisch assistent;2046;1878;168;160;232;252;245;210;186;170;151;128;144;22;31;32;27;7;15;10;9;7;8
Namen;Farmaceutisch-technisch assistent;933;839;94;75;118;128;101;100;76;78;54;52;57;11;19;34;10;3;7;5;4;1;0
Luxemburg;Farmaceutisch-technisch assistent;434;398;36;61;50;43;47;42;36;30;28;29;32;9;7;7;5;3;1;0;0;2;2
Brussels Hoofdstedelijk Gewest;Farmaceutisch-technisch assistent;1137;989;148;162;185;188;125;102;57;54;49;29;38;26;30;25;15;11;15;12;4;5;5
België;Audioloog;1607;1410;197;193;501;329;129;74;57;51;28;27;21;17;51;44;16;11;17;8;12;9;12
Vlaams Gewest;Audioloog;1363;1257;106;168;462;311;118;69;47;35;18;15;14;11;26;30;7;6;9;4;6;2;5
Waals Gewest;Audioloog;154;96;58;13;19;6;7;3;10;13;7;12;6;3;10;10;6;3;5;3;5;7;6
Brussels Hoofdstedelijk Gewest;Audioloog;90;57;33;12;20;12;4;2;0;3;3;0;1;3;15;4;3;2;3;1;1;0;1
Vlaams Brabant;Audioloog;193;177;16;21;70;38;19;12;6;6;3;1;1;1;4;3;0;1;2;2;1;1;1
West-Vlaanderen;Audioloog;313;284;29;47;101;74;31;12;7;3;4;4;1;1;8;9;2;1;4;0;2;0;2
Oost-Vlaanderen;Audioloog;391;351;40;40;139;95;24;21;11;12;4;2;3;6;9;13;4;3;2;1;1;1;0
Antwerpen;Audioloog;361;343;18;49;122;78;31;19;17;9;6;7;5;3;4;5;1;1;1;1;0;0;2
Limburg;Audioloog;105;102;3;11;30;26;13;5;6;5;1;1;4;0;1;0;0;0;0;0;2;0;0
Waals Brabant;Audioloog;37;20;17;0;5;0;3;1;3;4;3;0;1;2;1;3;2;0;1;1;1;4;2
Henegouwen;Audioloog;58;40;18;6;9;3;2;1;4;4;1;6;4;1;5;1;2;2;1;1;1;1;3
Luik;Audioloog;23;13;10;3;3;1;1;0;2;2;1;0;0;0;2;3;2;0;2;0;0;0;1
Namen;Audioloog;31;20;11;4;1;2;1;0;1;2;2;6;1;0;2;3;0;0;1;1;2;2;0
Luxemburg;Audioloog;5;3;2;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
Brussels Hoofdstedelijk Gewest;Audioloog;90;57;33;12;20;12;4;2;0;3;3;0;1;3;15;4;3;2;3;1;1;0;1
België;Logopedist;16806;16295;511;1333;2931;2660;1924;1705;1467;1061;1151;1075;988;18;26;24;21;31;35;27;70;82;177
Vlaams Gewest;Logopedist;9587;9293;294;818;1704;1618;1168;999;876;553;597;528;432;13;10;8;9;15;24;9;39;49;118
Waals Gewest;Logopedist;5997;5814;183;395;923;812;647;619;517;451;494;489;467;2;11;8;9;15;11;17;27;29;54
Brussels Hoofdstedelijk Gewest;Logopedist;1222;1188;34;120;304;230;109;87;74;57;60;58;89;3;5;8;3;1;0;1;4;4;5
Vlaams Brabant;Logopedist;1624;1587;37;114;286;277;218;175;161;83;81;102;90;1;2;3;1;1;3;1;2;14;9
West-Vlaanderen;Logopedist;2042;1957;85;198;327;329;254;216;203;111;143;103;73;2;2;0;1;2;7;0;17;15;39
Oost-Vlaanderen;Logopedist;2672;2593;79;227;508;441;318;293;224;157;143;153;129;4;5;2;3;8;7;5;12;4;29
Antwerpen;Logopedist;2305;2239;66;215;429;408;263;217;198;138;144;120;107;4;1;2;2;3;6;1;7;10;30
Limburg;Logopedist;944;917;27;64;154;163;115;98;90;64;86;50;33;2;0;1;2;1;1;2;1;6;11
Waals Brabant;Logopedist;865;841;24;55;122;90;119;77;82;65;64;74;93;0;4;0;2;3;3;5;1;0;6
Henegouwen;Logopedist;1667;1600;67;111;269;238;159;162;161;128;129;126;117;1;5;5;4;2;0;6;11;15;18
Luik;Logopedist;2062;2008;54;132;314;275;209;212;164;176;170;197;159;0;2;2;1;3;6;5;11;7;17
Namen;Logopedist;869;840;29;61;133;142;95;98;66;46;76;63;60;0;0;0;1;6;1;1;3;5;12
Luxemburg;Logopedist;534;525;9;36;85;67;65;70;44;36;55;29;38;1;0;1;1;1;1;0;1;2;1
Brussels Hoofdstedelijk Gewest;Logopedist;1222;1188;34;120;304;230;109;87;74;57;60;58;89;3;5;8;3;1;0;1;4;4;5
België;Orthoptist-optometrist;1120;764;356;82;147;123;96;63;62;83;58;33;17;8;37;33;45;46;44;47;49;36;11
Vlaams Gewest;Orthoptist-optometrist;996;670;326;70;129;109;86;55;51;75;53;30;12;5;35;29;40;40;42;44;47;33;11
Waals Gewest;Orthoptist-optometrist;78;59;19;9;10;8;6;4;6;6;4;2;4;3;0;0;2;6;1;2;2;3;0
Brussels Hoofdstedelijk Gewest;Orthoptist-optometrist;46;35;11;3;8;6;4;4;5;2;1;1;1;0;2;4;3;0;1;1;0;0;0
Vlaams Brabant;Orthoptist-optometrist;176;113;63;7;21;19;13;8;11;13;9;7;5;2;8;6;8;9;5;6;10;7;2
West-Vlaanderen;Orthoptist-optometrist;209;137;72;22;22;12;16;14;10;14;19;5;3;1;10;4;7;7;14;8;9;9;3
Oost-Vlaanderen;Orthoptist-optometrist;216;142;74;12;28;22;16;14;15;20;8;6;1;1;7;8;5;12;12;13;9;4;3
Antwerpen;Orthoptist-optometrist;260;174;86;19;41;34;24;12;8;19;10;6;1;1;6;11;14;8;9;12;14;8;3
Limburg;Orthoptist-optometrist;135;104;31;10;17;22;17;7;7;9;7;6;2;0;4;0;6;4;2;5;5;5;0
Waals Brabant;Orthoptist-optometrist;12;7;5;0;0;1;1;2;1;1;0;0;1;0;0;0;1;2;0;1;0;1;0
Henegouwen;Orthoptist-optometrist;20;19;1;1;2;3;2;0;3;2;4;0;2;0;0;0;0;0;1;0;0;0;0
Luik;Orthoptist-optometrist;29;22;7;6;4;3;2;1;2;2;0;1;1;3;0;0;1;2;0;0;0;1;0
Namen;Orthoptist-optometrist;8;5;3;0;2;1;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0
Luxemburg;Orthoptist-optometrist;9;6;3;2;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0
Brussels Hoofdstedelijk Gewest;Orthoptist-optometrist;46;35;11;3;8;6;4;4;5;2;1;1;1;0;2;4;3;0;1;1;0;0;0
België;Podoloog;1082;726;356;133;212;119;82;78;44;22;19;10;7;65;124;47;43;33;17;11;8;6;2
Vlaams Gewest;Podoloog;772;543;229;112;172;93;60;51;36;5;6;4;4;57;98;23;22;12;10;4;0;2;1
Waals Gewest;Podoloog;197;109;88;6;20;18;19;17;6;8;11;2;2;2;19;15;18;15;7;4;5;3;0
Brussels Hoofdstedelijk Gewest;Podoloog;113;74;39;15;20;8;3;10;2;9;2;4;1;6;7;9;3;6;0;3;3;1;1
Vlaams Brabant;Podoloog;90;62;28;11;16;11;12;5;1;0;3;1;2;2;10;5;3;3;2;2;0;1;0
West-Vlaanderen;Podoloog;239;187;52;46;62;33;21;14;9;0;2;0;0;13;25;3;5;5;0;1;0;0;0
Oost-Vlaanderen;Podoloog;323;212;111;38;74;37;16;22;17;4;1;2;1;35;49;13;9;1;3;1;0;0;0
Antwerpen;Podoloog;82;57;25;13;17;9;8;4;3;1;0;1;1;4;10;2;3;2;4;0;0;0;0
Limburg;Podoloog;38;25;13;4;3;3;3;6;6;0;0;0;0;3;4;0;2;1;1;0;0;1;1
Waals Brabant;Podoloog;58;27;31;0;3;6;5;4;3;3;3;0;0;1;5;5;5;6;3;3;3;0;0
Henegouwen;Podoloog;64;34;30;3;10;4;6;5;2;1;0;2;1;0;9;5;6;6;1;0;1;2;0
Luik;Podoloog;29;20;9;2;2;3;2;2;0;3;5;0;1;0;2;0;2;1;2;0;1;1;0
Namen;Podoloog;31;20;11;0;4;5;4;4;0;1;2;0;0;1;1;4;3;1;1;0;0;0;0
Luxemburg;Podoloog;15;8;7;1;1;0;2;2;1;0;1;0;0;0;2;1;2;1;0;1;0;0;0
