Territoire;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Homme;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24
;;;Femme;Homme;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
Tous les paramédicaux;Belgique;72232.0;61591;10641;6776;11776;9718;7192;6228;4294;4405;4552;3815;2835;1095;2191;1549;1061;872;754;677;786;813;843
;Région flamande;44301.0;38023;6278;4790;7819;6136;4341;3674;2524;2550;2644;2172;1373;748;1385;848;566;485;420;369;447;481;529
;Région wallonne;22955.0;19448;3507;1497;2963;2851;2381;2199;1549;1642;1675;1449;1242;271;610;556;389;310;275;252;293;283;268
;"Région de
Bruxelles
Capitale";4976.0;4120;856;489;994;731;470;355;221;213;233;194;220;76;196;145;106;77;59;56;46;49;46
;Brabant flamand;7399.0;6175;1224;704;1177;955;750;597;431;423;465;415;258;119;247;147;106;87;93;75;115;128;107
;"Flandre
occidentale";9141.0;7799;1342;1021;1575;1259;888;785;483;511;566;430;281;134;285;163;129;98;98;88;109;102;136
;Flandre orientale;10820.0;9375;1445;1186;2010;1541;1010;911;616;638;572;537;354;189;319;192;147;127;84;91;85;94;117
;Anvers;11332.0;9806;1526;1338;2095;1538;1083;884;627;642;700;559;340;218;344;229;124;111;94;88;96;109;113
;Limbourg;5609.0;4868;741;541;962;843;610;497;367;336;341;231;140;88;190;117;60;62;51;27;42;48;56
;Brabant Wallon;2652.0;2231;421;131;297;290;271;261;202;182;223;193;181;15;61;65;50;45;40;37;33;39;36
;Hainaut;7973.0;6607;1366;549;1063;946;784;732;542;573;548;466;404;142;251;230;147;107;90;90;100;106;103
;Liège;7308.0;6339;969;456;955;967;770;718;472;552;551;499;399;70;178;139;112;89;81;62;81;80;77
;Namur;3466.0;2889;577;208;443;447;388;323;225;230;242;206;177;27;93;95;64;57;53;49;60;42;37
;Luxembourg;1556.0;1382;174;153;205;201;168;165;108;105;111;85;81;17;27;27;16;12;11;14;19;16;15
;"Région de
Bruxelles
Capitale";4976.0;4120;856;489;994;731;470;355;221;213;233;194;220;76;196;145;106;77;59;56;46;49;46
"Assistant
pharmaceutico-technique";Belgique;14127.0;12352;1775;1556;1844;1678;1287;1193;1013;1200;995;814;772;364;415;317;156;96;115;90;68;70;84
;Région flamande;7266.0;6192;1074;909;1012;805;579;545;465;624;509;401;343;227;271;177;86;59;61;51;39;44;59
;Région wallonne;5764.0;5203;561;495;644;695;580;555;498;520;441;382;393;110;114;120;56;28;41;26;23;21;22
;"Région de
Bruxelles
Capitale";1097.0;957;140;152;188;178;128;93;50;56;45;31;36;27;30;20;14;9;13;13;6;5;3
