Territoire-Spécialité;Unnamed: 1;Unnamed: 2;Total;Genre;Unnamed: 5;Femme;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Homme;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25
;;;;Femme;Homme;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
;Belgique;Tous les pharmaciens;21477.0;15386;6091;580;2043;2092;1378;1479;1496;1502;1234;856;2726;108;560;637;361;473;460;510;512;464;2006
;Région flamande;Tous les pharmaciens;12862.0;9221;3641;395;1376;1299;841;866;865;837;750;477;1515;80;335;329;197;262;265;255;298;281;1339
;Région wallonne;Tous les pharmaciens;6654.0;4795;1859;149;461;580;404;487;531;548;394;298;943;23;151;197;106;166;156;205;167;133;555
;"Région de Bruxelles
Capitale";Tous les pharmaciens;1961.0;1370;591;36;206;213;133;126;100;117;90;81;268;5;74;111;58;45;39;50;47;50;112
;Brabant flamand;Tous les pharmaciens;2758.0;2022;736;72;245;246;198;215;205;199;176;121;345;12;65;68;57;55;70;64;65;74;206
;Flandre occidentale;Tous les pharmaciens;2294.0;1626;668;78;241;194;144;129;169;142;134;87;308;14;43;42;19;45;35;40;48;53;329
;Flandre orientale;Tous les pharmaciens;3311.0;2356;955;113;396;363;181;242;210;209;175;108;359;35;95;88;51;71;84;61;67;62;341
;Anvers;Tous les pharmaciens;3343.0;2388;955;106;376;359;239;198;203;212;205;127;363;18;98;101;53;64;60;69;94;77;321
;Limbourg;Tous les pharmaciens;1156.0;829;327;26;118;137;79;82;78;75;60;34;140;1;34;30;17;27;16;21;24;15;142
;Brabant Wallon;Tous les pharmaciens;1187.0;881;306;27;63;95;77;93;100;116;61;61;188;1;14;32;17;29;35;33;32;19;94
;Hainaut;Tous les pharmaciens;1882.0;1339;543;47;123;157;107;135;165;138;124;99;244;3;50;58;29;57;46;54;55;43;148
;Liège;Tous les pharmaciens;2140.0;1520;620;44;163;187;140;129;144;185;118;88;322;13;56;73;33;47;43;72;48;45;190
;Namur;Tous les pharmaciens;1012.0;740;272;17;70;101;54;95;88;71;71;38;135;6;23;25;20;25;15;30;26;20;82
;Luxembourg;Tous les pharmaciens;433.0;315;118;14;42;40;26;35;34;38;20;12;54;0;8;9;7;8;17;16;6;6;41
;"Région de Bruxelles
Capitale";Tous les pharmaciens;1961.0;1370;591;36;206;213;133;126;100;117;90;81;268;5;74;111;58;45;39;50;47;50;112
;Belgique;"Sans agrément SPF
Santé publique";20255.0;14335;5920;549;1844;1845;1226;1365;1399;1424;1170;825;2688;104;531;599;337;459;448;496;502;452;1992
;Région flamande;"Sans agrément SPF
Santé publique";12129.0;8577;3552;382;1248;1136;753;792;813;790;710;461;1492;79;319;313;182;253;258;248;296;273;1331
;Région wallonne;"Sans agrément SPF
Santé publique";6264.0;4465;1799;133;410;510;356;455;494;519;372;283;933;20;140;180;102;163;152;199;163;131;549
;"Région de Bruxelles
Capitale";"Sans agrément SPF
Santé publique";1862.0;1293;569;34;186;199;117;118;92;115;88;81;263;5;72;106;53;43;38;49;43;48;112
;Brabant flamand;"Sans agrément SPF
Santé publique";2605.0;1891;714;68;223;212;175;200;199;190;171;115;338;12;62;61;52;53;70;63;65;72;204
;Flandre occidentale;"Sans agrément SPF
Santé publique";2176.0;1523;653;75;213;180;124;119;160;135;128;86;303;14;41;36;19;45;33;38;48;51;328
;Flandre orientale;"Sans agrément SPF
Santé publique";3102.0;2172;930;111;362;302;164;211;195;199;166;106;356;34;90;87;46;66;82;61;67;60;337
;Anvers;"Sans agrément SPF
Santé publique";3155.0;2221;934;103;345;318;218;183;187;199;189;121;358;18;94;100;49;62;58;65;92;76;320
;Limbourg;"Sans agrément SPF
Santé publique";1091.0;770;321;25;105;124;72;79;72;67;56;33;137;1;32;29;16;27;15;21;24;14;142
;Brabant Wallon;"Sans agrément SPF
Santé publique";1126.0;825;301;24;58;84;68;84;92;112;58;59;186;1;14;29;16;29;35;33;32;18;94
;Hainaut;"Sans agrément SPF
Santé publique";1770.0;1242;528;41;107;143;88;126;155;134;113;92;243;3;46;55;29;55;45;54;52;43;146
;Liège;"Sans agrément SPF
Santé publique";2020.0;1429;591;39;150;164;129;123;131;174;115;84;320;10;51;64;30;47;41;68;47;45;188
;Namur;"Sans agrément SPF
Santé publique";937.0;673;264;16;60;84;46;89;82;63;66;36;131;6;21;24;20;24;15;29;26;19;80
;Luxembourg;"Sans agrément SPF
Santé publique";411.0;296;115;13;35;35;25;33;34;36;20;12;53;0;8;8;7;8;16;15;6;6;41
;"Région de Bruxelles
Capitale";"Sans agrément SPF
Santé publique";1862.0;1293;569;34;186;199;117;118;92;115;88;81;263;5;72;106;53;43;38;49;43;48;112
;Belgique;"Pharmaciens
hospitaliers";1222.0;1051;171;31;199;247;152;114;97;78;64;31;38;4;29;38;24;14;12;14;10;12;14
;Région flamande;"Pharmaciens
hospitaliers";733.0;644;89;13;128;163;88;74;52;47;40;16;23;1;16;16;15;9;7;7;2;8;8
;Région wallonne;"Pharmaciens
hospitaliers";390.0;330;60;16;51;70;48;32;37;29;22;15;10;3;11;17;4;3;4;6;4;2;6
;"Région de Bruxelles
Capitale";"Pharmaciens
hospitaliers";99.0;77;22;2;20;14;16;8;8;2;2;0;5;0;2;5;5;2;1;1;4;2;0
;Brabant flamand;"Pharmaciens
hospitaliers";153.0;131;22;4;22;34;23;15;6;9;5;6;7;0;3;7;5;2;0;1;0;2;2
;Flandre occidentale;"Pharmaciens
hospitaliers";118.0;103;15;3;28;14;20;10;9;7;6;1;5;0;2;6;0;0;2;2;0;2;1
;Flandre orientale;"Pharmaciens
hospitaliers";209.0;184;25;2;34;61;17;31;15;10;9;2;3;1;5;1;5;5;2;0;0;2;4
;Anvers;"Pharmaciens
hospitaliers";188.0;167;21;3;31;41;21;15;16;13;16;6;5;0;4;1;4;2;2;4;2;1;1
;Limbourg;"Pharmaciens
hospitaliers";65.0;59;6;1;13;13;7;3;6;8;4;1;3;0;2;1;1;0;1;0;0;1;0
;Brabant Wallon;"Pharmaciens
hospitaliers";61.0;56;5;3;5;11;9;9;8;4;3;2;2;0;0;3;1;0;0;0;0;1;0
;Hainaut;"Pharmaciens
hospitaliers";112.0;97;15;6;16;14;19;9;10;4;11;7;1;0;4;3;0;2;1;0;3;0;2
;Liège;"Pharmaciens
hospitaliers";120.0;91;29;5;13;23;11;6;13;11;3;4;2;3;5;9;3;0;2;4;1;0;2
;Namur;"Pharmaciens
hospitaliers";75.0;67;8;1;10;17;8;6;6;8;5;2;4;0;2;1;0;1;0;1;0;1;2
;Luxembourg;"Pharmaciens
hospitaliers";22.0;19;3;1;7;5;1;2;0;2;0;0;1;0;0;1;0;0;1;1;0;0;0
;"Région de Bruxelles
Capitale";"Pharmaciens
hospitaliers";99.0;77;22;2;20;14;16;8;8;2;2;0;5;0;2;5;5;2;1;1;4;2;0
