territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Tous les pharmaciens;20615;14622;5993;540;2132;1732;1444;1453;1497;1536;1011;867;2410;123;585;531;377;489;447;547;496;451;1947
Région flamande;Tous les pharmaciens;12294;8704;3590;392;1433;1032;860;854;842;902;579;486;1324;83;350;276;197;280;240;304;286;291;1283
Région wallonne;Tous les pharmaciens;6450;4616;1834;125;502;519;443;492;546;514;340;297;838;33;153;160;132;159;166;199;161;122;549
Région de Bruxelles Capitale;Tous les pharmaciens;1871;1302;569;23;197;181;141;107;109;120;92;84;248;7;82;95;48;50;41;44;49;38;115
Brabant flamand;Tous les pharmaciens;2635;1907;728;57;243;206;214;223;181;212;149;120;302;13;66;66;50;60;58;81;63;64;207
Flandre occidentale;Tous les pharmaciens;2205;1537;668;85;224;167;143;146;157;155;101;90;269;22;39;31;27;50;32;40;52;66;309
Flandre orientale;Tous les pharmaciens;3149;2221;928;120;409;279;193;236;212;218;121;114;319;18;110;71;53;75;75;69;63;78;316
Anvers;Tous les pharmaciens;3173;2245;928;96;400;280;241;172;220;230;168;120;318;19;100;79;48;66;60;87;90;66;313
Limbourg;Tous les pharmaciens;1132;794;338;34;157;100;69;77;72;87;40;42;116;11;35;29;19;29;15;27;18;17;138
Brabant Wallon;Tous les pharmaciens;1120;827;293;14;59;96;76;101;96;102;60;65;158;3;13;23;20;33;33;35;23;20;90
Hainaut;Tous les pharmaciens;1821;1281;540;30;146;130;122;140;158;148;107;87;213;12;49;45;46;51;45;56;56;45;135
Liège;Tous les pharmaciens;2116;1488;628;45;187;155;142;131;175;157;102;86;308;12;66;62;38;40;53;70;50;33;204
Namur;Tous les pharmaciens;991;734;257;29;78;98;73;87;81;73;56;48;111;5;18;20;20;22;22;26;24;21;79
Luxembourg;Tous les pharmaciens;402;286;116;7;32;40;30;33;36;34;15;11;48;1;7;10;8;13;13;12;8;3;41
Région de Bruxelles Capitale;Tous les pharmaciens;1871;1302;569;23;197;181;141;107;109;120;92;84;248;7;82;95;48;50;41;44;49;38;115
Belgique;Sans agrément SPF Santé publique;19463;13640;5823;516;1918;1515;1299;1347;1403;1457;973;821;2391;122;551;489;362;471;437;531;482;441;1937
Région flamande;Sans agrément SPF Santé publique;11589;8089;3500;375;1289;901;766;794;787;848;558;460;1311;83;334;256;188;266;236;297;279;286;1275
Région wallonne;Sans agrément SPF Santé publique;6091;4318;1773;118;447;451;404;456;513;491;323;281;834;32;136;143;131;156;161;191;158;118;547
Région de Bruxelles Capitale;Sans agrément SPF Santé publique;1783;1233;550;23;182;163;129;97;103;118;92;80;246;7;81;90;43;49;40;43;45;37;115
Brabant flamand;Sans agrément SPF Santé publique;2498;1795;703;56;222;185;189;211;175;202;145;112;298;13;58;58;47;59;57;81;62;63;205
Flandre occidentale;Sans agrément SPF Santé publique;2090;1436;654;80;202;143;129;134;151;146;100;86;265;22;38;25;27;48;32;38;51;65;308
Flandre orientale;Sans agrément SPF Santé publique;2948;2047;901;117;366;230;170;213;199;206;118;113;315;18;106;69;49;68;74;68;62;76;311
Anvers;Sans agrément SPF Santé publique;2991;2081;910;89;363;252;215;165;199;214;156;111;317;19;98;76;47;63;59;83;87;65;313
Limbourg;Sans agrément SPF Santé publique;1062;730;332;33;136;91;63;71;63;80;39;38;116;11;34;28;18;28;14;27;17;17;138
Brabant Wallon;Sans agrément SPF Santé publique;1067;778;289;14;55;87;69;88;92;99;56;63;155;3;11;22;20;33;33;35;22;20;90
Hainaut;Sans agrément SPF Santé publique;1713;1191;522;26;128;113;107;132;150;139;102;81;213;11;42;43;46;49;44;54;55;44;134
Liège;Sans agrément SPF Santé publique;2004;1405;599;43;170;134;135;122;163;150;98;83;307;12;59;50;37;40;51;65;50;31;204
Namur;Sans agrément SPF Santé publique;924;674;250;29;68;80;66;81;73;71;52;43;111;5;17;19;20;21;21;26;23;20;78
Luxembourg;Sans agrément SPF Santé publique;383;270;113;6;26;37;27;33;35;32;15;11;48;1;7;9;8;13;12;11;8;3;41
Région de Bruxelles Capitale;Sans agrément SPF Santé publique;1783;1233;550;23;182;163;129;97;103;118;92;80;246;7;81;90;43;49;40;43;45;37;115
Belgique;Pharmaciens hospitaliers;1152;982;170;24;214;217;145;106;94;79;38;46;19;1;34;42;15;18;10;16;14;10;10
Région flamande;Pharmaciens hospitaliers;705;615;90;17;144;131;94;60;55;54;21;26;13;0;16;20;9;14;4;7;7;5;8
Région wallonne;Pharmaciens hospitaliers;359;298;61;7;55;68;39;36;33;23;17;16;4;1;17;17;1;3;5;8;3;4;2
Région de Bruxelles Capitale;Pharmaciens hospitaliers;88;69;19;0;15;18;12;10;6;2;0;4;2;0;1;5;5;1;1;1;4;1;0
Brabant flamand;Pharmaciens hospitaliers;137;112;25;1;21;21;25;12;6;10;4;8;4;0;8;8;3;1;1;0;1;1;2
Flandre occidentale;Pharmaciens hospitaliers;115;101;14;5;22;24;14;12;6;9;1;4;4;0;1;6;0;2;0;2;1;1;1
