Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Homme;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20
;;;Femme;Homme;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
Belgique;Toutes les spécialités;4598.0;1813;2785;164;281;332;317;238;169;135;177;102;173;241;318;332;378;362;879
;Médecine nucléaire in vitro;205.0;82;123;0;0;2;7;11;25;19;18;1;1;0;3;8;21;29;60
;"Réadaptation fonctionnelle et
professionnelle des handicapés";987.0;376;611;10;22;57;63;61;42;35;86;6;21;27;37;50;53;63;354
;Gériatrie;147.0;50;97;0;6;7;13;8;6;6;4;0;1;3;5;6;5;14;63
;Chirurgie orale et maxillo - faciale;201.0;47;154;5;7;14;11;3;1;6;0;10;17;25;21;19;20;15;27
;Soins intensifs;948.0;314;634;46;71;55;60;44;17;12;9;48;70;70;88;88;105;76;89
;Neurologie pédiatrique;101.0;75;26;5;15;16;12;4;6;4;13;0;1;2;2;3;2;6;10
;Néphrologie;359.0;147;212;17;38;30;25;12;9;9;7;14;23;20;23;22;27;20;63
;Médecine d'urgence;476.0;133;343;7;11;29;29;26;12;8;11;4;14;33;57;65;47;56;67
;Endocrino-diabétologie;365.0;204;161;29;35;42;32;26;13;13;14;5;6;15;23;12;19;19;62
;Néonatologie;141.0;100;41;10;21;15;21;16;8;5;4;2;4;3;10;6;5;5;6
;Oncologie;325.0;125;200;16;30;38;23;7;7;3;1;7;9;26;33;29;40;30;26
;Hématologie et oncologie pédiatrique;42.0;30;12;0;3;8;4;3;7;5;0;0;1;3;2;2;2;0;2
;Hématologie clinique;173.0;92;81;19;21;17;14;9;7;4;1;5;5;12;9;13;15;8;14
;Gestion de données de santé;103.0;29;74;0;0;0;1;5;8;6;9;0;0;1;1;8;14;20;30
;Psychiatrie médico-légale;25.0;9;16;0;1;2;2;3;1;0;0;0;0;1;4;1;3;1;6
Région flamande;Toutes les spécialités;2803.0;1129;1674;119;193;223;217;154;94;63;66;79;119;162;204;211;214;199;486
;Médecine nucléaire in vitro;108.0;38;70;0;0;2;5;9;11;5;6;1;0;0;3;7;12;19;28
;"Réadaptation fonctionnelle et
professionnelle des handicapés";618.0;246;372;10;20;48;45;45;27;16;35;6;19;20;26;33;30;31;207
;Gériatrie;98.0;34;64;0;6;4;11;5;2;4;2;0;1;2;5;2;2;12;40
;Chirurgie orale et maxillo - faciale;147.0;27;120;4;5;7;8;0;0;3;0;8;16;21;15;13;15;13;19
;Soins intensifs;628.0;237;391;35;53;43;49;34;12;7;4;35;45;52;57;57;54;43;48
;Neurologie pédiatrique;60.0;42;18;5;7;8;9;3;4;2;4;0;1;1;2;3;1;3;7
;Néphrologie;200.0;83;117;9;25;18;15;7;2;5;2;11;15;12;12;12;14;8;33
;Médecine d'urgence;268.0;76;192;7;7;20;22;11;2;2;5;4;8;24;36;38;26;27;29
;Endocrino-diabétologie;182.0;109;73;19;23;19;15;13;9;7;4;3;4;6;13;4;10;6;27
;Néonatologie;75.0;49;26;6;9;6;9;10;5;3;1;2;2;2;5;5;4;3;3
;Oncologie;231.0;98;133;14;23;29;16;7;6;3;0;6;5;15;21;21;29;19;17
;Hématologie et oncologie pédiatrique;26.0;20;6;0;3;6;2;2;5;2;0;0;1;0;1;2;1;0;1
;Hématologie clinique;92.0;52;40;10;11;11;9;4;5;2;0;3;2;5;3;8;8;4;7
;Gestion de données de santé;45.0;9;36;0;0;0;0;1;3;2;3;0;0;1;1;5;5;10;14
;Psychiatrie médico-légale;25.0;9;16;0;1;2;2;3;1;0;0;0;0;1;4;1;3;1;6
Région wallonne;Toutes les spécialités;1292.0;456;836;27;53;69;81;59;52;45;70;17;39;52;92;91;125;130;290
;Médecine nucléaire in vitro;66.0;29;37;0;0;0;2;1;12;7;7;0;1;0;0;0;6;7;23
;"Réadaptation fonctionnelle et
professionnelle des handicapés";269.0;92;177;0;0;7;14;14;10;14;33;0;2;5;8;12;17;22;111
;Gériatrie;41.0;14;27;0;0;3;2;3;3;1;2;0;0;0;0;4;2;2;19
;Chirurgie orale et maxillo - faciale;32.0;8;24;1;1;4;2;0;0;0;0;2;1;2;5;5;4;0;5
;Soins intensifs;233.0;48;185;6;12;5;10;5;5;3;2;10;16;10;28;25;36;27;33
;Neurologie pédiatrique;31.0;24;7;0;5;7;3;1;1;1;6;0;0;1;0;0;1;3;2
;Néphrologie;107.0;41;66;4;7;7;7;5;5;3;3;1;4;6;7;8;9;10;21
;Médecine d'urgence;168.0;42;126;0;3;7;7;11;6;4;4;0;6;5;18;21;20;27;29
;Endocrino-diabétologie;125.0;65;60;7;8;13;14;12;2;4;5;2;2;6;7;4;7;11;21
;Néonatologie;39.0;27;12;2;4;4;9;3;1;2;2;0;2;1;4;1;1;1;2
;Oncologie;73.0;21;52;2;5;8;4;0;1;0;1;1;3;8;11;6;9;8;6
;Hématologie et oncologie pédiatrique;10.0;6;4;0;0;1;2;0;1;2;0;0;0;2;1;0;1;0;0
;Hématologie clinique;52.0;25;27;5;8;3;4;3;1;1;0;1;2;6;3;3;4;4;4
;Gestion de données de santé;46.0;14;32;0;0;0;1;1;4;3;5;0;0;0;0;2;8;8;14
"Région de Bruxelles
Capitale";Toutes les spécialités;503.0;228;275;18;35;40;19;25;23;27;41;6;15;27;22;30;39;33;103
;Médecine nucléaire in vitro;31.0;15;16;0;0;0;0;1;2;7;5;0;0;0;0;1;3;3;9
;"Réadaptation fonctionnelle et
professionnelle des handicapés";100.0;38;62;0;2;2;4;2;5;5;18;0;0;2;3;5;6;10;36
;Gériatrie;8.0;2;6;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;4
