Gebied;Specialiteit;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);176778;153738;23040;6201;12316;13701;17034;16970;18649;21405;17864;11980;17618;915;2266;2435;2992;2772;2733;3239;2923;1469;1296
Gewest Vlaanderen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);114768;99099;15669;4273;7565;8552;10722;10939;12393;14293;11647;7582;11133;628;1300;1412;1758;1701;1988;2404;2228;1204;1046
Gewest Wallonië;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);52711;46590;6121;1653;3754;4310;5440;5277;5478;6214;5363;3824;5277;237;753;777;1026;923;626;724;607;228;220
Gewest Brussels hoofdstedelijk gewest;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);9299;8049;1250;275;997;839;872;754;778;898;854;574;1208;50;213;246;208;148;119;111;88;37;30
Prov Vlaams Brabant;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);19017;16295;2722;625;1102;1173;1594;1775;2177;2617;2160;1341;1731;98;192;208;249;276;329;473;478;231;188
Prov West-Vlaanderen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);25072;21810;3262;1124;1915;2034;2376;2339;2370;2988;2571;1649;2444;157;300;323;373;357;377;464;453;251;207
Prov Oost-Vlaanderen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);26977;23312;3665;973;1583;1994;2561;2675;2998;3362;2634;1841;2691;141;278;329;455;408;476;572;532;294;180
Prov Antwerpen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);27193;23483;3710;947;1686;1932;2412;2583;3064;3550;2813;1673;2823;121;299;333;392;421;474;612;538;268;252
Prov Limburg;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);16509;14199;2310;604;1279;1419;1779;1567;1784;1776;1469;1078;1444;111;231;219;289;239;332;283;227;160;219
Prov Waals Brabant;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);5196;4746;450;136;288;306;491;492;556;772;642;420;643;21;59;59;63;61;66;53;41;11;16
Prov Henegouwen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);19268;16982;2286;584;1327;1482;2014;2041;2091;2361;1936;1372;1774;98;255;290;381;324;242;296;249;81;70
Prov Luik;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);16511;14425;2086;577;1311;1511;1803;1631;1581;1653;1611;1131;1616;61;268;272;352;324;201;212;213;82;101
Prov Namen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);7912;7037;875;230;566;674;743;728;819;945;801;616;915;36;124;110;154;142;92;98;65;34;20
Prov Luxemburg;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);3824;3400;424;126;262;337;389;385;431;483;373;285;329;21;47;46;76;72;25;65;39;20;13
Prov Brussels hoofdstedelijk gewest;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);9299;8049;1250;275;997;839;872;754;778;898;854;574;1208;50;213;246;208;148;119;111;88;37;30
België;GEEN ERKENNING;152322;134161;18161;5453;9880;10998;13894;14056;15794;18882;16138;11494;17572;763;1755;1796;2239;2062;2091;2531;2350;1307;1267
België;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;9765;6751;3014;402;1153;1075;1185;1005;808;557;409;129;28;133;404;447;503;402;374;357;279;88;27
België;BIJZONDERE BEROEPSTITEL - GERIATRIE;2012;1649;363;27;143;186;280;253;297;253;163;46;1;2;12;32;59;58;66;74;46;13;1
België;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;2723;2400;323;76;267;332;410;377;381;289;218;43;7;4;21;40;55;51;39;52;50;11;0
België;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;3766;3638;128;220;610;616;593;495;447;367;229;59;2;6;20;23;19;13;18;21;7;1;0
België;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;1519;1005;514;14;70;78;148;225;171;146;121;31;1;5;26;35;54;105;80;88;100;21;0
België;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;3151;2884;267;3;134;328;427;433;521;600;325;109;4;0;9;41;49;43;38;44;34;8;1
België;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;632;566;66;1;28;37;78;101;114;118;71;15;3;1;5;10;5;9;10;18;8;0;0
België;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;1269;988;281;5;55;82;86;113;193;209;195;49;1;1;12;17;20;42;39;72;58;20;0
België;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;257;225;32;0;5;17;26;28;35;59;43;12;0;0;3;3;1;3;6;7;8;1;0
Gewest Vlaanderen;GEEN ERKENNING;98995;86610;12385;3926;6217;7000;8779;9000;10434;12491;10419;7238;11106;547;1041;1053;1311;1243;1508;1839;1759;1062;1022
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;5785;3885;1900;216;645;604;693;589;463;313;265;81;16;71;202;251;295;233;262;275;210;79;22
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - GERIATRIE;1502;1212;290;18;81;124;206;188;229;211;123;32;0;2;8;21;38;46;57;61;44;12;1
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;1789;1568;221;27;153;211;270;257;272;204;137;32;5;4;10;21;37;30;29;41;42;7;0
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;2007;1939;68;75;278;269;301;298;294;229;153;42;0;2;6;9;6;4;15;18;7;1;0
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;1074;691;383;4;33;41;77;185;125;113;87;26;0;1;10;14;32;81;64;72;90;19;0
