Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Man;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22
;;;Vrouw;Man;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
België;Alle specialiteiten;30750.0;13602;17148;37;1738;2000;1775;1950;1716;1375;1053;1958;12;1198;1236;1266;1580;1565;1925;2077;6289
;Geriatrie;408.0;269;139;0;50;47;43;39;43;20;15;12;0;8;11;12;11;10;11;22;54
;Urgentiegeneeskunde;366.0;182;184;0;64;72;21;13;7;3;2;0;0;60;50;25;21;16;6;3;3
;Gerechtelijke geneeskunde;16.0;6;10;0;2;2;0;2;0;0;0;0;0;1;3;2;0;0;0;1;3
;Beheer van gezondheidsgegevens;57.0;22;35;0;0;0;0;1;4;6;7;4;0;0;0;1;1;4;10;8;11
;Anesthesie-reanimatie;2903.0;1199;1704;3;151;202;149;166;158;117;63;190;2;223;168;171;188;209;194;190;359
;Heelkunde;1829.0;415;1414;0;61;75;65;66;47;28;28;45;0;65;105;117;130;127;163;163;544
;Neurochirurgie;260.0;37;223;0;7;11;1;4;8;5;1;0;0;20;24;26;32;28;20;21;52
;"Plastische, reconstructieve en
esthetische heelkunde";301.0;81;220;0;8;19;9;11;6;7;11;10;0;16;16;36;19;27;36;17;53
;Urologie;540.0;90;450;0;20;18;18;14;8;5;5;2;0;36;49;37;53;42;46;40;147
;Orthopedische heelkunde;1322.0;159;1163;0;35;23;26;18;21;14;8;14;0;78;116;102;129;106;147;144;341
;Neurologie;715.0;369;346;3;63;69;61;51;45;32;19;26;0;26;32;32;48;33;42;52;81
