gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle specialiteiten;30750;13602;17148;37;1738;2000;1775;1950;1716;1375;1053;1958;12;1198;1236;1266;1580;1565;1925;2077;6289
België;Geriatrie;408;269;139;0;50;47;43;39;43;20;15;12;0;8;11;12;11;10;11;22;54
België;Urgentiegeneeskunde;366;182;184;0;64;72;21;13;7;3;2;0;0;60;50;25;21;16;6;3;3
België;Gerechtelijke geneeskunde;16;6;10;0;2;2;0;2;0;0;0;0;0;1;3;2;0;0;0;1;3
België;Beheer van gezondheidsgegevens;57;22;35;0;0;0;0;1;4;6;7;4;0;0;0;1;1;4;10;8;11
België;Anesthesie-reanimatie;2903;1199;1704;3;151;202;149;166;158;117;63;190;2;223;168;171;188;209;194;190;359
België;Heelkunde;1829;415;1414;0;61;75;65;66;47;28;28;45;0;65;105;117;130;127;163;163;544
België;Neurochirurgie;260;37;223;0;7;11;1;4;8;5;1;0;0;20;24;26;32;28;20;21;52
België;Plastische, reconstructieve en esthetische heelkunde;301;81;220;0;8;19;9;11;6;7;11;10;0;16;16;36;19;27;36;17;53
België;Urologie;540;90;450;0;20;18;18;14;8;5;5;2;0;36;49;37;53;42;46;40;147
België;Orthopedische heelkunde;1322;159;1163;0;35;23;26;18;21;14;8;14;0;78;116;102;129;106;147;144;341
België;Neurologie;715;369;346;3;63;69;61;51;45;32;19;26;0;26;32;32;48;33;42;52;81
België;Psychiatrie;932;429;503;0;0;5;9;39;114;105;64;93;0;0;4;2;31;73;87;67;239
België;Neuropsychiatrie;190;44;146;0;0;0;0;0;0;1;6;37;0;0;0;0;0;0;0;8;138
België;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;420;333;87;0;38;76;65;76;28;10;13;27;0;13;6;16;14;5;4;9;20
België;Psychiatrie, meer bepaald volwassenpsychiatrie;914;463;451;3;76;84;93;95;28;9;21;54;0;46;37;42;68;22;9;43;184
België;Pneumologie;687;302;385;0;40;52;67;58;34;16;11;24;0;29;26;22;37;34;51;65;121
België;Gastro-enterologie;856;310;546;0;52;67;51;48;32;19;16;25;0;36;45;45;54;52;77;73;164
België;Cardiologie;1377;352;1025;0;39;67;61;55;38;38;26;28;0;73;88;94;121;105;127;111;306
België;Inwendige geneeskunde;2020;843;1177;1;114;159;150;137;103;58;46;75;1;81;50;76;107;110;130;118;504
België;Reumatologie;298;147;151;0;17;20;18;16;22;20;10;24;0;3;11;7;6;12;17;17;78
België;Acute geneeskunde;308;138;170;0;8;12;13;36;34;14;10;11;1;4;8;12;30;43;28;20;24
België;Gynaecologie-verloskunde;1850;1070;780;3;198;183;139;137;124;105;74;107;0;22;32;34;55;66;82;101;388
België;Oftalmologie;1353;845;508;17;95;97;94;102;82;79;76;203;7;41;34;34;41;42;55;55;199
België;Otorhinolaryngologie;792;372;420;0;60;55;45;49;45;49;29;40;0;19;23;24;36;32;42;66;178
België;Stomatologie;397;108;289;0;16;16;17;15;14;4;11;15;0;32;30;25;25;20;31;31;95
België;Dermato-venereologie;904;661;243;1;74;76;72;87;94;74;47;136;0;8;16;10;18;15;31;25;120
België;Pediatrie;2103;1451;652;2;219;206;193;206;173;139;87;226;0;33;44;45;40;50;51;61;328
België;Fysische geneeskunde en revalidatie;643;312;331;2;41;41;32;42;48;30;34;42;0;33;18;27;29;14;42;38;130
België;Klinische biologie;726;358;368;1;19;27;32;34;40;34;48;123;0;21;11;17;14;17;38;48;202
België;Rontgendiagnose;1995;618;1377;1;78;89;66;86;72;92;51;83;1;117;114;103;99;122;180;182;459
België;Radiotherapie-oncologie;256;149;107;0;13;19;27;22;20;17;12;19;0;9;13;14;16;11;5;23;16
België;Nucleaire geneeskunde;357;132;225;0;11;14;17;17;15;24;15;19;0;13;18;10;14;18;23;24;105
België;Pathologische anatomie;429;240;189;0;24;34;25;31;36;29;19;42;0;15;8;17;17;17;18;24;73
België;Medische oncologie;338;191;147;0;32;38;31;25;23;19;11;12;0;13;20;8;14;24;24;12;32
België;Klinische genetica;76;48;28;0;0;4;8;8;13;5;3;7;0;0;1;6;3;7;6;2;3
België;Arbeidsgeneeskunde;1186;657;529;0;11;20;54;132;104;112;101;123;0;4;4;14;49;34;45;100;279
België;Verzekeringsgeneeskunde en medische expertise;626;200;426;0;2;1;3;12;33;36;53;60;0;0;1;1;10;18;47;93;256
Vlaams Gewest;Alle specialiteiten;16900;7344;9556;25;1026;1133;1022;1081;999;755;502;801;6;708;716;750;942;886;1081;1176;3291
Vlaams Gewest;Geriatrie;242;150;92;0;35;22;19;21;25;10;11;7;0;5;8;3;8;7;8;15;38
Vlaams Gewest;Urgentiegeneeskunde;179;97;82;0;36;40;9;6;4;2;0;0;0;36;23;9;8;4;1;1;0
Vlaams Gewest;Gerechtelijke geneeskunde;9;4;5;0;2;2;0;0;0;0;0;0;0;1;1;0;0;0;0;1;2
Vlaams Gewest;Beheer van gezondheidsgegevens;25;9;16;0;0;0;0;1;0;3;3;2;0;0;0;0;1;2;3;4;6
Vlaams Gewest;Anesthesie-reanimatie;1672;702;970;2;97;120;93;95;97;77;38;83;1;130;93;99;114;107;110;113;203
Vlaams Gewest;Heelkunde;1026;231;795;0;35;46;40;42;29;7;12;20;0;44;61;77;80;75;95;90;273
Vlaams Gewest;Neurochirurgie;165;19;146;0;4;5;0;3;4;3;0;0;0;13;18;20;20;20;12;12;31
Vlaams Gewest;Plastische, reconstructieve en esthetische heelkunde;176;47;129;0;6;12;4;5;5;3;6;6;0;7;8;18;10;17;25;10;34
Vlaams Gewest;Urologie;327;56;271;0;13;13;14;5;6;2;2;1;0;23;30;24;32;27;31;24;80
Vlaams Gewest;Orthopedische heelkunde;800;97;703;0;26;16;16;8;14;8;4;5;0;57;69;65;87;67;90;85;183
Vlaams Gewest;Neurologie;399;207;192;1;41;43;40;26;20;17;5;14;0;17;17;19;26;18;18;29;48
Vlaams Gewest;Psychiatrie;266;139;127;0;0;0;2;7;61;47;14;8;0;0;0;0;10;41;46;15;15
Vlaams Gewest;Neuropsychiatrie;111;26;85;0;0;0;0;0;0;1;5;20;0;0;0;0;0;0;0;6;79
Vlaams Gewest;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;277;231;46;0;26;47;41;59;21;6;12;19;0;2;3;9;8;2;3;5;14
Vlaams Gewest;Psychiatrie, meer bepaald volwassenpsychiatrie;631;293;338;3;47;47;62;58;10;3;15;48;0;26;21;19;46;9;2;41;174
Vlaams Gewest;Pneumologie;374;169;205;0;20;35;41;32;19;11;6;5;0;16;17;16;19;15;26;38;58
Vlaams Gewest;Gastro-enterologie;469;170;299;0;34;43;25;30;16;10;7;5;0;25;29;31;31;28;36;40;79
Vlaams Gewest;Cardiologie;711;140;571;0;14;29;25;27;19;14;4;8;0;43;59;60;77;60;71;52;149
Vlaams Gewest;Inwendige geneeskunde;974;411;563;1;56;83;77;63;50;29;28;24;0;38;26;30;50;51;55;52;261
Vlaams Gewest;Reumatologie;153;75;78;0;10;16;7;9;11;9;5;8;0;2;6;5;5;6;9;6;39
Vlaams Gewest;Acute geneeskunde;143;62;81;0;6;10;8;16;9;7;3;3;1;2;6;11;18;22;10;6;5
Vlaams Gewest;Gynaecologie-verloskunde;926;526;400;2;108;92;80;73;72;48;25;26;0;14;16;18;25;32;46;53;196
Vlaams Gewest;Oftalmologie;801;513;288;11;60;56;58;58;63;49;50;108;4;18;14;20;17;24;32;34;125
Vlaams Gewest;Otorhinolaryngologie;432;203;229;0;38;34;28;24;21;28;13;17;0;9;14;16;24;20;17;40;89
Vlaams Gewest;Stomatologie;241;65;176;0;12;13;12;7;9;2;4;6;0;20;19;22;20;11;21;24;39
Vlaams Gewest;Dermato-venereologie;507;377;130;1;42;47;42;58;56;40;23;68;0;5;9;5;10;12;16;11;62
Vlaams Gewest;Pediatrie;1043;724;319;2;117;101;95;99;101;84;36;89;0;14;18;23;22;26;23;36;157
Vlaams Gewest;Fysische geneeskunde en revalidatie;397;177;220;2;25;21;17;26;31;18;19;18;0;28;16;15;19;10;29;21;82
Vlaams Gewest;Klinische biologie;385;180;205;0;15;16;21;25;25;19;18;41;0;10;5;11;12;15;27;26;99
Vlaams Gewest;Rontgendiagnose;1111;311;800;0;45;47;31;46;47;43;20;32;0;72;71;59;68;71;118;105;236
Vlaams Gewest;Radiotherapie-oncologie;161;91;70;0;10;11;19;16;17;11;4;3;0;5;9;9;9;6;3;18;11
Vlaams Gewest;Nucleaire geneeskunde;172;62;110;0;8;7;10;8;10;9;6;4;0;6;10;7;4;12;13;12;46
Vlaams Gewest;Pathologische anatomie;270;141;129;0;13;21;21;19;20;19;10;18;0;11;3;13;14;13;10;14;51
Vlaams Gewest;Medische oncologie;166;100;66;0;14;22;19;16;10;11;6;2;0;6;12;1;6;17;9;6;9
Vlaams Gewest;Klinische genetica;48;29;19;0;0;1;6;4;8;3;3;4;0;0;1;4;1;5;4;2;2
Vlaams Gewest;Arbeidsgeneeskunde;769;404;365;0;9;14;38;83;64;79;58;59;0;3;3;12;37;21;35;77;177
Vlaams Gewest;Verzekeringsgeneeskunde en medische expertise;342;106;236;0;2;1;2;6;25;23;27;20;0;0;1;0;4;13;27;52;139
Waals Gewest;Alle specialiteiten;9882;4290;5592;7;433;591;521;647;520;441;377;753;2;296;354;370;480;521;672;690;2207
Waals Gewest;Geriatrie;123;90;33;0;11;18;17;15;13;9;3;4;0;2;1;7;2;3;2;5;11
Waals Gewest;Urgentiegeneeskunde;136;58;78;0;21;22;8;4;3;0;0;0;0;18;21;11;10;11;3;2;2
Waals Gewest;Gerechtelijke geneeskunde;6;2;4;0;0;0;0;2;0;0;0;0;0;0;1;2;0;0;0;0;1
Waals Gewest;Beheer van gezondheidsgegevens;21;7;14;0;0;0;0;0;1;2;3;1;0;0;0;0;0;2;5;4;3
Waals Gewest;Anesthesie-reanimatie;928;352;576;1;27;63;42;61;43;29;18;68;1;56;56;53;64;79;72;66;129
Waals Gewest;Heelkunde;595;128;467;0;22;16;17;16;15;17;12;13;0;10;24;35;40;34;56;62;206
Waals Gewest;Neurochirurgie;75;14;61;0;3;4;1;1;2;2;1;0;0;6;6;4;10;6;8;6;15
