gebied;specialiteit;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;ALLE SPECIALITEITEN;8555;3998;4557;34;368;270;439;447;531;692;694;276;247;16;143;180;225;205;394;949;1037;523;885
Gewest Vlaanderen;ALLE SPECIALITEITEN;5009;2344;2665;28;213;145;257;284;327;416;429;127;118;12;90;76;129;94;204;548;686;296;530
Gewest Wallonië;ALLE SPECIALITEITEN;2535;1175;1360;5;96;81;126;124;135;221;202;101;84;3;26;62;52;71;130;304;278;178;256
Gewest Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;1011;479;532;1;59;44;56;39;69;55;63;48;45;1;27;42;44;40;60;97;73;49;99
Prov Vlaams Brabant;ALLE SPECIALITEITEN;1140;617;523;7;43;43;70;81;92;114;107;25;35;2;19;15;29;30;51;116;128;50;83
Prov West-Vlaanderen;ALLE SPECIALITEITEN;932;396;536;6;45;25;53;48;34;75;65;26;19;1;10;17;18;14;22;101;148;77;128
Prov Oost-Vlaanderen;ALLE SPECIALITEITEN;1075;498;577;6;46;31;55;62;66;68;98;39;27;3;26;15;36;17;50;103;148;62;117
Prov Antwerpen;ALLE SPECIALITEITEN;1239;560;679;6;55;25;45;62;100;107;104;24;32;4;24;16;31;27;62;158;160;65;132
Prov Limburg;ALLE SPECIALITEITEN;623;273;350;3;24;21;34;31;35;52;55;13;5;2;11;13;15;6;19;70;102;42;70
Prov Waals Brabant;ALLE SPECIALITEITEN;503;274;229;0;16;18;24;35;32;45;55;22;27;0;5;8;9;15;22;40;46;36;48
Prov Henegouwen;ALLE SPECIALITEITEN;668;302;366;2;24;17;33;39;32;63;53;22;17;1;8;19;10;20;35;71;92;44;66
Prov Luik;ALLE SPECIALITEITEN;906;393;513;1;48;37;46;26;44;79;57;35;20;2;13;25;20;22;45;133;93;63;97
Prov Namen;ALLE SPECIALITEITEN;310;142;168;2;6;7;15;18;19;20;23;17;15;0;0;9;9;9;19;32;35;19;36
Prov Luxemburg;ALLE SPECIALITEITEN;148;64;84;0;2;2;8;6;8;14;14;5;5;0;0;1;4;5;9;28;12;16;9
Prov Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;1011;479;532;1;59;44;56;39;69;55;63;48;45;1;27;42;44;40;60;97;73;49;99
België;ALGEMENE TANDHEELKUNDE;7997;3635;4362;34;345;226;393;395;458;651;637;261;235;16;136;159;200;190;370;911;998;508;874
België;PARODONTOLOGIE;146;82;64;0;8;14;19;16;18;3;3;1;0;0;6;8;12;7;13;9;7;2;0
België;ORTHODONTIE;412;281;131;0;15;30;27;36;55;38;54;14;12;0;1;13;13;8;11;29;32;13;11
Gewest Vlaanderen;ALGEMENE TANDHEELKUNDE;4661;2120;2541;28;199;121;231;254;278;389;386;122;112;12;84;63;115;82;193;522;658;291;521
Gewest Vlaanderen;PARODONTOLOGIE;105;60;45;0;5;7;13;13;15;3;3;1;0;0;6;5;8;6;6;8;5;1;0
Gewest Vlaanderen;ORTHODONTIE;243;164;79;0;9;17;13;17;34;24;40;4;6;0;0;8;6;6;5;18;23;4;9
Gewest Wallonië;ALGEMENE TANDHEELKUNDE;2382;1073;1309;5;90;66;114;104;122;210;192;91;79;3;25;56;47;69;119;296;268;171;255
Gewest Wallonië;PARODONTOLOGIE;28;15;13;0;2;5;3;3;2;0;0;0;0;0;0;3;2;1;5;0;2;0;0
Gewest Wallonië;ORTHODONTIE;125;87;38;0;4;10;9;17;11;11;10;10;5;0;1;3;3;1;6;8;8;7;1
Gewest Brussels hoofdstedelijk gewest;ALGEMENE TANDHEELKUNDE;954;442;512;1;56;39;48;37;58;52;59;48;44;1;27;40;38;39;58;93;72;46;98
Gewest Brussels hoofdstedelijk gewest;PARODONTOLOGIE;13;7;6;0;1;2;3;0;1;0;0;0;0;0;0;0;2;0;2;1;0;1;0
Gewest Brussels hoofdstedelijk gewest;ORTHODONTIE;44;30;14;0;2;3;5;2;10;3;4;0;1;0;0;2;4;1;0;3;1;2;1
