territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;9522;9425;97;988;1508;1253;972;997;1060;1085;594;340;628;1;5;6;11;14;20;25;13;2;0
Région Flandre;6425;6362;63;745;990;915;680;641;727;751;383;226;304;0;3;2;5;10;18;17;7;1;0
Région Wallonie;2393;2366;27;171;323;256;239;315;260;280;178;96;248;1;0;2;5;3;2;8;5;1;0
Région Région de Bruxelles-capitale;704;697;7;72;195;82;53;41;73;54;33;18;76;0;2;2;1;1;0;0;1;0;0
Prov Brabant flamand;1197;1182;15;139;193;133;115;117;152;143;66;34;90;0;1;0;2;0;4;5;3;0;0
Prov Flandre occidentale;1279;1269;10;175;188;167;136;126;144;144;101;48;40;0;0;0;0;3;0;5;2;0;0
Prov Flandre orientale;1273;1256;17;164;214;231;144;145;135;128;46;22;27;0;0;1;2;2;8;3;0;1;0
Prov Anvers;1762;1748;14;170;258;254;192;167;204;222;110;83;88;0;2;1;1;3;3;2;2;0;0
Prov Limbourg;914;907;7;97;137;130;93;86;92;114;60;39;59;0;0;0;0;2;3;2;0;0;0
Prov Brabant wallon;302;298;4;13;35;20;33;39;34;50;21;17;36;0;0;0;0;0;1;2;1;0;0
Prov Hainaut;708;698;10;48;87;83;75;119;86;72;73;33;22;0;0;1;1;2;0;3;3;0;0
Prov Liège;780;770;10;61;137;87;78;77;72;75;54;19;110;0;0;1;4;1;1;2;0;1;0
Prov Namur;401;400;1;24;45;48;36;53;36;56;19;22;61;0;0;0;0;0;0;1;0;0;0
Prov Luxembourg;202;200;2;25;19;18;17;27;32;27;11;5;19;1;0;0;0;0;0;0;1;0;0
Prov Région de Bruxelles-capitale;704;697;7;72;195;82;53;41;73;54;33;18;76;0;2;2;1;1;0;0;1;0;0
