territoire;spécialité;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;TOUS LES PHARMACIENS;18072;12554;5518;647;1644;1370;1428;1490;1526;1019;869;1246;1315;141;470;356;483;442;557;492;452;794;1331
Région Flandre;TOUS LES PHARMACIENS;10536;7247;3289;452;995;782;825;836;903;582;483;722;667;89;258;181;278;234;305;284;288;537;835
Région Wallonie;TOUS LES PHARMACIENS;5869;4129;1740;158;469;425;486;544;502;340;296;414;495;43;143;120;153;167;203;161;126;203;421
Région Région de Bruxelles-capitale;TOUS LES PHARMACIENS;1667;1178;489;37;180;163;117;110;121;97;90;110;153;9;69;55;52;41;49;47;38;54;75
Prov Brabant flamand;TOUS LES PHARMACIENS;2323;1664;659;75;213;185;206;180;218;147;117;174;149;18;62;42;59;53;77;67;63;80;138
Prov Flandre occidentale;TOUS LES PHARMACIENS;1954;1317;637;80;173;138;150;158;155;97;84;139;143;17;33;29;49;31;43;48;62;119;206
Prov Flandre orientale;TOUS LES PHARMACIENS;2570;1743;827;129;250;153;227;207;214;121;116;173;153;25;67;37;71;75;70;61;75;163;183
Prov Anvers;TOUS LES PHARMACIENS;2718;1847;871;108;258;233;166;219;229;176;122;174;162;19;73;55;72;60;90;91;71;126;214
Prov Limbourg;TOUS LES PHARMACIENS;971;676;295;60;101;73;76;72;87;41;44;62;60;10;23;18;27;15;25;17;17;49;94
Prov Brabant wallon;TOUS LES PHARMACIENS;992;719;273;19;79;62;89;90;99;56;64;78;83;2;20;19;32;31;34;26;20;26;63
Prov Hainaut;TOUS LES PHARMACIENS;1682;1169;513;51;112;124;149;163;144;107;90;123;106;20;39;42;50;48;61;53;46;71;83
Prov Liège;TOUS LES PHARMACIENS;1967;1363;604;54;151;146;131;174;155;105;84;120;243;15;56;37;36;53;69;51;36;61;190
Prov Namur;TOUS LES PHARMACIENS;862;626;236;25;92;61;87;80;71;56;46;70;38;4;18;16;25;23;25;22;22;30;51
Prov Luxembourg;TOUS LES PHARMACIENS;366;252;114;9;35;32;30;37;33;16;12;23;25;2;10;6;10;12;14;9;2;15;34
Prov Région de Bruxelles-capitale;TOUS LES PHARMACIENS;1667;1178;489;37;180;163;117;110;121;97;90;110;153;9;69;55;52;41;49;47;38;54;75
Belgique;SANS AGREMENT;16887;11582;5305;599;1426;1212;1314;1384;1437;974;804;1148;1284;135;428;340;462;430;534;475;438;755;1308
Belgique;PHARMACIE HOSPITALIERE;1185;972;213;48;218;158;114;106;89;45;65;98;31;6;42;16;21;12;23;17;14;39;23
Région Flandre;SANS AGREMENT;9820;6654;3166;416;870;683;759;775;843;556;446;658;648;87;238;172;262;229;296;274;281;507;820
Région Wallonie;SANS AGREMENT;5501;3828;1673;146;400;383;449;506;476;322;274;388;484;40;126;119;150;160;192;157;120;195;414
Région Région de Bruxelles-capitale;SANS AGREMENT;1566;1100;466;37;156;146;106;103;118;96;84;102;152;8;64;49;50;41;46;44;37;53;74
Région Flandre;PHARMACIE HOSPITALIERE;716;593;123;36;125;99;66;61;60;26;37;64;19;2;20;9;16;5;9;10;7;30;15
Région Wallonie;PHARMACIE HOSPITALIERE;368;301;67;12;69;42;37;38;26;18;22;26;11;3;17;1;3;7;11;4;6;8;7
Région Région de Bruxelles-capitale;PHARMACIE HOSPITALIERE;101;78;23;0;24;17;11;7;3;1;6;8;1;1;5;6;2;0;3;3;1;1;1
Prov Brabant flamand;SANS AGREMENT;2181;1546;635;70;192;159;191;173;207;142;107;157;148;17;57;38;58;52;77;63;62;75;136
Prov Brabant flamand;PHARMACIE HOSPITALIERE;142;118;24;5;21;26;15;7;11;5;10;17;1;1;5;4;1;1;0;4;1;5;2
Prov Flandre occidentale;SANS AGREMENT;1829;1215;614;75;147;123;138;150;143;94;79;126;140;17;27;29;45;31;41;47;60;113;204
Prov Flandre occidentale;PHARMACIE HOSPITALIERE;125;102;23;5;26;15;12;8;12;3;5;13;3;0;6;0;4;0;2;1;2;6;2
Prov Flandre orientale;SANS AGREMENT;2370;1575;795;119;205;130;201;192;201;116;112;154;145;25;66;34;63;74;68;60;72;153;180
Prov Flandre orientale;PHARMACIE HOSPITALIERE;200;168;32;10;45;23;26;15;13;5;4;19;8;0;1;3;8;1;2;1;3;10;3
Prov Anvers;SANS AGREMENT;2540;1701;839;100;234;207;158;196;212;164;109;164;157;19;67;54;69;58;86;88;70;121;207
Prov Anvers;PHARMACIE HOSPITALIERE;178;146;32;8;24;26;8;23;17;12;13;10;5;0;6;1;3;2;4;3;1;5;7
Prov Limbourg;SANS AGREMENT;900;617;283;52;92;64;71;64;80;40;39;57;58;9;21;17;27;14;24;16;17;45;93
Prov Limbourg;PHARMACIE HOSPITALIERE;71;59;12;8;9;9;5;8;7;1;5;5;2;1;2;1;0;1;1;1;0;4;1
Prov Brabant wallon;SANS AGREMENT;929;662;267;16;68;54;78;87;94;52;61;69;83;1;19;18;32;31;34;25;19;25;63
Prov Brabant wallon;PHARMACIE HOSPITALIERE;63;57;6;3;11;8;11;3;5;4;3;9;0;1;1;1;0;0;0;1;1;1;0
Prov Hainaut;SANS AGREMENT;1582;1091;491;49;97;112;139;155;135;102;81;118;103;19;36;42;48;46;57;51;45;67;80
Prov Hainaut;PHARMACIE HOSPITALIERE;100;78;22;2;15;12;10;8;9;5;9;5;3;1;3;0;2;2;4;2;1;4;3
Prov Liège;SANS AGREMENT;1852;1274;578;51;128;138;120;159;148;101;80;110;239;14;44;37;36;51;64;51;33;61;187
Prov Liège;PHARMACIE HOSPITALIERE;115;89;26;3;23;8;11;15;7;4;4;10;4;1;12;0;0;2;5;0;3;0;3
Prov Namur;SANS AGREMENT;789;562;227;21;75;50;82;69;68;51;40;69;37;4;18;16;24;21;24;21;21;27;51
Prov Namur;PHARMACIE HOSPITALIERE;73;64;9;4;17;11;5;11;3;5;6;1;1;0;0;0;1;2;1;1;1;3;0
Prov Luxembourg;SANS AGREMENT;349;239;110;9;32;29;30;36;31;16;12;22;22;2;9;6;10;11;13;9;2;15;33
Prov Luxembourg;PHARMACIE HOSPITALIERE;17;13;4;0;3;3;0;1;2;0;0;1;3;0;1;0;0;1;1;0;0;0;1
Prov Région de Bruxelles-capitale;SANS AGREMENT;1566;1100;466;37;156;146;106;103;118;96;84;102;152;8;64;49;50;41;46;44;37;53;74
Prov Région de Bruxelles-capitale;PHARMACIE HOSPITALIERE;101;78;23;0;24;17;11;7;3;1;6;8;1;1;5;6;2;0;3;3;1;1;1
