Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Man;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16
;;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;-25;25-29;30-34;35-39;40-44;50-54;55-59
België;Alle specialiteiten;343.0;207;136;64;116;20;4;3;36;67;23;6;1;2;1
;Algemeen tandarts;263.0;157;106;54;78;18;4;3;29;50;18;5;1;2;1
;Parodontologie;27.0;11;16;3;8;0;0;0;4;9;2;1;0;0;0
;Orthodontie;53.0;39;14;7;30;2;0;0;3;8;3;0;0;0;0
Vlaams Gewest;Alle specialiteiten;140.0;87;53;34;40;9;2;2;18;22;9;3;0;0;1
;Algemeen tandarts;91.0;53;38;27;15;7;2;2;15;13;7;2;0;0;1
;Parodontologie;21.0;9;12;2;7;0;0;0;2;7;2;1;0;0;0
;Orthodontie;28.0;25;3;5;18;2;0;0;1;2;0;0;0;0;0
Waals Gewest;Alle specialiteiten;97.0;62;35;23;33;4;1;1;13;15;4;1;1;1;0
;Algemeen tandarts;82.0;55;27;20;29;4;1;1;9;12;3;1;1;1;0
;Parodontologie;4.0;1;3;1;0;0;0;0;2;1;0;0;0;0;0
;Orthodontie;11.0;6;5;2;4;0;0;0;2;2;1;0;0;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;106.0;58;48;7;43;7;1;0;5;30;10;2;0;1;0
;Algemeen tandarts;90.0;49;41;7;34;7;1;0;5;25;8;2;0;1;0
;Parodontologie;2.0;1;1;0;1;0;0;0;0;1;0;0;0;0;0
;Orthodontie;14.0;8;6;0;8;0;0;0;0;4;2;0;0;0;0
Vlaams Brabant;Alle specialiteiten;50.0;26;24;9;14;2;1;0;5;14;3;2;0;0;0
;Algemeen tandarts;31.0;16;15;5;8;2;1;0;4;8;2;1;0;0;0
;Parodontologie;12.0;4;8;2;2;0;0;0;1;5;1;1;0;0;0
;Orthodontie;7.0;6;1;2;4;0;0;0;0;1;0;0;0;0;0
West-Vlaanderen;Alle specialiteiten;14.0;11;3;4;7;0;0;0;2;1;0;0;0;0;0
;Algemeen tandarts;6.0;4;2;3;1;0;0;0;1;1;0;0;0;0;0
;Parodontologie;3.0;2;1;0;2;0;0;0;1;0;0;0;0;0;0
;Orthodontie;5.0;5;0;1;4;0;0;0;0;0;0;0;0;0;0
Oost-Vlaanderen;Alle specialiteiten;42.0;25;17;9;11;5;0;0;6;4;6;1;0;0;0
;Algemeen tandarts;25.0;12;13;8;1;3;0;0;6;1;5;1;0;0;0
;Parodontologie;6.0;3;3;0;3;0;0;0;0;2;1;0;0;0;0
;Orthodontie;11.0;10;1;1;7;2;0;0;0;1;0;0;0;0;0
Antwerpen;Alle specialiteiten;25.0;17;8;7;6;1;1;2;4;3;0;0;0;0;1
;Algemeen tandarts;21.0;14;7;6;4;1;1;2;3;3;0;0;0;0;1
;Orthodontie;4.0;3;1;1;2;0;0;0;1;0;0;0;0;0;0
Limburg;Alle specialiteiten;9.0;8;1;5;2;1;0;0;1;0;0;0;0;0;0
;Algemeen tandarts;8.0;7;1;5;1;1;0;0;1;0;0;0;0;0;0
;Orthodontie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Waals Brabant;Alle specialiteiten;15.0;13;2;3;10;0;0;0;1;1;0;0;0;0;0
;Algemeen tandarts;13.0;11;2;1;10;0;0;0;1;1;0;0;0;0;0
;Parodontologie;1.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;Orthodontie;1.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Henegouwen;Alle specialiteiten;23.0;15;8;4;7;2;1;1;3;4;0;0;1;0;0
;Algemeen tandarts;22.0;14;8;4;6;2;1;1;3;4;0;0;1;0;0
;Orthodontie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Luik;Alle specialiteiten;42.0;19;23;11;6;2;0;0;9;9;3;1;0;1;0
;Algemeen tandarts;32.0;17;15;10;5;2;0;0;5;6;2;1;0;1;0
;Parodontologie;3.0;0;3;0;0;0;0;0;2;1;0;0;0;0;0
;Orthodontie;7.0;2;5;1;1;0;0;0;2;2;1;0;0;0;0
Namen;Alle specialiteiten;8.0;8;0;3;5;0;0;0;0;0;0;0;0;0;0
;Algemeen tandarts;6.0;6;0;3;3;0;0;0;0;0;0;0;0;0;0
;Orthodontie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
Luxemburg;Alle specialiteiten;9.0;7;2;2;5;0;0;0;0;1;1;0;0;0;0
;Algemeen tandarts;9.0;7;2;2;5;0;0;0;0;1;1;0;0;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;106.0;58;48;7;43;7;1;0;5;30;10;2;0;1;0
;Algemeen tandarts;90.0;49;41;7;34;7;1;0;5;25;8;2;0;1;0
;Parodontologie;2.0;1;1;0;1;0;0;0;0;1;0;0;0;0;0
;Orthodontie;14.0;8;6;0;8;0;0;0;0;4;2;0;0;0;0
