gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle specialiteiten;5272;2214;3058;165;355;344;353;339;226;155;277;177;234;221;290;333;359;363;1081
België;Nucleaire in vitro geneeskunde;188;74;114;0;0;0;1;8;12;22;31;0;2;0;0;3;11;19;79
België;Functionele en professionele revalidatie van gehandicapten;976;397;579;7;28;28;66;73;50;37;108;8;26;24;33;41;48;45;354
België;Geriatrie;135;49;86;0;0;9;7;12;7;7;7;0;0;1;3;6;4;7;65
België;Mond-, kaak- en aangezichtschirurgie;249;66;183;9;15;14;7;12;2;3;4;16;26;22;24;20;19;20;36
België;Intensieve zorgen;1135;390;745;38;96;69;56;61;37;15;18;82;96;76;73;85;92;97;144
België;Pediatrische neurologie;122;93;29;12;15;16;12;12;5;4;17;2;3;0;3;3;2;2;14
België;Nefrologie;401;178;223;19;38;39;28;22;11;6;15;11;21;25;22;23;25;24;72
België;Urgentiegeneeskunde;517;155;362;7;18;22;26;29;24;9;20;11;17;24;44;58;61;45;102
België;Endocrino-diabetologie;422;251;171;28;50;33;47;32;26;11;24;17;8;8;19;18;14;17;70
België;Neonatologie;161;117;44;11;18;23;16;17;18;7;7;1;5;4;4;10;5;7;8
België;Oncologie;367;153;214;9;36;36;35;21;5;9;2;8;15;13;28;30;36;35;49
België;Pediatrische hematologie en oncologie;54;41;13;5;4;8;6;3;3;7;5;1;1;1;2;3;2;1;2
België;Klinische hematologie;215;114;101;19;29;16;19;12;10;4;5;18;10;5;13;9;13;13;20
België;Beheer van gezondheidsgegevens;100;27;73;0;0;0;1;2;3;8;13;1;0;1;0;1;10;15;45
België;Forensische psychiatrie;43;14;29;0;0;6;2;2;4;0;0;0;0;1;4;4;4;5;11
België;Klinische infectiologie;103;50;53;1;4;14;13;11;3;3;1;0;1;10;11;14;5;5;7
België;Medische microbiologie;84;45;39;0;4;11;11;10;6;3;0;1;3;6;7;5;8;6;3
Vlaams Gewest;Alle specialiteiten;3245;1381;1864;115;242;235;225;234;135;85;110;124;167;147;186;218;217;209;596
Vlaams Gewest;Nucleaire in vitro geneeskunde;98;32;66;0;0;0;1;6;7;10;8;0;1;0;0;3;9;10;43
Vlaams Gewest;Functionele en professionele revalidatie van gehandicapten;630;264;366;6;25;25;52;54;35;20;47;8;25;19;26;27;32;22;207
Vlaams Gewest;Geriatrie;93;34;59;0;0;9;4;10;3;4;4;0;0;1;2;4;3;4;45
Vlaams Gewest;Mond-, kaak- en aangezichtschirurgie;182;42;140;6;12;11;2;8;0;1;2;13;18;20;21;13;12;17;26
Vlaams Gewest;Intensieve zorgen;756;291;465;32;66;53;42;53;25;10;10;58;65;51;50;59;54;52;76
