Gebied-Specialiteit;Unnamed: 1;Unnamed: 2;Totaal;Geslacht;Unnamed: 5;Vrouw;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Man;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25
;;;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
;België;Alle kinesitherapeuten;37063.0;22206;14857;1483;3788;2131;1850;2589;2224;2064;2127;1664;2286;693;2337;1221;836;1568;1380;1205;1452;1457;2708
;Vlaams Gewest;Alle kinesitherapeuten;20793.0;12896;7897;819;2096;1159;1231;1638;1436;1185;1221;941;1170;320;1126;512;474;877;724;632;821;832;1579
;Waals Gewest;Alle kinesitherapeuten;13260.0;7564;5696;542;1311;786;525;836;680;749;758;567;810;310;924;512;273;598;583;495;553;514;934
;"Brussels
Hoofdstedelijk
Gewest";Alle kinesitherapeuten;3010.0;1746;1264;122;381;186;94;115;108;130;148;156;306;63;287;197;89;93;73;78;78;111;195
;Vlaams Brabant;Alle kinesitherapeuten;4469.0;2843;1626;166;477;284;271;328;315;277;252;222;251;76;237;126;97;202;143;139;137;184;285
;West-Vlaanderen;Alle kinesitherapeuten;3914.0;2293;1621;161;356;149;197;318;269;212;218;175;238;60;164;59;94;188;155;128;208;184;381
;Oost-Vlaanderen;Alle kinesitherapeuten;4768.0;3071;1697;184;455;275;312;440;332;282;289;208;294;61;252;88;93;184;150;159;185;186;339
;Antwerpen;Alle kinesitherapeuten;5083.0;3177;1906;206;536;301;305;373;326;297;346;232;255;82;293;153;124;183;165;143;198;191;374
;Limburg;Alle kinesitherapeuten;2559.0;1512;1047;102;272;150;146;179;194;117;116;104;132;41;180;86;66;120;111;63;93;87;200
;Waals Brabant;Alle kinesitherapeuten;2288.0;1459;829;98;224;137;92;166;121;124;187;124;186;43;140;85;38;101;93;53;92;65;119
;Henegouwen;Alle kinesitherapeuten;4012.0;2061;1951;123;342;191;138;219;195;224;211;156;262;85;296;174;76;178;204;163;194;182;399
;Luik;Alle kinesitherapeuten;3824.0;2222;1602;161;386;240;151;256;201;226;211;176;214;80;277;121;81;178;162;166;147;159;231
;Namen;Alle kinesitherapeuten;1896.0;1077;819;88;193;111;80;101;99;120;97;80;108;51;116;68;36;96;82;75;83;79;133
;Luxemburg;Alle kinesitherapeuten;1240.0;745;495;72;166;107;64;94;64;55;52;31;40;51;95;64;42;45;42;38;37;29;52
;"Brussels
Hoofdstedelijk
Gewest";Alle kinesitherapeuten;3010.0;1746;1264;122;381;186;94;115;108;130;148;156;306;63;287;197;89;93;73;78;78;111;195
;België;"Zonder bijzondere
beroepsbekwaamheid (BB)";33738.0;19854;13884;1480;3428;1604;1470;2236;1987;1851;1953;1582;2263;693;2226;1061;712;1409;1262;1114;1355;1388;2664
;Vlaams Gewest;"Zonder bijzondere
beroepsbekwaamheid (BB)";18175.0;11044;7131;816;1797;734;922;1375;1244;1023;1100;883;1150;320;1037;392;372;759;632;557;742;775;1545
;Waals Gewest;"Zonder bijzondere
beroepsbekwaamheid (BB)";12719.0;7170;5549;542;1260;716;474;759;641;707;714;550;807;310;912;486;257;567;563;485;540;503;926
;"Brussels
Hoofdstedelijk
Gewest";"Zonder bijzondere
beroepsbekwaamheid (BB)";2844.0;1640;1204;122;371;154;74;102;102;121;139;149;306;63;277;183;83;83;67;72;73;110;193
;Vlaams Brabant;"Zonder bijzondere
beroepsbekwaamheid (BB)";3954.0;2473;1481;166;425;194;208;273;268;249;232;207;251;76;217;99;81;174;131;123;127;170;283
;West-Vlaanderen;"Zonder bijzondere
beroepsbekwaamheid (BB)";3362.0;1914;1448;159;284;80;136;261;230;179;192;161;232;60;144;40;70;151;137;114;191;173;368
;Oost-Vlaanderen;"Zonder bijzondere
beroepsbekwaamheid (BB)";4098.0;2575;1523;183;376;157;225;361;282;240;264;199;288;61;234;60;66;160;128;140;166;177;331
;Antwerpen;"Zonder bijzondere
beroepsbekwaamheid (BB)";4489.0;2761;1728;206;463;204;238;320;286;262;310;222;250;82;273;121;101;168;141;125;172;176;369
;Limburg;"Zonder bijzondere
beroepsbekwaamheid (BB)";2272.0;1321;951;102;249;99;115;160;178;93;102;94;129;41;169;72;54;106;95;55;86;79;194
;Waals Brabant;"Zonder bijzondere
beroepsbekwaamheid (BB)";2135.0;1342;793;98;207;115;77;149;109;110;175;118;184;43;137;79;33;90;90;53;89;63;116
