territoire;spécialité;total;genre_femme;genre_homme;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Toutes les spécialités;28919;12245;16674;27;1647;1652;1912;1868;1508;1205;912;1514;12;963;1071;1490;1598;1722;2133;2106;5579
Belgique;Gériatrie;349;220;129;0;36;38;45;41;25;16;12;7;0;7;11;8;12;10;15;27;39
Belgique;Médecine d'urgence;211;105;106;0;43;35;11;8;5;3;0;0;0;26;29;20;16;7;4;4;0
Belgique;Médecine légale;16;5;11;0;3;0;1;1;0;0;0;0;0;0;4;3;0;0;1;1;2
Belgique;Gestion de données de santé;59;22;37;0;0;0;1;2;5;8;6;0;0;0;0;1;5;5;12;10;4
Belgique;Anesthésie-réanimation;2627;1085;1542;1;172;144;157;175;136;80;74;146;0;145;148;192;200;194;195;174;294
Belgique;Chirurgie;1775;365;1410;0;61;64;61;59;38;24;29;29;0;73;102;128;133;148;163;165;498
Belgique;Neurochirurgie;242;30;212;0;9;3;3;6;5;3;0;1;0;20;18;35;30;19;20;21;49
Belgique;Chirurgie plastique, reconstructrice et esthétique;282;71;211;0;10;15;10;7;6;8;11;4;0;11;23;26;23;28;35;17;48
Belgique;Urologie;498;69;429;0;12;18;18;4;10;5;2;0;0;40;37;42;55;37;51;45;122
Belgique;Chirurgie orthopédique;1242;129;1113;0;19;24;23;19;16;11;7;10;0;82;92;125;122;123;162;127;280
Belgique;Neurologie;634;310;324;0;49;66;50;43;43;24;18;17;1;23;24;44;39;40;49;49;55
Belgique;Psychiatrie;959;435;524;0;3;9;23;85;113;85;39;78;0;1;4;17;58;78;77;71;218
Belgique;Neuropsychiatrie;224;54;170;0;0;0;0;0;0;6;10;38;0;0;0;0;0;0;5;12;153
Belgique;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;380;301;79;0;56;67;72;48;13;14;9;22;0;10;10;14;9;5;7;9;15
Belgique;Psychiatrie, particulièrement en psychiatrie adulte;811;394;417;0;64;80;93;65;10;18;27;37;0;25;33;69;38;10;24;59;159
Belgique;Pneumologie;628;266;362;0;38;52;65;44;24;14;12;17;0;21;19;36;33;40;61;63;89
Belgique;Gastro-entérologie;782;266;516;0;49;60;48;38;22;21;10;18;0;29;30;55;61;62;70;66;143
Belgique;Cardiologie;1274;303;971;0;36;64;52;46;37;25;21;22;0;53;73;121;104;127;126;108;259
Belgique;Médecine interne;1931;743;1188;0;117;132;151;119;79;46;43;56;0;56;67;73;126;115;139;125;487
Belgique;Rhumatologie;285;131;154;0;14;17;17;21;23;11;6;22;0;7;6;9;9;11;21;19;72
Belgique;Médecine aiguë;315;137;178;3;10;12;23;43;20;12;9;5;0;5;12;20;42;42;26;16;15
Belgique;Gynécologie-obstétrique;1729;932;797;2;177;129;151;136;110;89;65;73;0;21;37;53;56;80;90;112;348
Belgique;Ophtalmologie;1285;785;500;11;95;80;98;91;85;82;73;170;7;31;28;36;45;52;55;50;196
Belgique;Oto-rhino-laryngologie;755;329;426;0;48;47;52;44;55;27;25;31;0;17;22;30;31;41;61;61;163
