territoire;spécialité;total;genre_femme;genre_homme;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Toutes les spécialités;5272;2214;3058;165;355;344;353;339;226;155;277;177;234;221;290;333;359;363;1081
Belgique;Nucléaire in vitro;188;74;114;0;0;0;1;8;12;22;31;0;2;0;0;3;11;19;79
Belgique;Réadaptation fonctionnelle et professionnelle des handicapés;976;397;579;7;28;28;66;73;50;37;108;8;26;24;33;41;48;45;354
Belgique;Gériatrie;135;49;86;0;0;9;7;12;7;7;7;0;0;1;3;6;4;7;65
Belgique;Chirurgie orale et maxillo-faciale;249;66;183;9;15;14;7;12;2;3;4;16;26;22;24;20;19;20;36
Belgique;Soins intensifs;1135;390;745;38;96;69;56;61;37;15;18;82;96;76;73;85;92;97;144
Belgique;Neurologie pédiatrique;122;93;29;12;15;16;12;12;5;4;17;2;3;0;3;3;2;2;14
Belgique;Néphrologie;401;178;223;19;38;39;28;22;11;6;15;11;21;25;22;23;25;24;72
Belgique;Médecine d'urgence;517;155;362;7;18;22;26;29;24;9;20;11;17;24;44;58;61;45;102
Belgique;Endocrino-diabétologie;422;251;171;28;50;33;47;32;26;11;24;17;8;8;19;18;14;17;70
Belgique;Néonatologie;161;117;44;11;18;23;16;17;18;7;7;1;5;4;4;10;5;7;8
Belgique;Oncologie;367;153;214;9;36;36;35;21;5;9;2;8;15;13;28;30;36;35;49
Belgique;Hématologie et oncologie pédiatrique;54;41;13;5;4;8;6;3;3;7;5;1;1;1;2;3;2;1;2
Belgique;Hématologie clinique;215;114;101;19;29;16;19;12;10;4;5;18;10;5;13;9;13;13;20
Belgique;Gestion des données de santé;100;27;73;0;0;0;1;2;3;8;13;1;0;1;0;1;10;15;45
Belgique;Psychiatrie médico-légale;43;14;29;0;0;6;2;2;4;0;0;0;0;1;4;4;4;5;11
Belgique;Infectiologie clinique;103;50;53;1;4;14;13;11;3;3;1;0;1;10;11;14;5;5;7
Belgique;Microbiologie médicale;84;45;39;0;4;11;11;10;6;3;0;1;3;6;7;5;8;6;3
Région flamande;Toutes les spécialités;3245;1381;1864;115;242;235;225;234;135;85;110;124;167;147;186;218;217;209;596
Région flamande;Nucléaire in vitro;98;32;66;0;0;0;1;6;7;10;8;0;1;0;0;3;9;10;43
Région flamande;Réadaptation fonctionnelle et professionnelle des handicapés;630;264;366;6;25;25;52;54;35;20;47;8;25;19;26;27;32;22;207
Région flamande;Gériatrie;93;34;59;0;0;9;4;10;3;4;4;0;0;1;2;4;3;4;45
Région flamande;Chirurgie orale et maxillo-faciale;182;42;140;6;12;11;2;8;0;1;2;13;18;20;21;13;12;17;26
Région flamande;Soins intensifs;756;291;465;32;66;53;42;53;25;10;10;58;65;51;50;59;54;52;76
Région flamande;Neurologie pédiatrique;67;50;17;7;10;8;4;9;3;3;6;1;1;0;2;3;1;1;8
Région flamande;Néphrologie;217;101;116;11;23;23;17;13;5;3;6;2;14;13;15;11;15;10;36
Région flamande;Médecine d'urgence;301;93;208;7;17;15;19;20;8;1;6;10;12;17;26;41;32;27;43
Région flamande;Endocrino-diabétologie;216;134;82;17;31;20;19;16;15;7;9;9;6;4;9;10;5;9;30
Région flamande;Néonatologie;87;62;25;8;9;13;6;7;11;5;3;0;3;2;2;6;4;4;4
Région flamande;Oncologie;264;116;148;6;27;25;29;15;5;8;1;7;12;9;16;20;25;26;33
Région flamande;Hématologie et oncologie pédiatrique;30;23;7;3;1;4;4;2;2;5;2;1;0;1;0;2;2;0;1
Région flamande;Hématologie clinique;118;63;55;11;14;9;12;8;5;2;2;13;6;2;5;5;5;9;10
Région flamande;Gestion des données de santé;45;8;37;0;0;0;0;0;1;3;4;1;0;1;0;1;6;6;22
Région flamande;Psychiatrie médico-légale;31;13;18;0;0;5;2;2;4;0;0;0;0;0;2;3;1;4;8
Région flamande;Infectiologie clinique;47;22;25;1;4;6;4;5;1;1;0;0;1;3;5;6;4;3;3
Région flamande;Microbiologie médicale;63;33;30;0;3;9;8;6;5;2;0;1;3;4;5;4;7;5;1
Région wallonne;Toutes les spécialités;1454;570;884;35;80;69;90;77;65;47;107;31;47;47;75;87;114;117;366
Région wallonne;Nucléaire in vitro;62;28;34;0;0;0;0;2;4;9;13;0;1;0;0;0;1;5;27
Région wallonne;Réadaptation fonctionnelle et professionnelle des handicapés;256;96;160;0;2;1;12;15;11;11;44;0;1;4;6;9;14;18;108
Région wallonne;Gériatrie;34;12;22;0;0;0;3;1;4;2;2;0;0;0;0;2;1;2;17
Région wallonne;Chirurgie orale et maxillo-faciale;38;11;27;0;3;2;4;2;0;0;0;2;4;0;2;6;6;2;5
Région wallonne;Soins intensifs;279;66;213;2;22;9;10;6;9;5;3;16;24;17;12;25;31;34;54
Région wallonne;Neurologie pédiatrique;41;32;9;4;4;4;8;3;1;1;7;0;1;0;1;0;1;1;5
Région wallonne;Néphrologie;129;53;76;6;11;9;6;8;5;2;6;7;4;5;6;8;8;10;28
Région wallonne;Médecine d'urgence;174;47;127;0;1;6;6;8;12;5;9;0;5;6;13;11;27;16;49
