gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_55-59;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54
België;Alle specialiteiten;190;108;82;84;12;6;5;1;68;5;4;3;2
België;Functionele en professionele revalidatie van gehandicapten;29;14;15;9;1;1;3;0;9;4;1;0;1
België;Mond-, kaak- en aangezichtschirurgie;8;4;4;4;0;0;0;0;4;0;0;0;0
België;Intensieve zorgen;49;24;25;20;1;1;1;1;22;1;1;1;0
België;Pediatrische neurologie;14;12;2;12;0;0;0;0;2;0;0;0;0
België;Nefrologie;14;7;7;7;0;0;0;0;7;0;0;0;0
België;Urgentiegeneeskunde;28;14;14;8;2;3;1;0;9;0;2;2;1
België;Endocrino-diabetologie;11;7;4;4;2;1;0;0;4;0;0;0;0
België;Neonatologie;6;4;2;3;1;0;0;0;2;0;0;0;0
België;Oncologie;19;13;6;9;4;0;0;0;6;0;0;0;0
België;Pediatrische hematologie en oncologie;5;5;0;4;1;0;0;0;0;0;0;0;0
België;Klinische hematologie;7;4;3;4;0;0;0;0;3;0;0;0;0
Vlaams Gewest;Alle specialiteiten;122;64;58;51;7;4;2;0;51;2;3;1;1
Vlaams Gewest;Functionele en professionele revalidatie van gehandicapten;19;7;12;5;1;0;1;0;9;2;0;0;1
Vlaams Gewest;Mond-, kaak- en aangezichtschirurgie;4;1;3;1;0;0;0;0;3;0;0;0;0
Vlaams Gewest;Intensieve zorgen;38;18;20;16;1;0;1;0;19;0;1;0;0
Vlaams Gewest;Pediatrische neurologie;7;6;1;6;0;0;0;0;1;0;0;0;0
Vlaams Gewest;Nefrologie;6;4;2;4;0;0;0;0;2;0;0;0;0
Vlaams Gewest;Urgentiegeneeskunde;20;10;10;6;1;3;0;0;7;0;2;1;0
Vlaams Gewest;Endocrino-diabetologie;8;4;4;2;1;1;0;0;4;0;0;0;0
Vlaams Gewest;Neonatologie;3;3;0;2;1;0;0;0;0;0;0;0;0
Vlaams Gewest;Oncologie;10;7;3;5;2;0;0;0;3;0;0;0;0
Vlaams Gewest;Pediatrische hematologie en oncologie;2;2;0;2;0;0;0;0;0;0;0;0;0
Vlaams Gewest;Klinische hematologie;5;2;3;2;0;0;0;0;3;0;0;0;0
Waals Gewest;Alle specialiteiten;35;21;14;16;1;1;2;1;9;2;0;2;1
Waals Gewest;Functionele en professionele revalidatie van gehandicapten;6;4;2;2;0;1;1;0;0;2;0;0;0
Waals Gewest;Mond-, kaak- en aangezichtschirurgie;1;1;0;1;0;0;0;0;0;0;0;0;0
Waals Gewest;Intensieve zorgen;5;3;2;2;0;0;0;1;1;0;0;1;0
Waals Gewest;Pediatrische neurologie;4;3;1;3;0;0;0;0;1;0;0;0;0
Waals Gewest;Nefrologie;4;1;3;1;0;0;0;0;3;0;0;0;0
Waals Gewest;Urgentiegeneeskunde;5;3;2;1;1;0;1;0;0;0;0;1;1
Waals Gewest;Neonatologie;1;0;1;0;0;0;0;0;1;0;0;0;0
Waals Gewest;Oncologie;6;3;3;3;0;0;0;0;3;0;0;0;0
Waals Gewest;Pediatrische hematologie en oncologie;2;2;0;2;0;0;0;0;0;0;0;0;0
Waals Gewest;Klinische hematologie;1;1;0;1;0;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;33;23;10;17;4;1;1;0;8;1;1;0;0
Brussels Hoofdstedelijk Gewest;Functionele en professionele revalidatie van gehandicapten;4;3;1;2;0;0;1;0;0;0;1;0;0
Brussels Hoofdstedelijk Gewest;Mond-, kaak- en aangezichtschirurgie;3;2;1;2;0;0;0;0;1;0;0;0;0
