territoire;spécialité;total;genre_femme;genre_homme;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Toutes les spécialités;4736;1896;2840;166;286;353;327;245;182;132;205;114;179;233;322;313;379;365;935
Belgique;Médecine nucléaire in vitro;205;82;123;0;0;2;6;10;24;19;21;1;1;0;3;6;19;30;63
Belgique;Réadaptation fonctionnelle et professionnelle des handicapés;996;385;611;11;23;51;62;66;46;29;97;11;19;28;37;41;58;56;361
Belgique;Gériatrie;143;50;93;0;6;6;12;9;5;7;5;0;1;2;5;3;7;11;64
Belgique;Chirurgie orale et maxillo - faciale;214;54;160;7;8;17;9;5;2;5;1;9;17;28;22;20;18;18;28
Belgique;Soins intensifs;990;331;659;41;77;55;73;41;22;12;10;49;79;71;88;82;108;83;99
Belgique;Neurologie pédiatrique;103;76;27;5;11;18;13;6;6;3;14;0;2;1;2;4;1;3;14
Belgique;Néphrologie;376;159;217;25;31;36;28;11;12;7;9;15;21;23;24;18;31;14;71
Belgique;Médecine d'urgence;487;139;348;8;14;28;28;25;15;10;11;7;12;26;63;63;47;57;73
Belgique;Endocrino-diabétologie;376;213;163;26;37;47;30;30;12;15;16;6;7;13;19;18;14;21;65
Belgique;Néonatologie;145;104;41;9;20;20;18;17;9;7;4;2;3;4;7;8;5;6;6
Belgique;Oncologie;335;133;202;14;32;42;26;7;6;4;2;8;9;23;32;24;42;33;31
Belgique;Hématologie et oncologie pédiatrique;44;32;12;1;3;8;4;4;7;2;3;0;1;3;1;3;2;0;2
Belgique;Hématologie clinique;180;95;85;19;21;18;15;7;8;5;2;6;7;9;12;13;13;8;17
Belgique;Gestion de données de santé;103;29;74;0;0;0;1;5;6;7;10;0;0;1;1;6;11;23;32
Belgique;Psychiatrie médico-légale;39;14;25;0;3;5;2;2;2;0;0;0;0;1;6;4;3;2;9
Région flamande;Toutes les spécialités;2890;1186;1704;123;197;229;226;159;109;67;76;90;124;155;199;207;215;200;514
Région flamande;Médecine nucléaire in vitro;108;38;70;0;0;2;4;8;11;7;6;1;0;0;3;5;12;19;30
Région flamande;Réadaptation fonctionnelle et professionnelle des handicapés;627;252;375;10;21;42;44;49;31;13;42;11;18;21;26;27;35;28;209
Région flamande;Gériatrie;96;34;62;0;6;3;11;5;3;3;3;0;1;2;4;1;4;9;41
Région flamande;Chirurgie orale et maxillo - faciale;160;34;126;6;7;9;7;2;0;3;0;7;15;25;17;14;13;15;20
Région flamande;Soins intensifs;653;250;403;34;55;41;60;32;16;8;4;39;51;48;55;56;51;49;54
Région flamande;Neurologie pédiatrique;61;43;18;5;5;10;8;5;4;2;4;0;1;0;2;4;1;2;8
Région flamande;Néphrologie;207;89;118;15;21;19;17;6;4;5;2;9;14;15;12;12;16;5;35
Région flamande;Médecine d'urgence;278;82;196;8;11;20;20;12;4;2;5;6;7;20;40;38;25;28;32
Région flamande;Endocrino-diabétologie;190;114;76;18;21;24;14;14;9;10;4;6;4;5;10;8;8;5;30
Région flamande;Néonatologie;80;54;26;6;12;7;7;10;8;3;1;2;2;2;3;6;4;4;3
Région flamande;Oncologie;236;101;135;10;25;30;19;7;5;4;1;6;6;12;19;19;31;21;21
Région flamande;Hématologie et oncologie pédiatrique;26;20;6;0;2;6;2;3;5;1;1;0;1;0;0;3;1;0;1
Région flamande;Hématologie clinique;94;53;41;11;9;11;11;3;4;4;0;3;4;4;3;8;6;3;10
Région flamande;Gestion de données de santé;45;9;36;0;0;0;0;1;3;2;3;0;0;1;1;4;5;11;14
Région flamande;Psychiatrie médico-légale;29;13;16;0;2;5;2;2;2;0;0;0;0;0;4;2;3;1;6
Région wallonne;Toutes les spécialités;1325;478;847;29;54;75;84;60;50;41;85;15;42;50;93;78;126;129;314
Région wallonne;Médecine nucléaire in vitro;67;30;37;0;0;0;2;1;11;7;9;0;1;0;0;0;5;7;24
Région wallonne;Réadaptation fonctionnelle et professionnelle des handicapés;270;96;174;1;1;6;16;13;10;12;37;0;1;5;7;9;18;19;115
Région wallonne;Gériatrie;39;14;25;0;0;3;1;4;2;2;2;0;0;0;0;2;2;2;19
Région wallonne;Chirurgie orale et maxillo - faciale;32;8;24;1;0;5;2;0;0;0;0;1;2;2;4;5;5;0;5
Région wallonne;Soins intensifs;241;48;193;3;14;4;12;4;6;2;3;7;19;13;27;21;42;28;36
Région wallonne;Neurologie pédiatrique;31;24;7;0;4;6;5;1;1;0;7;0;0;1;0;0;0;1;5
Région wallonne;Néphrologie;115;46;69;6;6;10;7;5;6;1;5;3;5;5;7;5;10;7;27
Région wallonne;Médecine d'urgence;171;44;127;0;3;7;7;10;7;6;4;1;5;4;18;20;21;26;32
Région wallonne;Endocrino-diabétologie;127;68;59;7;8;14;13;15;1;4;6;0;3;5;7;6;4;13;21
Région wallonne;Néonatologie;40;28;12;2;3;6;8;4;0;3;2;0;1;2;4;1;1;1;2
Région wallonne;Oncologie;76;24;52;4;5;9;4;0;1;0;1;2;3;7;12;5;7;9;7
Région wallonne;Hématologie et oncologie pédiatrique;11;7;4;1;0;1;2;0;1;0;2;0;0;2;1;0;1;0;0
Région wallonne;Hématologie clinique;53;26;27;4;9;4;4;2;2;0;1;1;2;3;6;2;5;4;4
Région wallonne;Gestion de données de santé;46;14;32;0;0;0;1;1;2;4;6;0;0;0;0;1;5;11;15
Région wallonne;Psychiatrie médico-légale;6;1;5;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;2
Région de Bruxelles Capitale;Toutes les spécialités;521;232;289;14;35;49;17;26;23;24;44;9;13;28;30;28;38;36;107
Région de Bruxelles Capitale;Médecine nucléaire in vitro;30;14;16;0;0;0;0;1;2;5;6;0;0;0;0;1;2;4;9
Région de Bruxelles Capitale;Réadaptation fonctionnelle et professionnelle des handicapés;99;37;62;0;1;3;2;4;5;4;18;0;0;2;4;5;5;9;37
Région de Bruxelles Capitale;Gériatrie;8;2;6;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;4
Région de Bruxelles Capitale;Chirurgie orale et maxillo - faciale;22;12;10;0;1;3;0;3;2;2;1;1;0;1;1;1;0;3;3
Région de Bruxelles Capitale;Soins intensifs;96;33;63;4;8;10;1;5;0;2;3;3;9;10;6;5;15;6;9
Région de Bruxelles Capitale;Neurologie pédiatrique;11;9;2;0;2;2;0;0;1;1;3;0;1;0;0;0;0;0;1
Région de Bruxelles Capitale;Néphrologie;54;24;30;4;4;7;4;0;2;1;2;3;2;3;5;1;5;2;9
Région de Bruxelles Capitale;Médecine d'urgence;38;13;25;0;0;1;1;3;4;2;2;0;0;2;5;5;1;3;9
Région de Bruxelles Capitale;Endocrino-diabétologie;59;31;28;1;8;9;3;1;2;1;6;0;0;3;2;4;2;3;14
Région de Bruxelles Capitale;Néonatologie;25;22;3;1;5;7;3;3;1;1;1;0;0;0;0;1;0;1;1
Région de Bruxelles Capitale;Oncologie;23;8;15;0;2;3;3;0;0;0;0;0;0;4;1;0;4;3;3
Région de Bruxelles Capitale;Hématologie et oncologie pédiatrique;7;5;2;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1
Région de Bruxelles Capitale;Hématologie clinique;33;16;17;4;3;3;0;2;2;1;1;2;1;2;3;3;2;1;3
Région de Bruxelles Capitale;Gestion de données de santé;12;6;6;0;0;0;0;3;1;1;1;0;0;0;0;1;1;1;3
Région de Bruxelles Capitale;Psychiatrie médico-légale;4;0;4;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1
Brabant flamand;Toutes les spécialités;714;329;385;27;53;68;67;35;29;26;24;23;25;34;41;48;46;41;127
Brabant flamand;Médecine nucléaire in vitro;34;12;22;0;0;0;1;2;1;4;4;1;0;0;1;0;3;5;12
Brabant flamand;Réadaptation fonctionnelle et professionnelle des handicapés;170;68;102;3;6;13;12;10;10;4;10;4;3;6;4;8;5;9;63
Brabant flamand;Gériatrie;20;13;7;0;1;2;4;3;0;2;1;0;0;1;1;0;0;3;2
Brabant flamand;Chirurgie orale et maxillo - faciale;30;12;18;2;3;3;2;0;0;2;0;2;1;6;2;0;4;0;3
Brabant flamand;Soins intensifs;153;55;98;5;13;11;15;5;2;2;2;11;12;11;12;14;17;8;13
Brabant flamand;Neurologie pédiatrique;21;14;7;3;0;5;3;0;1;1;1;0;0;0;0;3;1;1;2
Brabant flamand;Néphrologie;45;23;22;5;8;3;4;2;0;1;0;1;2;5;3;2;2;1;6
Brabant flamand;Médecine d'urgence;63;24;39;1;2;8;6;2;1;1;3;0;2;3;8;7;6;3;10
Brabant flamand;Endocrino-diabétologie;54;36;18;3;6;7;7;4;3;4;2;2;1;0;5;3;0;1;6
Brabant flamand;Néonatologie;26;17;9;1;4;2;2;4;3;1;0;1;1;0;0;4;0;2;1
Brabant flamand;Oncologie;43;21;22;2;6;5;6;1;1;0;0;1;2;2;3;3;3;4;4
Brabant flamand;Hématologie et oncologie pédiatrique;12;10;2;0;1;4;2;0;3;0;0;0;0;0;0;1;1;0;0
