Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Homme;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20
;;;Femme;Homme;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
Belgique;Toutes les spécialités;5075.0;2111;2964;181;329;339;349;318;193;148;254;156;205;228;302;304;374;378;1017
;Nucléaire in vitro;191.0;77;114;0;0;0;2;8;16;28;23;0;2;0;1;3;13;23;72
;"Réadaptation fonctionnelle et professionnelle
des handicapés";988.0;399;589;13;22;36;65;81;38;35;109;11;21;28;33;41;55;53;347
;Gériatrie;136.0;49;87;0;0;9;8;13;6;7;6;0;0;1;5;4;5;10;62
;Chirurgie orale et maxillo-faciale;238.0;63;175;8;14;14;10;8;2;4;3;15;24;24;22;16;23;17;34
;Soins intensifs;1095.0;378;717;48;88;61;66;55;36;11;13;74;83;79;76;83;96;102;124
;Neurologie pédiatrique;117.0;90;27;14;13;17;14;8;4;3;17;1;2;1;2;3;2;3;13
;Néphrologie;398.0;176;222;25;35;42;24;22;10;5;13;14;19;27;21;21;25;25;70
;Médecine d'urgence;506.0;150;356;9;17;22;29;24;23;7;19;8;18;24;50;56;55;50;95
;Endocrino-diabétologie;398.0;234;164;25;48;36;40;32;19;13;21;8;7;8;23;17;14;15;72
;Néonatologie;157.0;112;45;8;18;22;15;22;14;6;7;1;6;4;7;7;6;6;8
;Oncologie;362.0;151;211;14;38;35;38;12;5;7;2;10;13;13;31;28;36;35;45
;Hématologie et oncologie pédiatrique;49.0;36;13;2;4;7;6;3;3;6;5;1;0;3;1;3;3;0;2
;Hématologie clinique;194.0;103;91;14;26;20;17;9;8;5;4;13;6;5;16;5;19;7;20
;Gestion des données de santé;102.0;29;73;0;0;0;1;4;4;8;12;0;0;1;0;2;11;20;39
;Psychiatrie médico-légale;42.0;14;28;0;2;5;1;3;3;0;0;0;0;1;4;5;4;4;10
;Infectiologie clinique;37.0;16;21;1;2;4;4;4;0;1;0;0;2;4;5;3;2;3;2
;Microbiologie médicale;65.0;34;31;0;2;9;9;10;2;2;0;0;2;5;5;7;5;5;2
Région flamande;Toutes les spécialités;3128.0;1320;1808;117;229;238;223;219;119;78;97;114;150;158;192;197;222;219;556
;Nucléaire in vitro;100.0;34;66;0;0;0;2;6;10;10;6;0;1;0;1;3;8;13;40
;"Réadaptation fonctionnelle et professionnelle
des handicapés";628.0;261;367;12;19;31;49;60;27;17;46;11;20;23;22;27;36;27;201
;Gériatrie;92.0;34;58;0;0;9;5;10;3;4;3;0;0;1;4;2;3;8;40
;Chirurgie orale et maxillo-faciale;173.0;39;134;4;12;11;3;6;0;1;2;11;18;22;19;10;16;14;24
;Soins intensifs;730.0;282;448;37;59;50;52;47;24;8;5;55;59;55;51;54;53;57;64
;Neurologie pédiatrique;64.0;48;16;7;9;8;7;6;3;2;6;0;1;0;2;3;1;2;7
;Néphrologie;214.0;99;115;15;23;23;13;14;3;4;4;4;13;15;14;10;14;11;34
;Médecine d'urgence;291.0;88;203;8;17;14;19;15;8;1;6;6;14;18;30;35;31;27;42
;Endocrino-diabétologie;202.0;126;76;12;33;21;14;16;13;9;8;6;5;3;11;8;6;6;31
;Néonatologie;83.0;57;26;5;10;11;5;10;10;4;2;0;4;2;2;5;4;5;4
;Oncologie;260.0;114;146;8;29;27;28;10;5;6;1;9;10;8;19;20;25;25;30
;Hématologie et oncologie pédiatrique;28.0;21;7;0;2;4;5;1;3;4;2;1;0;1;0;2;2;0;1
;Hématologie clinique;107.0;57;50;8;12;13;11;5;4;2;2;11;3;2;6;4;8;6;10
;Gestion des données de santé;45.0;9;36;0;0;0;0;1;1;3;4;0;0;1;0;2;7;7;19
;Psychiatrie médico-légale;31.0;13;18;0;1;5;1;3;3;0;0;0;0;0;3;3;2;3;7
;Infectiologie clinique;33.0;14;19;1;2;4;3;3;0;1;0;0;1;4;4;3;2;3;2
;Microbiologie médicale;47.0;24;23;0;1;7;6;6;2;2;0;0;1;3;4;6;4;5;0
Région wallonne;Toutes les spécialités;1401.0;541;860;44;68;63;94;71;52;46;103;27;36;47;82;76;120;126;346
;Nucléaire in vitro;64.0;29;35;0;0;0;0;2;5;11;11;0;1;0;0;0;3;7;24
