gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;730;536;194;8;470;38;10;6;2;0;1;1;0;1;149;28;4;2;3;4;3;0;0
Gewest Vlaanderen;449;337;112;5;305;13;9;4;0;0;0;1;0;1;97;10;0;0;1;3;0;0;0
Gewest Wallonië;175;132;43;3;120;9;0;0;0;0;0;0;0;0;33;6;1;1;0;0;2;0;0
Gewest Brussels hoofdstedelijk gewest;106;67;39;0;45;16;1;2;2;0;1;0;0;0;19;12;3;1;2;1;1;0;0
Prov Vlaams Brabant;90;74;16;1;66;2;4;1;0;0;0;0;0;0;13;2;0;0;1;0;0;0;0
Prov West-Vlaanderen;74;55;19;0;53;2;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0
Prov Oost-Vlaanderen;115;89;26;1;81;4;1;2;0;0;0;0;0;0;21;4;0;0;0;1;0;0;0
Prov Antwerpen;114;78;36;3;70;2;2;0;0;0;0;1;0;1;29;4;0;0;0;2;0;0;0
Prov Limburg;56;41;15;0;35;3;2;1;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0
Prov Waals Brabant;34;27;7;0;25;2;0;0;0;0;0;0;0;0;5;1;0;1;0;0;0;0;0
Prov Henegouwen;53;37;16;1;33;3;0;0;0;0;0;0;0;0;12;4;0;0;0;0;0;0;0
Prov Luik;54;42;12;2;37;3;0;0;0;0;0;0;0;0;10;0;1;0;0;0;1;0;0
Prov Namen;27;21;6;0;20;1;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0
Prov Luxemburg;7;5;2;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
Prov Brussels hoofdstedelijk gewest;106;67;39;0;45;16;1;2;2;0;1;0;0;0;19;12;3;1;2;1;1;0;0
