Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;106;99;7;2;14;10;14;15;21;10;4;4;5;0;1;0;4;1;0;1;0;0;0
Région Flandre;89;84;5;1;14;9;12;12;16;10;4;4;2;0;0;0;4;1;0;0;0;0;0
Région Wallonie;11;9;2;0;0;1;2;2;2;0;0;0;2;0;1;0;0;0;0;1;0;0;0
Région Région de Bruxelles-capitale;6;6;0;1;0;0;0;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Prov Brabant flamand;11;11;0;0;1;1;3;1;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0
Prov Flandre occidentale;24;22;2;0;3;0;3;4;6;4;0;1;1;0;0;0;2;0;0;0;0;0;0
Prov Flandre orientale;33;32;1;1;8;6;3;5;6;1;1;0;1;0;0;0;0;1;0;0;0;0;0
Prov Anvers;16;15;1;0;2;1;3;2;3;3;1;0;0;0;0;0;1;0;0;0;0;0;0
Prov Limbourg;5;4;1;0;0;1;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0
Prov Brabant wallon;2;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Hainaut;4;4;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Prov Liège;2;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Namur;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Luxembourg;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Prov Région de Bruxelles-capitale;6;6;0;1;0;0;0;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0
