gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64
België;Alle specialiteiten;6595;3778;2817;343;2586;723;72;29;13;7;5;233;1889;598;57;19;13;5;1;2
België;Geriatrie;139;105;34;5;55;42;2;1;0;0;0;1;19;13;1;0;0;0;0;0
België;Urgentiegeneeskunde;559;315;244;29;195;73;11;5;1;1;0;8;137;84;5;4;5;0;0;1
België;Gerechtelijke geneeskunde;11;7;4;1;4;2;0;0;0;0;0;0;3;1;0;0;0;0;0;0
België;Beheer van gezondheidsgegevens;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
België;Anesthesie-reanimatie;655;296;359;18;202;62;9;4;1;0;0;24;258;67;8;1;1;0;0;0
België;Heelkunde;400;205;195;15;133;55;2;0;0;0;0;16;133;44;1;0;1;0;0;0
België;Neurochirurgie;69;22;47;3;15;4;0;0;0;0;0;3;35;9;0;0;0;0;0;0
België;Plastische, reconstructieve en esthetische heelkunde;65;34;31;3;23;8;0;0;0;0;0;0;14;16;1;0;0;0;0;0
België;Urologie;162;75;87;5;51;16;3;0;0;0;0;9;50;26;1;1;0;0;0;0
België;Orthopedische heelkunde;316;83;233;4;49;29;1;0;0;0;0;17;152;60;4;0;0;0;0;0
België;Neurologie;188;121;67;16;80;21;3;1;0;0;0;12;44;11;0;0;0;0;0;0
België;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;145;121;24;8;88;21;2;2;0;0;0;3;17;4;0;0;0;0;0;0
België;Psychiatrie, meer bepaald volwassenpsychiatrie;322;184;138;14;132;29;6;2;0;1;0;12;92;33;0;1;0;0;0;0
België;Pneumologie;85;50;35;0;34;15;1;0;0;0;0;0;19;16;0;0;0;0;0;0
België;Gastro-enterologie;136;86;50;1;51;31;1;1;1;0;0;0;33;16;1;0;0;0;0;0
België;Cardiologie;145;60;85;2;30;28;0;0;0;0;0;1;50;30;4;0;0;0;0;0
België;Inwendige geneeskunde;889;497;392;80;370;45;1;1;0;0;0;61;293;33;3;1;1;0;0;0
België;Reumatologie;44;28;16;2;12;13;1;0;0;0;0;0;12;4;0;0;0;0;0;0
België;Acute geneeskunde;8;4;4;0;3;1;0;0;0;0;0;0;1;2;1;0;0;0;0;0
België;Gynaecologie-verloskunde;352;306;46;26;235;41;3;1;0;0;0;5;33;7;0;1;0;0;0;0
België;Oftalmologie;177;91;86;13;70;6;2;0;0;0;0;9;70;3;4;0;0;0;0;0
België;Otorhinolaryngologie;140;91;49;11;73;7;0;0;0;0;0;9;34;6;0;0;0;0;0;0
België;Stomatologie;78;28;50;2;22;4;0;0;0;0;0;4;38;8;0;0;0;0;0;0
België;Dermato-venereologie;141;115;26;9;95;11;0;0;0;0;0;3;19;4;0;0;0;0;0;0
België;Pediatrie;487;406;81;44;306;54;2;0;0;0;0;6;62;13;0;0;0;0;0;0
België;Fysische geneeskunde en revalidatie;125;63;62;3;55;4;0;1;0;0;0;6;45;11;0;0;0;0;0;0
België;Klinische biologie;75;33;42;3;17;9;4;0;0;0;0;1;30;7;3;0;1;0;0;0
België;Rontgendiagnose;287;112;175;15;70;22;2;3;0;0;0;17;120;30;5;3;0;0;0;0
België;Radiotherapie-oncologie;58;27;31;2;20;5;0;0;0;0;0;2;19;7;2;0;1;0;0;0
België;Nucleaire geneeskunde;38;15;23;2;12;1;0;0;0;0;0;3;12;7;0;1;0;0;0;0
België;Pathologische anatomie;74;49;25;1;36;11;0;1;0;0;0;1;16;6;1;1;0;0;0;0
België;Medische oncologie;68;46;22;2;23;20;1;0;0;0;0;0;13;9;0;0;0;0;0;0
België;Klinische genetica;30;22;8;4;9;8;1;0;0;0;0;0;5;1;2;0;0;0;0;0
België;Arbeidsgeneeskunde;126;80;46;0;16;25;14;6;9;5;5;0;11;10;10;5;3;5;1;1
Vlaams Gewest;Alle specialiteiten;3398;1950;1448;199;1366;323;33;17;4;5;3;148;983;272;24;12;5;3;1;0
Vlaams Gewest;Geriatrie;54;38;16;0;22;15;1;0;0;0;0;0;8;8;0;0;0;0;0;0
Vlaams Gewest;Urgentiegeneeskunde;243;138;105;21;79;32;5;1;0;0;0;6;63;31;2;2;1;0;0;0
Vlaams Gewest;Gerechtelijke geneeskunde;6;5;1;1;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Vlaams Gewest;Anesthesie-reanimatie;328;145;183;9;107;22;3;3;1;0;0;12;141;27;2;1;0;0;0;0
Vlaams Gewest;Heelkunde;203;106;97;7;71;26;2;0;0;0;0;10;71;15;0;0;1;0;0;0
Vlaams Gewest;Neurochirurgie;42;11;31;1;8;2;0;0;0;0;0;3;23;5;0;0;0;0;0;0
Vlaams Gewest;Plastische, reconstructieve en esthetische heelkunde;36;18;18;1;11;6;0;0;0;0;0;0;8;9;1;0;0;0;0;0
Vlaams Gewest;Urologie;102;48;54;4;33;9;2;0;0;0;0;6;34;13;1;0;0;0;0;0
Vlaams Gewest;Orthopedische heelkunde;166;44;122;3;28;12;1;0;0;0;0;11;82;27;2;0;0;0;0;0
Vlaams Gewest;Neurologie;103;71;32;10;44;13;3;1;0;0;0;8;22;2;0;0;0;0;0;0
Vlaams Gewest;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;79;63;16;6;44;12;0;1;0;0;0;3;9;4;0;0;0;0;0;0
Vlaams Gewest;Psychiatrie, meer bepaald volwassenpsychiatrie;179;100;79;9;75;11;2;2;0;1;0;10;50;18;0;1;0;0;0;0
Vlaams Gewest;Pneumologie;39;21;18;0;16;4;1;0;0;0;0;0;10;8;0;0;0;0;0;0
Vlaams Gewest;Gastro-enterologie;67;42;25;0;28;13;0;1;0;0;0;0;15;9;1;0;0;0;0;0
Vlaams Gewest;Cardiologie;60;22;38;0;10;12;0;0;0;0;0;0;19;18;1;0;0;0;0;0
Vlaams Gewest;Inwendige geneeskunde;501;300;201;49;229;21;0;1;0;0;0;36;147;14;2;1;1;0;0;0
Vlaams Gewest;Reumatologie;20;11;9;0;5;5;1;0;0;0;0;0;8;1;0;0;0;0;0;0
Vlaams Gewest;Acute geneeskunde;8;4;4;0;3;1;0;0;0;0;0;0;1;2;1;0;0;0;0;0
Vlaams Gewest;Gynaecologie-verloskunde;187;161;26;14;125;20;1;1;0;0;0;5;17;3;0;1;0;0;0;0
Vlaams Gewest;Oftalmologie;95;54;41;11;39;4;0;0;0;0;0;3;37;0;1;0;0;0;0;0
Vlaams Gewest;Otorhinolaryngologie;83;62;21;9;50;3;0;0;0;0;0;4;15;2;0;0;0;0;0;0
Vlaams Gewest;Stomatologie;48;18;30;1;15;2;0;0;0;0;0;3;23;4;0;0;0;0;0;0
Vlaams Gewest;Dermato-venereologie;75;64;11;4;55;5;0;0;0;0;0;2;7;2;0;0;0;0;0;0
Vlaams Gewest;Pediatrie;223;189;34;25;144;18;2;0;0;0;0;2;30;2;0;0;0;0;0;0
Vlaams Gewest;Fysische geneeskunde en revalidatie;70;39;31;2;34;2;0;1;0;0;0;5;21;5;0;0;0;0;0;0
Vlaams Gewest;Klinische biologie;45;20;25;2;8;7;3;0;0;0;0;0;17;6;2;0;0;0;0;0
Vlaams Gewest;Rontgendiagnose;141;40;101;5;23;9;0;3;0;0;0;13;67;15;3;3;0;0;0;0
Vlaams Gewest;Radiotherapie-oncologie;33;13;20;0;9;4;0;0;0;0;0;2;13;3;1;0;1;0;0;0
Vlaams Gewest;Nucleaire geneeskunde;19;8;11;2;5;1;0;0;0;0;0;3;4;3;0;1;0;0;0;0
Vlaams Gewest;Pathologische anatomie;43;28;15;0;21;6;0;1;0;0;0;1;8;4;1;1;0;0;0;0
Vlaams Gewest;Medische oncologie;31;23;8;0;12;10;1;0;0;0;0;0;3;5;0;0;0;0;0;0
Vlaams Gewest;Klinische genetica;20;13;7;3;5;4;1;0;0;0;0;0;4;1;2;0;0;0;0;0
Vlaams Gewest;Arbeidsgeneeskunde;49;31;18;0;5;11;4;1;3;4;3;0;5;6;1;1;1;3;1;0
Waals Gewest;Alle specialiteiten;1754;1035;719;103;701;197;20;5;6;2;1;57;486;155;12;2;5;1;0;1
Waals Gewest;Geriatrie;56;43;13;5;22;16;0;0;0;0;0;1;8;4;0;0;0;0;0;0
Waals Gewest;Urgentiegeneeskunde;191;104;87;6;74;19;2;1;1;1;0;2;47;34;1;0;2;0;0;1
Waals Gewest;Gerechtelijke geneeskunde;4;1;3;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0
Waals Gewest;Beheer van gezondheidsgegevens;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Waals Gewest;Anesthesie-reanimatie;199;98;101;9;62;24;2;1;0;0;0;7;69;20;4;0;1;0;0;0
Waals Gewest;Heelkunde;123;63;60;6;37;20;0;0;0;0;0;5;40;15;0;0;0;0;0;0
Waals Gewest;Neurochirurgie;13;6;7;1;5;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0
Waals Gewest;Plastische, reconstructieve en esthetische heelkunde;16;12;4;2;9;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0
Waals Gewest;Urologie;27;15;12;1;7;6;1;0;0;0;0;1;5;6;0;0;0;0;0;0
Waals Gewest;Orthopedische heelkunde;88;28;60;1;17;10;0;0;0;0;0;4;39;16;1;0;0;0;0;0
Waals Gewest;Neurologie;36;19;17;3;15;1;0;0;0;0;0;4;8;5;0;0;0;0;0;0
Waals Gewest;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;38;34;4;2;26;3;2;1;0;0;0;0;4;0;0;0;0;0;0;0
Waals Gewest;Psychiatrie, meer bepaald volwassenpsychiatrie;50;37;13;4;24;6;3;0;0;0;0;1;10;2;0;0;0;0;0;0
Waals Gewest;Pneumologie;30;19;11;0;13;6;0;0;0;0;0;0;7;4;0;0;0;0;0;0
Waals Gewest;Gastro-enterologie;38;26;12;1;14;10;0;0;1;0;0;0;10;2;0;0;0;0;0;0
Waals Gewest;Cardiologie;46;21;25;2;13;6;0;0;0;0;0;1;18;6;0;0;0;0;0;0
Waals Gewest;Inwendige geneeskunde;208;108;100;19;79;10;0;0;0;0;0;17;77;6;0;0;0;0;0;0
Waals Gewest;Reumatologie;14;10;4;2;5;3;0;0;0;0;0;0;1;3;0;0;0;0;0;0
Waals Gewest;Gynaecologie-verloskunde;91;79;12;9;64;5;1;0;0;0;0;0;11;1;0;0;0;0;0;0
Waals Gewest;Oftalmologie;33;19;14;2;16;0;1;0;0;0;0;2;11;1;0;0;0;0;0;0
Waals Gewest;Otorhinolaryngologie;28;14;14;1;10;3;0;0;0;0;0;3;9;2;0;0;0;0;0;0
Waals Gewest;Stomatologie;13;4;9;1;2;1;0;0;0;0;0;1;6;2;0;0;0;0;0;0
Waals Gewest;Dermato-venereologie;29;22;7;3;16;3;0;0;0;0;0;0;7;0;0;0;0;0;0;0
Waals Gewest;Pediatrie;152;125;27;13;96;16;0;0;0;0;0;3;18;6;0;0;0;0;0;0
Waals Gewest;Fysische geneeskunde en revalidatie;34;16;18;1;13;2;0;0;0;0;0;0;16;2;0;0;0;0;0;0
Waals Gewest;Klinische biologie;15;6;9;0;4;2;0;0;0;0;0;1;6;1;0;0;1;0;0;0
Waals Gewest;Rontgendiagnose;67;29;38;4;20;5;0;0;0;0;0;4;28;6;0;0;0;0;0;0
Waals Gewest;Radiotherapie-oncologie;14;9;5;2;6;1;0;0;0;0;0;0;3;1;1;0;0;0;0;0
Waals Gewest;Nucleaire geneeskunde;7;4;3;0;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Waals Gewest;Pathologische anatomie;17;11;6;0;9;2;0;0;0;0;0;0;5;1;0;0;0;0;0;0
Waals Gewest;Medische oncologie;22;14;8;2;7;5;0;0;0;0;0;0;7;1;0;0;0;0;0;0
Waals Gewest;Klinische genetica;5;5;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Waals Gewest;Arbeidsgeneeskunde;49;33;16;0;9;9;8;2;3;1;1;0;3;4;5;2;1;1;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;1443;793;650;41;519;203;19;7;3;0;1;28;420;171;21;5;3;1;0;1
Brussels Hoofdstedelijk Gewest;Geriatrie;29;24;5;0;11;11;1;1;0;0;0;0;3;1;1;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Urgentiegeneeskunde;125;73;52;2;42;22;4;3;0;0;0;0;27;19;2;2;2;0;0;0
Brussels Hoofdstedelijk Gewest;Gerechtelijke geneeskunde;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Anesthesie-reanimatie;128;53;75;0;33;16;4;0;0;0;0;5;48;20;2;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Heelkunde;74;36;38;2;25;9;0;0;0;0;0;1;22;14;1;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Neurochirurgie;14;5;9;1;2;2;0;0;0;0;0;0;5;4;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Plastische, reconstructieve en esthetische heelkunde;13;4;9;0;3;1;0;0;0;0;0;0;5;4;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Urologie;33;12;21;0;11;1;0;0;0;0;0;2;11;7;0;1;0;0;0;0
Brussels Hoofdstedelijk Gewest;Orthopedische heelkunde;62;11;51;0;4;7;0;0;0;0;0;2;31;17;1;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Neurologie;49;31;18;3;21;7;0;0;0;0;0;0;14;4;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;28;24;4;0;18;6;0;0;0;0;0;0;4;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Psychiatrie, meer bepaald volwassenpsychiatrie;93;47;46;1;33;12;1;0;0;0;0;1;32;13;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Pneumologie;16;10;6;0;5;5;0;0;0;0;0;0;2;4;0;0;0;0;0;0
