Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Man;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24
;;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
België;Alle specialiteiten;9641.0;4767;4874;39;467;508;330;436;497;503;696;728;563;8;247;271;197;258;237;334;886;1084;1352
;"Algemeen
tandarts";8930.0;4305;4625;39;436;447;287;388;440;428;640;671;529;8;233;238;179;230;216;314;844;1041;1322
;Parodontologie;194.0;106;88;0;11;17;16;15;18;19;6;3;1;0;10;19;5;16;8;11;10;6;3
;Orthodontie;517.0;356;161;0;20;44;27;33;39;56;50;54;33;0;4;14;13;12;13;9;32;37;27
Vlaams Gewest;Alle specialiteiten;5656.0;2823;2833;19;266;306;182;265;326;300;430;455;274;4;129;145;84;146;120;161;521;709;814
;"Algemeen
tandarts";5211.0;2529;2682;19;246;266;157;236;293;253;391;409;259;4;120;125;72;130;108;151;496;680;796
;Parodontologie;140.0;82;58;0;10;13;8;11;15;15;6;3;1;0;8;13;4;9;6;6;6;4;2
;Orthodontie;305.0;212;93;0;10;27;17;18;18;32;33;43;14;0;1;7;8;7;6;4;19;25;16
Waals Gewest;Alle specialiteiten;2797.0;1361;1436;18;115;122;102;119;129;139;207;215;195;3;62;54;73;70;78;111;271;304;410
;"Algemeen
tandarts";2615.0;1239;1376;18;107;110;88;107;109;120;195;207;178;3;61;47;69;65;74;103;261;291;402
;Parodontologie;34.0;17;17;0;1;2;5;3;3;3;0;0;0;0;0;4;1;3;2;3;2;2;0
;Orthodontie;148.0;105;43;0;7;10;9;9;17;16;12;8;17;0;1;3;3;2;2;5;8;11;8
"Brussels Hoofdstedelijk
Gewest";Alle specialiteiten;1188.0;583;605;2;86;80;46;52;42;64;59;58;94;1;56;72;40;42;39;62;94;71;128
;"Algemeen
tandarts";1104.0;537;567;2;83;71;42;45;38;55;54;55;92;1;52;66;38;35;34;60;87;70;124
;Parodontologie;20.0;7;13;0;0;2;3;1;0;1;0;0;0;0;2;2;0;4;0;2;2;0;1
;Orthodontie;64.0;39;25;0;3;7;1;6;4;8;5;3;2;0;2;4;2;3;5;0;5;1;3
Vlaams Brabant;Alle specialiteiten;1276.0;704;572;3;44;67;47;70;87;97;109;119;61;1;27;35;16;34;37;41;121;128;132
;"Algemeen
tandarts";1160.0;626;534;3;44;59;42;62;74;83;100;103;56;1;26;30;14;29;33;38;117;120;126
;Parodontologie;37.0;20;17;0;0;3;1;1;7;4;1;3;0;0;1;4;0;3;3;2;1;1;2
;Orthodontie;79.0;58;21;0;0;5;4;7;6;10;8;13;5;0;0;1;2;2;1;1;3;7;4
West-Vlaanderen;Alle specialiteiten;1038.0;475;563;4;48;54;28;56;55;33;79;67;51;0;18;16;15;20;16;19;90;157;212
;"Algemeen
tandarts";978.0;437;541;4;44;47;26;50;53;28;72;63;50;0;17;14;14;17;13;17;85;155;209
;Parodontologie;21.0;15;6;0;2;4;0;4;1;3;1;0;0;0;1;1;1;1;0;1;1;0;0
;Orthodontie;39.0;23;16;0;2;3;2;2;1;2;6;4;1;0;0;1;0;2;3;1;4;2;3
Oost-Vlaanderen;Alle specialiteiten;1250.0;633;617;6;79;67;34;54;78;65;68;99;83;0;36;39;13;41;22;42;98;153;173
;"Algemeen
tandarts";1136.0;560;576;6;71;56;26;48;66;54;63;92;78;0;32;30;10;36;20;39;89;151;169
;Parodontologie;39.0;22;17;0;3;5;3;1;6;4;0;0;0;0;4;5;2;2;1;3;0;0;0
;Orthodontie;75.0;51;24;0;5;6;5;5;6;7;5;7;5;0;0;4;1;3;1;0;9;2;4
Antwerpen;Alle specialiteiten;1383.0;677;706;3;57;87;49;46;70;78;120;107;60;3;30;34;27;33;35;45;141;174;184
;"Algemeen
tandarts";1275.0;602;673;3;51;75;42;39;65;64;108;98;57;3;29;31;23;31;33;43;135;164;181
;Parodontologie;31.0;18;13;0;4;1;4;3;1;3;1;0;1;0;0;3;1;2;1;0;3;3;0
;Orthodontie;77.0;57;20;0;2;11;3;4;4;11;11;9;2;0;1;0;3;0;1;2;3;7;3
Limburg;Alle specialiteiten;709.0;334;375;3;38;31;24;39;36;27;54;63;19;0;18;21;13;18;10;14;71;97;113
;"Algemeen
tandarts";662.0;304;358;3;36;29;21;37;35;24;48;53;18;0;16;20;11;17;9;14;70;90;111
;Parodontologie;12.0;7;5;0;1;0;0;2;0;1;3;0;0;0;2;0;0;1;1;0;1;0;0
;Orthodontie;35.0;23;12;0;1;2;3;0;1;2;3;10;1;0;0;1;2;0;0;0;0;7;2
Waals Brabant;Alle specialiteiten;586.0;321;265;3;18;21;26;28;34;31;45;58;57;0;11;12;17;14;21;17;41;52;80
;"Algemeen
tandarts";537.0;289;248;3;15;19;25;24;27;25;44;56;51;0;11;10;16;13;20;15;38;48;77
;Parodontologie;9.0;2;7;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;2;0;2;0
;Orthodontie;40.0;30;10;0;3;2;1;3;6;6;1;2;6;0;0;1;0;0;1;0;3;2;3
Henegouwen;Alle specialiteiten;696.0;324;372;0;23;26;25;26;38;30;60;54;42;0;15;12;19;14;20;34;54;96;108
;"Algemeen
tandarts";667.0;305;362;0;22;26;23;25;32;28;58;52;39;0;15;12;19;14;20;31;53;91;107
;Parodontologie;4.0;3;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;Orthodontie;25.0;16;9;0;0;0;2;1;4;2;2;2;3;0;0;0;0;0;0;2;1;5;1
Luik;Alle specialiteiten;1000.0;463;537;11;50;54;40;46;33;47;63;66;53;3;27;24;29;26;20;41;120;99;148
;"Algemeen
tandarts";922.0;410;512;11;46;45;31;41;30;40;57;63;46;3;26;21;26;24;17;39;116;95;145
;Parodontologie;17.0;10;7;0;0;2;5;1;0;2;0;0;0;0;0;3;0;1;2;0;1;0;0
;Orthodontie;61.0;43;18;0;4;7;4;4;3;5;6;3;7;0;1;0;3;1;1;2;3;4;3
Namen;Alle specialiteiten;340.0;169;171;1;13;17;8;13;19;18;25;23;32;0;7;2;6;11;10;12;32;40;51
;"Algemeen
tandarts";325.0;157;168;1;13;17;7;11;15;15;24;22;32;0;7;2;6;10;10;12;31;40;50
;Parodontologie;4.0;2;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
;Orthodontie;11.0;10;1;0;0;0;1;1;4;2;1;1;0;0;0;0;0;0;0;0;0;0;1
Luxemburg;Alle specialiteiten;175.0;84;91;3;11;4;3;6;5;13;14;14;11;0;2;4;2;5;7;7;24;17;23
;"Algemeen
tandarts";164.0;78;86;3;11;3;2;6;5;12;12;14;10;0;2;2;2;4;7;6;23;17;23
;Orthodontie;11.0;6;5;0;0;1;1;0;0;1;2;0;1;0;0;2;0;1;0;1;1;0;0
"Brussels Hoofdstedelijk
Gewest";Alle specialiteiten;1188.0;583;605;2;86;80;46;52;42;64;59;58;94;1;56;72;40;42;39;62;94;71;128
;"Algemeen
tandarts";1104.0;537;567;2;83;71;42;45;38;55;54;55;92;1;52;66;38;35;34;60;87;70;124
;Parodontologie;20.0;7;13;0;0;2;3;1;0;1;0;0;0;0;2;2;0;4;0;2;2;0;1
;Orthodontie;64.0;39;25;0;3;7;1;6;4;8;5;3;2;0;2;4;2;3;5;0;5;1;3
