territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Tous les paramédicaux;76856;65199;11657;6847;12346;10497;7728;6454;4854;4296;4653;4016;3508;1064;2344;1807;1165;971;875;717;844;861;1009
Région flamande;Tous les paramédicaux;47390;40460;6930;4814;8238;6700;4743;3810;2891;2469;2747;2289;1759;738;1476;1026;605;552;491;398;492;509;643
Région wallonne;Tous les paramédicaux;24286;20464;3822;1541;3102;3010;2504;2275;1716;1609;1682;1531;1494;266;661;616;444;335;318;266;301;301;314
Région de Bruxelles Capitale;Tous les paramédicaux;5180;4275;905;492;1006;787;481;369;247;218;224;196;255;60;207;165;116;84;66;53;51;51;52
Brabant flamand;Tous les paramédicaux;7938;6583;1355;663;1284;1055;794;653;484;426;455;432;337;130;257;188;109;109;103;79;114;133;133
Flandre occidentale;Tous les paramédicaux;9669;8223;1446;1033;1604;1364;966;794;588;466;591;464;353;124;295;201;136;101;115;95;114;104;161
Flandre orientale;Tous les paramédicaux;11602;9987;1615;1212;2127;1680;1105;926;698;626;614;541;458;186;363;235;141;149;109;91;103;95;143
Anvers;Tous les paramédicaux;12173;10475;1698;1363;2249;1674;1211;915;707;611;714;597;434;210;368;262;149;133;100;97;113;122;144
Limbourg;Tous les paramédicaux;6008;5192;816;543;974;927;667;522;414;340;373;255;177;88;193;140;70;60;64;36;48;55;62
Brabant Wallon;Tous les paramédicaux;2830;2367;463;141;329;294;299;266;209;194;216;206;213;21;53;71;63;50;37;45;34;43;46
Hainaut;Tous les paramédicaux;8450;6928;1522;532;1107;1035;828;743;595;563;556;482;487;148;291;245;182;123;105;95;101;107;125
Liège;Tous les paramédicaux;7709;6668;1041;488;996;1004;811;733;540;535;542;535;484;54;197;161;122;87;103;67;79;82;89
Namur;Tous les paramédicaux;3632;3027;605;220;438;473;386;362;244;221;250;220;213;26;93;105;65;56;61;46;66;49;38
Luxembourg;Tous les paramédicaux;1665;1474;191;160;232;204;180;171;128;96;118;88;97;17;27;34;12;19;12;13;21;20;16
Région de Bruxelles Capitale;Tous les paramédicaux;5180;4275;905;492;1006;787;481;369;247;218;224;196;255;60;207;165;116;84;66;53;51;51;52
Belgique;Assistant pharmaceutico-technique;14860;12992;1868;1585;1934;1823;1373;1244;1017;1210;1035;851;920;362;409;358;181;111;119;89;72;71;96
