Gebied;Specialiteit;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;ALLE SPECIALITEITEN;266;156;110;66;76;7;3;1;2;1;0;0;0;49;52;8;1;0;0;0;0;0;0
Gewest Vlaanderen;ALLE SPECIALITEITEN;137;83;54;43;33;1;3;1;1;1;0;0;0;33;19;1;1;0;0;0;0;0;0
Gewest Wallonië;ALLE SPECIALITEITEN;59;40;19;18;20;2;0;0;0;0;0;0;0;6;12;1;0;0;0;0;0;0;0
Gewest Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;70;33;37;5;23;4;0;0;1;0;0;0;0;10;21;6;0;0;0;0;0;0;0
Prov Vlaams Brabant;ALLE SPECIALITEITEN;36;20;16;11;6;0;2;0;0;1;0;0;0;11;4;1;0;0;0;0;0;0;0
Prov West-Vlaanderen;ALLE SPECIALITEITEN;20;14;6;8;6;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0
Prov Oost-Vlaanderen;ALLE SPECIALITEITEN;40;24;16;9;12;0;1;1;1;0;0;0;0;8;8;0;0;0;0;0;0;0;0
Prov Antwerpen;ALLE SPECIALITEITEN;23;18;5;12;6;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0
Prov Limburg;ALLE SPECIALITEITEN;18;7;11;3;3;1;0;0;0;0;0;0;0;7;4;0;0;0;0;0;0;0;0
Prov Waals Brabant;ALLE SPECIALITEITEN;5;5;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Henegouwen;ALLE SPECIALITEITEN;14;8;6;3;4;1;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0
Prov Luik;ALLE SPECIALITEITEN;34;22;12;9;12;1;0;0;0;0;0;0;0;3;8;1;0;0;0;0;0;0;0
Prov Namen;ALLE SPECIALITEITEN;4;3;1;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Prov Luxemburg;ALLE SPECIALITEITEN;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;70;33;37;5;23;4;0;0;1;0;0;0;0;10;21;6;0;0;0;0;0;0;0
België;ALGEMENE TANDHEELKUNDE;191;109;82;55;41;6;3;1;2;1;0;0;0;44;32;5;1;0;0;0;0;0;0
België;PARODONTOLOGIE;31;12;19;2;10;0;0;0;0;0;0;0;0;3;14;2;0;0;0;0;0;0;0
België;ORTHODONTIE;44;35;9;9;25;1;0;0;0;0;0;0;0;2;6;1;0;0;0;0;0;0;0
Gewest Vlaanderen;ALGEMENE TANDHEELKUNDE;94;56;38;38;11;1;3;1;1;1;0;0;0;30;7;0;1;0;0;0;0;0;0
Gewest Vlaanderen;PARODONTOLOGIE;20;7;13;2;5;0;0;0;0;0;0;0;0;2;10;1;0;0;0;0;0;0;0
Gewest Vlaanderen;ORTHODONTIE;23;20;3;3;17;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
Gewest Wallonië;ALGEMENE TANDHEELKUNDE;47;31;16;14;15;2;0;0;0;0;0;0;0;6;9;1;0;0;0;0;0;0;0
Gewest Wallonië;PARODONTOLOGIE;5;3;2;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Gewest Wallonië;ORTHODONTIE;7;6;1;4;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Gewest Brussels hoofdstedelijk gewest;ALGEMENE TANDHEELKUNDE;50;22;28;3;15;3;0;0;1;0;0;0;0;8;16;4;0;0;0;0;0;0;0
Gewest Brussels hoofdstedelijk gewest;PARODONTOLOGIE;6;2;4;0;2;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0
Gewest Brussels hoofdstedelijk gewest;ORTHODONTIE;14;9;5;2;6;1;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0
Prov Vlaams Brabant;ALGEMENE TANDHEELKUNDE;28;14;14;10;1;0;2;0;0;1;0;0;0;11;3;0;0;0;0;0;0;0;0
Prov Vlaams Brabant;PARODONTOLOGIE;4;2;2;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Prov Vlaams Brabant;ORTHODONTIE;4;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov West-Vlaanderen;ALGEMENE TANDHEELKUNDE;12;8;4;7;1;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0
Prov West-Vlaanderen;PARODONTOLOGIE;3;2;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov West-Vlaanderen;ORTHODONTIE;5;4;1;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Prov Oost-Vlaanderen;ALGEMENE TANDHEELKUNDE;23;15;8;9;3;0;1;1;1;0;0;0;0;7;1;0;0;0;0;0;0;0;0
Prov Oost-Vlaanderen;PARODONTOLOGIE;8;1;7;0;1;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0
Prov Oost-Vlaanderen;ORTHODONTIE;9;8;1;0;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Antwerpen;ALGEMENE TANDHEELKUNDE;17;13;4;9;4;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0
Prov Antwerpen;PARODONTOLOGIE;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Antwerpen;ORTHODONTIE;4;3;1;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Limburg;ALGEMENE TANDHEELKUNDE;14;6;8;3;2;1;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0
Prov Limburg;PARODONTOLOGIE;3;0;3;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
Prov Limburg;ORTHODONTIE;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Waals Brabant;ALGEMENE TANDHEELKUNDE;5;5;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Henegouwen;ALGEMENE TANDHEELKUNDE;13;7;6;3;3;1;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0
Prov Henegouwen;PARODONTOLOGIE;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Luik;ALGEMENE TANDHEELKUNDE;23;14;9;5;8;1;0;0;0;0;0;0;0;3;5;1;0;0;0;0;0;0;0
Prov Luik;PARODONTOLOGIE;4;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Prov Luik;ORTHODONTIE;7;6;1;4;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Namen;ALGEMENE TANDHEELKUNDE;4;3;1;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Prov Luxemburg;ALGEMENE TANDHEELKUNDE;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brussels hoofdstedelijk gewest;ALGEMENE TANDHEELKUNDE;50;22;28;3;15;3;0;0;1;0;0;0;0;8;16;4;0;0;0;0;0;0;0
Prov Brussels hoofdstedelijk gewest;PARODONTOLOGIE;6;2;4;0;2;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0
Prov Brussels hoofdstedelijk gewest;ORTHODONTIE;14;9;5;2;6;1;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0
