gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle specialiteiten;4841;1972;2869;169;310;341;330;274;175;142;231;126;185;230;306;303;374;372;973
België;Nucleaire in vitro geneeskunde;203;80;123;0;0;0;4;11;19;24;22;0;2;0;2;6;17;27;69
België;Functionele en professionele revalidatie van gehandicapten;983;387;596;7;27;38;67;74;38;31;105;7;21;30;31;45;56;55;351
België;Geriatrie;140;49;91;0;0;9;12;12;5;6;5;0;0;2;5;4;6;10;64
België;Mond-, kaak- en aangezichtschirurgie;228;59;169;9;11;16;9;6;2;4;2;15;19;26;21;19;21;17;31
België;Intensieve zorgen;1030;353;677;48;83;58;67;48;26;11;12;56;78;76;85;77;100;94;111
België;Pediatrische neurologie;109;83;26;9;12;19;13;6;4;3;17;1;2;1;2;4;1;3;12
België;Nefrologie;391;169;222;29;31;39;27;15;10;7;11;14;24;22;23;21;24;23;71
België;Urgentiegeneeskunde;495;145;350;8;17;26;27;22;21;11;13;6;14;25;55;58;54;55;83
België;Endocrino-diabetologie;386;221;165;23;41;44;33;32;15;14;19;8;4;12;21;20;15;17;68
België;Neonatologie;152;108;44;6;22;20;16;22;10;7;5;2;6;3;7;6;6;7;7
België;Oncologie;352;145;207;14;38;39;32;8;5;7;2;8;10;18;34;25;39;36;37
België;Pediatrische hematologie en oncologie;44;32;12;0;3;8;5;4;4;3;5;0;0;3;2;3;2;0;2
België;Klinische hematologie;184;98;86;16;22;21;15;8;7;6;3;9;5;10;11;8;18;5;20
België;Beheer van gezondheidsgegevens;103;29;74;0;0;0;1;4;6;8;10;0;0;1;1;4;10;20;38
België;Forensische psychiatrie;41;14;27;0;3;4;2;2;3;0;0;0;0;1;6;3;5;3;9
Vlaams Gewest;Alle specialiteiten;2957;1228;1729;117;215;226;219;180;109;74;88;96;131;157;187;199;224;204;531
Vlaams Gewest;Nucleaire in vitro geneeskunde;107;37;70;0;0;0;4;7;11;9;6;0;1;0;2;6;10;16;35
Vlaams Gewest;Functionele en professionele revalidatie van gehandicapten;620;253;367;7;24;31;49;56;27;15;44;7;20;24;19;29;39;26;203
Vlaams Gewest;Geriatrie;95;34;61;0;0;9;9;7;3;3;3;0;0;2;4;2;3;9;41
Vlaams Gewest;Mond-, kaak- en aangezichtschirurgie;167;36;131;5;10;9;6;3;0;2;1;12;15;23;17;13;16;13;22
Vlaams Gewest;Intensieve zorgen;686;267;419;41;58;45;54;37;20;7;5;46;52;53;54;50;53;54;57
Vlaams Gewest;Pediatrische neurologie;61;45;16;6;7;10;7;5;2;2;6;0;1;0;2;4;1;2;6
Vlaams Gewest;Nefrologie;211;92;119;17;18;23;15;8;3;6;2;6;16;14;14;11;13;10;35
Vlaams Gewest;Urgentiegeneeskunde;282;84;198;7;15;16;18;13;7;3;5;4;10;20;32;38;29;30;35
Vlaams Gewest;Endocrino-diabetologie;194;117;77;10;28;24;13;15;11;9;7;7;2;5;10;9;9;3;32
Vlaams Gewest;Neonatologie;81;55;26;4;12;8;5;12;9;3;2;1;3;1;3;4;5;5;4
Vlaams Gewest;Oncologie;251;111;140;10;30;29;23;7;5;6;1;7;7;9;22;19;28;22;26
Vlaams Gewest;Pediatrische hematologie en oncologie;26;20;6;0;1;6;3;3;2;3;2;0;0;1;0;3;1;0;1
Vlaams Gewest;Klinische hematologie;100;55;45;10;10;12;11;4;4;3;1;6;4;4;3;6;8;4;10
Vlaams Gewest;Beheer van gezondheidsgegevens;45;9;36;0;0;0;0;1;2;3;3;0;0;1;1;3;5;8;18
Vlaams Gewest;Forensische psychiatrie;31;13;18;0;2;4;2;2;3;0;0;0;0;0;4;2;4;2;6
Waals Gewest;Alle specialiteiten;1352;506;846;36;59;74;87;66;44;49;91;20;39;44;92;74;123;127;327
Waals Gewest;Nucleaire in vitro geneeskunde;66;29;37;0;0;0;0;3;7;9;10;0;1;0;0;0;5;6;25
Waals Gewest;Functionele en professionele revalidatie van gehandicapten;267;98;169;0;2;4;17;13;8;12;42;0;1;5;8;10;16;20;109
Waals Gewest;Geriatrie;36;13;23;0;0;0;3;5;2;2;1;0;0;0;0;2;2;1;18
Waals Gewest;Mond-, kaak- en aangezichtschirurgie;35;11;24;2;1;5;3;0;0;0;0;1;2;1;4;5;4;2;5
Waals Gewest;Intensieve zorgen;249;54;195;1;18;6;11;6;6;3;3;7;19;12;24;22;38;31;42
Waals Gewest;Pediatrische neurologie;34;26;8;2;3;6;6;1;0;1;7;1;0;1;0;0;0;1;5
Waals Gewest;Nefrologie;126;52;74;10;7;10;7;6;5;1;6;7;4;4;6;8;7;10;28
Waals Gewest;Urgentiegeneeskunde;170;45;125;1;1;9;7;8;8;7;4;1;4;4;18;14;24;22;38
Waals Gewest;Endocrino-diabetologie;134;75;59;11;7;14;14;16;2;5;6;1;2;3;10;6;5;11;21
Waals Gewest;Neonatologie;42;30;12;2;5;6;6;6;0;3;2;0;2;2;3;1;1;1;2
Waals Gewest;Oncologie;76;24;52;3;6;7;6;0;0;1;1;1;3;6;11;5;8;10;8
Waals Gewest;Pediatrische hematologie en oncologie;11;7;4;0;1;1;2;0;1;0;2;0;0;1;2;0;1;0;0
Waals Gewest;Klinische hematologie;54;27;27;4;7;6;4;2;2;1;1;1;1;4;6;0;7;1;7
Waals Gewest;Beheer van gezondheidsgegevens;46;14;32;0;0;0;1;0;3;4;6;0;0;0;0;1;4;10;17
Waals Gewest;Forensische psychiatrie;6;1;5;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;2
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;532;238;294;16;36;41;24;28;22;19;52;10;15;29;27;30;27;41;115
Brussels Hoofdstedelijk Gewest;Nucleaire in vitro geneeskunde;30;14;16;0;0;0;0;1;1;6;6;0;0;0;0;0;2;5;9
Brussels Hoofdstedelijk Gewest;Functionele en professionele revalidatie van gehandicapten;96;36;60;0;1;3;1;5;3;4;19;0;0;1;4;6;1;9;39
Brussels Hoofdstedelijk Gewest;Geriatrie;9;2;7;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;5
Brussels Hoofdstedelijk Gewest;Mond-, kaak- en aangezichtschirurgie;26;12;14;2;0;2;0;3;2;2;1;2;2;2;0;1;1;2;4
Brussels Hoofdstedelijk Gewest;Intensieve zorgen;95;32;63;6;7;7;2;5;0;1;4;3;7;11;7;5;9;9;12
Brussels Hoofdstedelijk Gewest;Pediatrische neurologie;14;12;2;1;2;3;0;0;2;0;4;0;1;0;0;0;0;0;1
Brussels Hoofdstedelijk Gewest;Nefrologie;54;25;29;2;6;6;5;1;2;0;3;1;4;4;3;2;4;3;8
Brussels Hoofdstedelijk Gewest;Urgentiegeneeskunde;43;16;27;0;1;1;2;1;6;1;4;1;0;1;5;6;1;3;10
Brussels Hoofdstedelijk Gewest;Endocrino-diabetologie;58;29;29;2;6;6;6;1;2;0;6;0;0;4;1;5;1;3;15
Brussels Hoofdstedelijk Gewest;Neonatologie;29;23;6;0;5;6;5;4;1;1;1;1;1;0;1;1;0;1;1
Brussels Hoofdstedelijk Gewest;Oncologie;25;10;15;1;2;3;3;1;0;0;0;0;0;3;1;1;3;4;3
Brussels Hoofdstedelijk Gewest;Pediatrische hematologie en oncologie;7;5;2;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0;1
Brussels Hoofdstedelijk Gewest;Klinische hematologie;30;16;14;2;5;3;0;2;1;2;1;2;0;2;2;2;3;0;3
Brussels Hoofdstedelijk Gewest;Beheer van gezondheidsgegevens;12;6;6;0;0;0;0;3;1;1;1;0;0;0;0;0;1;2;3
Brussels Hoofdstedelijk Gewest;Forensische psychiatrie;4;0;4;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1
Vlaams Brabant;Alle specialiteiten;735;341;394;24;63;67;63;43;22;29;30;29;25;37;39;43;55;34;132
Vlaams Brabant;Nucleaire in vitro geneeskunde;35;12;23;0;0;0;0;4;0;4;4;0;1;0;1;0;3;3;15
Vlaams Brabant;Functionele en professionele revalidatie van gehandicapten;165;68;97;3;6;10;13;13;7;4;12;2;4;6;2;6;8;7;62
