gebied;specialiteit;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;ALLE KINESITHERAPEUTEN (AANTAL PERSONEN);34713;20648;14065;1230;3385;1889;2179;2499;2140;2026;2014;1563;1723;651;1970;1055;1057;1657;1254;1267;1504;1480;2170
Gewest Vlaanderen;ALLE KINESITHERAPEUTEN (AANTAL PERSONEN);19130;11756;7374;632;1745;1040;1341;1647;1355;1121;1142;900;833;271;857;440;583;915;668;669;840;874;1257
Gewest Wallonië;ALLE KINESITHERAPEUTEN (AANTAL PERSONEN);12325;7016;5309;489;1215;569;711;736;686;757;709;510;634;308;782;365;355;643;516;522;562;492;764
Gewest Brussels hoofdstedelijk gewest;ALLE KINESITHERAPEUTEN (AANTAL PERSONEN);3258;1876;1382;109;425;280;127;116;99;148;163;153;256;72;331;250;119;99;70;76;102;114;149
Prov Vlaams Brabant;ALLE KINESITHERAPEUTEN (AANTAL PERSONEN);4148;2631;1517;160;413;246;281;328;291;276;242;206;188;55;199;115;133;185;138;136;153;179;224
Prov West-Vlaanderen;ALLE KINESITHERAPEUTEN (AANTAL PERSONEN);3631;2087;1544;123;282;131;239;329;234;201;216;170;162;49;113;63;132;195;146;138;223;173;312
Prov Oost-Vlaanderen;ALLE KINESITHERAPEUTEN (AANTAL PERSONEN);4365;2795;1570;129;383;252;361;420;317;245;256;222;210;66;157;76;115;205;133;182;170;195;271
Prov Antwerpen;ALLE KINESITHERAPEUTEN (AANTAL PERSONEN);4643;2871;1772;151;436;278;310;367;345;293;303;205;183;65;238;124;114;209;164;143;203;208;304
Prov Limburg;ALLE KINESITHERAPEUTEN (AANTAL PERSONEN);2343;1372;971;69;231;133;150;203;168;106;125;97;90;36;150;62;89;121;87;70;91;119;146
Prov Waals Brabant;ALLE KINESITHERAPEUTEN (AANTAL PERSONEN);2182;1391;791;81;238;106;120;152;112;150;172;106;154;57;136;67;43;105;67;74;95;62;85
Prov Henegouwen;ALLE KINESITHERAPEUTEN (AANTAL PERSONEN);3734;1908;1826;117;301;135;188;200;209;217;197;139;205;107;230;98;112;217;176;167;192;179;348
Prov Luik;ALLE KINESITHERAPEUTEN (AANTAL PERSONEN);3580;2074;1506;164;351;173;228;211;201;220;201;168;157;73;230;108;114;173;161;157;166;151;173
