Territoire;Specialité;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUTES SPECIALITES;25479;9401;16078;0;25;1226;1795;1652;1374;1071;891;616;751;0;9;796;1459;1529;1932;2163;2203;1857;4130
Région Flandre;TOUTES SPECIALITES;13486;4862;8624;0;11;719;1000;959;760;517;396;262;238;0;6;487;838;857;1085;1217;1217;936;1981
Région Wallonie;TOUTES SPECIALITES;8461;3038;5423;0;9;307;574;495;435;378;317;232;291;0;3;202;437;493;664;718;748;684;1474
Région de Bruxelles-capitale;TOUTES SPECIALITES;3532;1501;2031;0;5;200;221;198;179;176;178;122;222;0;0;107;184;179;183;228;238;237;675
Prov Brabant flamand;TOUTES SPECIALITES;3584;1467;2117;0;4;213;299;281;215;170;127;90;68;0;1;122;191;227;294;309;281;236;456
Prov Flandre occidentale;TOUTES SPECIALITES;2217;636;1581;0;0;110;115;126;108;48;55;35;39;0;1;87;130;132;180;196;224;176;455
Prov Flandre orientale;TOUTES SPECIALITES;2930;1088;1842;0;2;164;227;206;165;126;75;68;55;0;1;102;203;178;221;260;251;195;431
Prov Anvers;TOUTES SPECIALITES;3371;1217;2154;0;2;173;255;250;187;131;112;51;56;0;2;120;201;224;278;311;313;230;475
Prov Limbourg;TOUTES SPECIALITES;1384;454;930;0;3;59;104;96;85;42;27;18;20;0;1;56;113;96;112;141;148;99;164
Prov Brabant wallon;TOUTES SPECIALITES;1729;658;1071;0;2;54;107;107;102;110;64;35;77;0;0;30;86;107;149;148;160;114;277
Prov Hainaut;TOUTES SPECIALITES;2302;760;1542;0;4;58;157;110;97;87;94;73;80;0;2;43;98;131;179;210;205;214;460
Prov Liège;TOUTES SPECIALITES;2772;1054;1718;0;3;133;190;176;148;119;103;86;96;0;1;81;148;159;201;222;231;214;461
Prov Namur;TOUTES SPECIALITES;1212;422;790;0;0;49;91;74;62;48;39;29;30;0;0;41;78;72;97;98;106;100;198
Prov Luxembourg;TOUTES SPECIALITES;446;144;302;0;0;13;29;28;26;14;17;9;8;0;0;7;27;24;38;40;46;42;78
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;3532;1501;2031;0;5;200;221;198;179;176;178;122;222;0;0;107;184;179;183;228;238;237;675
Belgique;MEDECINE DU TRAVAIL;1071;562;509;0;0;33;106;88;107;97;74;43;14;0;0;5;36;25;45;90;117;95;96
Belgique;ANESTHESIE-REANIMATION;2209;847;1362;0;0;121;159;159;119;65;68;62;94;0;1;115;182;206;197;197;162;114;188
Belgique;CHIRURGIE;1689;261;1428;0;0;43;65;45;29;29;27;13;10;0;0;71;131;133;165;178;177;150;423
Belgique;NEUROCHIRURGIE;200;21;179;0;0;1;4;8;6;1;0;0;1;0;0;15;28;27;22;20;22;14;31
Belgique;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;242;52;190;0;0;3;14;7;7;12;5;4;0;0;0;22;21;28;36;19;19;14;31
Belgique;NEUROLOGIE;468;208;260;0;1;45;48;42;32;18;14;5;3;0;0;24;45;36;42;42;33;23;15
Belgique;PSYCHIATRIE;998;435;563;0;0;1;37;115;107;65;41;33;36;0;0;0;30;74;92;67;69;68;163
Belgique;GYNECOLOGIE-OBSTETRIQUE;1517;663;854;0;2;111;131;118;107;76;58;25;35;0;0;24;55;62;83;101;120;105;304
Belgique;OPHTALMOLOGIE;1149;658;491;0;6;83;98;81;81;79;73;58;99;0;4;26;33;36;55;56;52;51;178
Belgique;OTO-RHINO-LARYNGOLOGIE;701;260;441;0;2;37;48;49;48;28;21;13;14;0;0;18;35;30;42;72;59;49;136
Belgique;UROLOGIE;429;40;389;0;0;8;12;7;6;5;2;0;0;0;0;22;53;47;44;43;51;50;79
Belgique;CHIRURGIE ORTHOPEDIQUE;1083;82;1001;0;0;13;14;20;14;7;5;5;4;0;0;59;121;107;145;156;127;92;194
Belgique;STOMATOLOGIE;339;78;261;0;0;13;16;14;4;11;5;4;11;0;0;19;23;17;31;33;26;26;86
Belgique;DERMATO-VENEREOLOGIE;775;530;245;0;10;69;83;90;76;49;58;41;54;0;0;3;15;12;29;27;30;23;106
Belgique;PNEUMOLOGIE;505;184;321;0;0;44;55;33;13;10;15;5;9;0;0;12;34;34;48;63;56;29;45
Belgique;GASTRO-ENTEROLOGIE;642;167;475;0;0;27;45;33;18;16;10;12;6;0;0;31;50;55;76;70;65;57;71
Belgique;PEDIATRIE;1700;998;702;0;0;134;194;181;138;86;88;72;105;0;0;24;40;52;53;63;74;90;306
Belgique;CARDIOLOGIE;1090;209;881;0;0;31;47;35;41;27;9;8;11;0;0;57;106;106;124;119;107;95;167
Belgique;NEUROPSYCHIATRIE;342;79;263;0;0;0;0;0;1;11;15;12;40;0;0;0;0;0;0;20;29;53;161
Belgique;MEDECINE PHYSIQUE ET READAPTATION;533;224;309;0;1;24;39;46;31;34;20;14;15;0;0;17;29;14;41;40;41;44;83
Belgique;BIOLOGIE CLINIQUE;748;325;423;0;0;20;31;41;31;50;39;42;71;0;0;16;14;18;38;51;69;56;161
Belgique;RADIODIAGNOSTIC;1686;431;1255;0;1;45;77;70;92;53;48;21;24;0;0;76;95;119;185;190;188;139;263
Belgique;RADIOTHERAPIE-ONCOLOGIE;229;126;103;0;0;23;21;20;19;17;10;12;4;0;0;14;14;11;7;24;10;0;23
Belgique;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE INFANTO-JUVENILE;241;179;62;0;0;40;67;23;8;13;10;12;6;0;0;8;13;4;5;10;12;4;6
Belgique;MEDECINE NUCLEAIRE;339;103;236;0;0;11;16;14;21;18;11;6;6;0;0;8;12;17;27;25;27;35;85
Belgique;ANATOMIE PATHOLOGIQUE;370;178;192;0;0;16;29;34;30;22;22;6;19;0;0;13;16;15;20;24;24;19;61
Belgique;MEDECINE INTERNE;1843;569;1274;0;1;113;129;105;66;55;40;30;30;0;0;44;106;110;137;139;143;127;468
Belgique;RHUMATOLOGIE;256;102;154;0;0;9;14;21;20;11;8;6;13;0;0;4;6;11;17;18;22;22;54
Belgique;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE DE L'ADULTE;613;248;365;0;0;59;81;23;6;18;27;23;11;0;0;33;52;20;6;43;60;68;83
Belgique;MEDECINE LEGALE;12;2;10;0;0;0;2;0;0;0;0;0;0;0;1;4;0;0;0;1;1;1;2
Belgique;MEDECINE D'URGENCE;25;12;13;0;0;2;4;4;1;1;0;0;0;0;0;1;3;3;3;1;2;0;0
Belgique;MEDECINE AIGUE;306;121;185;0;1;9;39;34;16;10;10;1;1;0;3;6;34;51;34;27;18;9;3
Belgique;GERIATRIE;220;127;93;0;0;20;31;37;16;10;9;2;2;0;0;4;8;7;10;18;23;13;10
Belgique;MEDECINE D'ASSURANCE ET EXPERTISE MEDICALE;651;200;451;0;0;2;13;32;36;51;42;21;3;0;0;0;8;16;41;96;143;108;39
Belgique;ONCOLOGIE MEDICALE;201;98;103;0;0;16;25;20;20;9;3;5;0;0;0;1;10;22;23;12;16;11;8
Belgique;GESTION DE DONNEES DE SANTE;57;22;35;0;0;0;1;3;7;7;4;0;0;0;0;0;1;4;9;8;9;3;1
Région Flandre;MEDECINE DU TRAVAIL;690;345;345;0;0;25;69;58;74;56;38;21;4;0;0;4;26;17;32;70;77;59;60
Région Flandre;ANESTHESIE-REANIMATION;1228;456;772;0;0;70;89;96;75;39;28;29;30;0;1;65;107;111;117;114;93;57;107
Région Flandre;CHIRURGIE;885;143;742;0;0;32;38;29;8;13;11;7;5;0;0;46;74;78;96;94;95;67;192
Région Flandre;NEUROCHIRURGIE;125;12;113;0;0;0;3;4;4;0;0;0;1;0;0;11;19;17;13;14;13;9;17
Région Flandre;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;139;26;113;0;0;0;5;6;3;6;3;3;0;0;0;10;10;15;23;12;13;10;20
Région Flandre;NEUROLOGIE;242;103;139;0;1;30;22;17;17;5;7;2;2;0;0;14;25;19;18;23;20;12;8
Région Flandre;PSYCHIATRIE;280;148;132;0;0;1;7;62;53;16;6;2;1;0;0;0;7;42;49;15;8;4;7
Région Flandre;GYNECOLOGIE-OBSTETRIQUE;733;305;428;0;0;60;72;64;50;28;16;4;11;0;0;14;25;29;44;57;58;53;148
Région Flandre;OPHTALMOLOGIE;673;393;280;0;2;53;58;61;51;48;47;38;35;0;3;14;15;20;31;34;31;33;99
Région Flandre;OTO-RHINO-LARYNGOLOGIE;353;126;227;0;1;22;25;21;25;13;9;7;3;0;0;7;23;18;19;41;32;18;69
Région Flandre;UROLOGIE;248;20;228;0;0;5;4;5;3;2;1;0;0;0;0;16;28;30;30;26;37;27;34
Région Flandre;CHIRURGIE ORTHOPEDIQUE;639;48;591;0;0;8;9;14;8;4;2;3;0;0;0;41;77;65;91;94;78;51;94
Région Flandre;STOMATOLOGIE;185;35;150;0;0;7;7;8;2;4;3;0;4;0;0;18;18;7;23;24;10;13;37
Région Flandre;DERMATO-VENEREOLOGIE;417;288;129;0;5;37;54;53;42;25;31;19;22;0;0;1;9;11;15;14;16;7;56
Région Flandre;PNEUMOLOGIE;263;96;167;0;0;28;29;18;8;7;3;2;1;0;0;9;17;16;27;37;31;12;18
Région Flandre;GASTRO-ENTEROLOGIE;317;77;240;0;0;15;28;14;9;6;3;2;0;0;0;21;31;30;34;43;37;21;23
Région Flandre;PEDIATRIE;826;492;334;0;0;68;93;107;82;39;39;32;32;0;0;9;22;24;29;34;39;37;140
Région Flandre;CARDIOLOGIE;544;84;460;0;0;13;24;18;17;4;2;3;3;0;0;42;71;58;64;56;61;42;66
Région Flandre;NEUROPSYCHIATRIE;186;37;149;0;0;0;0;0;1;7;12;5;12;0;0;0;0;0;0;14;16;34;85
Région Flandre;MEDECINE PHYSIQUE ET READAPTATION;325;129;196;0;1;14;26;30;20;20;8;4;6;0;0;13;20;10;30;23;27;32;41
Région Flandre;BIOLOGIE CLINIQUE;378;154;224;0;0;11;24;26;19;21;12;19;22;0;0;10;11;16;27;29;38;23;70
Région Flandre;RADIODIAGNOSTIC;891;207;684;0;1;20;43;45;42;21;19;6;10;0;0;47;56;69;118;104;112;64;114
Région Flandre;RADIOTHERAPIE-ONCOLOGIE;132;73;59;0;0;18;17;15;12;6;3;2;0;0;0;6;6;6;4;18;8;0;11
Région Flandre;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE INFANTO-JUVENILE;173;134;39;0;0;26;53;19;5;11;8;9;3;0;0;5;8;2;4;5;10;2;3
Région Flandre;MEDECINE NUCLEAIRE;161;45;116;0;0;7;7;10;8;7;4;1;1;0;0;7;4;13;16;11;13;18;34
Région Flandre;ANATOMIE PATHOLOGIQUE;228;99;129;0;0;10;19;18;20;11;15;1;5;0;0;11;12;12;10;14;14;14;42
Région Flandre;MEDECINE INTERNE;902;287;615;0;0;69;58;52;40;35;17;5;11;0;0;18;49;51;59;64;60;68;246
Région Flandre;RHUMATOLOGIE;125;46;79;0;0;4;7;10;9;6;4;2;4;0;0;3;4;6;8;6;10;14;28
Région Flandre;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE DE L'ADULTE;473;169;304;0;0;41;53;7;1;13;24;22;8;0;0;17;35;8;3;40;55;66;80
Région Flandre;MEDECINE LEGALE;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1
Région Flandre;MEDECINE D'URGENCE;9;6;3;0;0;2;0;3;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0
Région Flandre;MEDECINE AIGUE;109;42;67;0;0;3;16;11;7;3;1;0;1;0;2;5;15;21;10;8;4;1;1
Région Flandre;GERIATRIE;139;76;63;0;0;10;18;24;8;7;7;1;1;0;0;1;6;4;7;12;16;10;7
Région Flandre;MEDECINE D'ASSURANCE ET EXPERTISE MEDICALE;344;105;239;0;0;1;7;25;23;27;11;11;0;0;0;0;3;12;23;56;75;51;19
Région Flandre;ONCOLOGIE MEDICALE;93;47;46;0;0;9;15;9;10;4;0;0;0;0;0;1;3;15;9;6;5;4;3
Région Flandre;GESTION DE DONNEES DE SANTE;26;9;17;0;0;0;1;0;3;3;2;0;0;0;0;0;1;3;2;4;4;2;1
Région Wallonie;MEDECINE DU TRAVAIL;299;175;124;0;0;7;35;21;27;32;29;17;7;0;0;0;9;8;10;12;32;26;27
