territoire;specialite;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;TOUTES SPECIALITES;3962;2388;1574;22;1879;407;52;22;4;2;0;0;0;12;1103;325;76;33;16;6;1;1;1
Région Flandre;TOUTES SPECIALITES;2193;1322;871;10;1088;192;23;7;2;0;0;0;0;2;644;163;37;16;7;1;0;1;0
Région Wallonie;TOUTES SPECIALITES;898;545;353;8;432;88;7;9;1;0;0;0;0;8;245;67;16;8;5;3;0;0;1
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;871;521;350;4;359;127;22;6;1;2;0;0;0;2;214;95;23;9;4;2;1;0;0
Prov Brabant flamand;TOUTES SPECIALITES;676;419;257;3;336;69;8;3;0;0;0;0;0;0;178;59;12;6;2;0;0;0;0
Prov Flandre occidentale;TOUTES SPECIALITES;278;157;121;1;137;17;2;0;0;0;0;0;0;2;105;12;2;0;0;0;0;0;0
Prov Flandre orientale;TOUTES SPECIALITES;529;336;193;2;279;47;6;2;0;0;0;0;0;0;137;41;10;3;1;0;0;1;0
Prov Anvers;TOUTES SPECIALITES;546;309;237;4;252;45;4;2;2;0;0;0;0;0;176;39;10;7;4;1;0;0;0
Prov Limbourg;TOUTES SPECIALITES;164;101;63;0;84;14;3;0;0;0;0;0;0;0;48;12;3;0;0;0;0;0;0
Prov Brabant wallon;TOUTES SPECIALITES;130;90;40;3;63;20;0;3;1;0;0;0;0;3;25;8;3;1;0;0;0;0;0
Prov Hainaut;TOUTES SPECIALITES;187;116;71;1;96;17;1;1;0;0;0;0;0;2;49;15;1;1;1;2;0;0;0
Prov Liège;TOUTES SPECIALITES;422;241;181;2;195;35;6;3;0;0;0;0;0;2;125;35;9;6;3;0;0;0;1
Prov Namur;TOUTES SPECIALITES;121;70;51;2;55;12;0;1;0;0;0;0;0;1;40;9;0;0;0;1;0;0;0
Prov Luxembourg;TOUTES SPECIALITES;38;28;10;0;23;4;0;1;0;0;0;0;0;0;6;0;3;0;1;0;0;0;0
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;871;521;350;4;359;127;22;6;1;2;0;0;0;2;214;95;23;9;4;2;1;0;0
Belgique;ANESTHESIE-REANIMATION;448;239;209;1;194;34;9;1;0;0;0;0;0;1;156;37;8;6;1;0;0;0;0
Belgique;CHIRURGIE;285;120;165;1;94;22;1;2;0;0;0;0;0;1;116;41;4;1;1;1;0;0;0
Belgique;NEUROCHIRURGIE;54;14;40;0;12;2;0;0;0;0;0;0;0;1;25;8;5;0;0;1;0;0;0
Belgique;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;46;26;20;0;17;8;1;0;0;0;0;0;0;0;12;8;0;0;0;0;0;0;0
