Territoire;Spécialité;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUTES SPECIALITES;216;148;68;99;47;2;0;0;0;0;0;0;0;31;34;1;2;0;0;0;0;0;0
Région Flandre;TOUTES SPECIALITES;138;95;43;67;26;2;0;0;0;0;0;0;0;24;17;1;1;0;0;0;0;0;0
Région Wallonie;TOUTES SPECIALITES;42;29;13;21;8;0;0;0;0;0;0;0;0;5;8;0;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;36;24;12;11;13;0;0;0;0;0;0;0;0;2;9;0;1;0;0;0;0;0;0
Prov Brabant flamand;TOUTES SPECIALITES;36;23;13;15;7;1;0;0;0;0;0;0;0;6;6;1;0;0;0;0;0;0;0
Prov Flandre occidentale;TOUTES SPECIALITES;32;24;8;18;6;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0
Prov Flandre orientale;TOUTES SPECIALITES;33;18;15;13;5;0;0;0;0;0;0;0;0;8;6;0;1;0;0;0;0;0;0
Prov Anvers;TOUTES SPECIALITES;25;19;6;10;8;1;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0
Prov Limbourg;TOUTES SPECIALITES;12;11;1;11;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Prov Brabant wallon;TOUTES SPECIALITES;5;3;2;2;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Prov Hainaut;TOUTES SPECIALITES;12;10;2;9;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Prov Liège;TOUTES SPECIALITES;17;10;7;5;5;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0
Prov Namur;TOUTES SPECIALITES;3;2;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Luxembourg;TOUTES SPECIALITES;5;4;1;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;36;24;12;11;13;0;0;0;0;0;0;0;0;2;9;0;1;0;0;0;0;0;0
