Territoire-Spécialité;Unnamed: 1;Unnamed: 2;Unnamed: 3;Total;Genre;Unnamed: 6;Femme;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Homme;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26
;;;;;Femme;Homme;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
;Belgique;Tous les infirmiers;;206444.0;178802;27642;5381;15573;16276;15371;17943;18182;17967;20902;19665;31542;741;2626;3056;2798;3093;3059;2727;3097;3145;3300
;Région flamande;Tous les infirmiers;;135711.0;117049;18662;3866;10237;10546;9819;11543;11690;11947;14077;12940;20384;564;1717;1801;1627;1846;1828;1889;2335;2351;2704
;Région wallonne;Tous les infirmiers;;60778.0;53324;7454;1283;4291;4825;4785;5647;5708;5311;6027;5895;9552;147;700;985;899;1044;1087;708;657;702;525
;"Région de
Bruxelles Capitale";Tous les infirmiers;;9955.0;8429;1526;232;1045;905;767;753;784;709;798;830;1606;30;209;270;272;203;144;130;105;92;71
;Brabant flamand;Tous les infirmiers;;22029.0;18777;3252;529;1474;1507;1454;1737;1851;1965;2449;2408;3403;102;283;294;277;290;286;292;431;464;533
;"Flandre
occidentale";Tous les infirmiers;;29955.0;26085;3870;986;2315;2543;2346;2622;2518;2415;2928;2775;4637;144;356;398;319;421;373;371;445;480;563
;Flandre orientale;Tous les infirmiers;;32277.0;27831;4446;994;2505;2464;2287;2686;2901;2939;3289;2938;4828;132;435;423;394;449;445;458;549;566;595
;Anvers;Tous les infirmiers;;31675.0;27371;4304;831;2414;2405;2098;2587;2638;2890;3554;3209;4745;105;360;406;349;402;438;470;569;599;606
;Limbourg;Tous les infirmiers;;19775.0;16985;2790;526;1529;1627;1634;1911;1782;1738;1857;1610;2771;81;283;280;288;284;286;298;341;242;407
