gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64
België;Alle specialiteiten;6425;3685;2740;338;2547;676;78;22;11;10;3;201;1896;556;50;16;14;4;2;1
België;Geriatrie;128;99;29;5;59;33;2;0;0;0;0;1;14;13;1;0;0;0;0;0
België;Urgentiegeneeskunde;528;285;243;20;176;75;10;2;1;1;0;9;143;73;7;4;6;1;0;0
België;Gerechtelijke geneeskunde;14;9;5;1;6;2;0;0;0;0;0;0;4;1;0;0;0;0;0;0
België;Anesthesie-reanimatie;673;295;378;16;217;46;12;4;0;0;0;18;273;76;6;2;3;0;0;0
België;Heelkunde;393;198;195;16;134;46;2;0;0;0;0;19;133;40;2;1;0;0;0;0
België;Neurochirurgie;70;23;47;1;19;2;1;0;0;0;0;4;31;12;0;0;0;0;0;0
België;Plastische, reconstructieve en esthetische heelkunde;62;32;30;5;15;12;0;0;0;0;0;0;17;12;1;0;0;0;0;0
België;Urologie;149;70;79;5;47;17;1;0;0;0;0;1;53;24;1;0;0;0;0;0
België;Orthopedische heelkunde;308;91;217;4;59;28;0;0;0;0;0;10;148;54;3;1;1;0;0;0
België;Neurologie;185;121;64;19;76;24;1;1;0;0;0;11;43;10;0;0;0;0;0;0
België;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;148;127;21;6;89;26;5;0;1;0;0;0;18;3;0;0;0;0;0;0
België;Psychiatrie, meer bepaald volwassenpsychiatrie;314;182;132;16;122;31;7;2;1;3;0;13;91;28;0;0;0;0;0;0
België;Pneumologie;77;44;33;1;20;22;1;0;0;0;0;1;16;16;0;0;0;0;0;0
België;Gastro-enterologie;103;64;39;0;35;27;1;1;0;0;0;0;21;17;1;0;0;0;0;0
België;Cardiologie;124;51;73;0;26;25;0;0;0;0;0;2;36;30;4;0;1;0;0;0
België;Inwendige geneeskunde;913;516;397;86;386;39;2;3;0;0;0;49;306;36;4;2;0;0;0;0
België;Reumatologie;36;25;11;0;12;12;1;0;0;0;0;0;8;3;0;0;0;0;0;0
België;Acute geneeskunde;21;9;12;0;6;2;1;0;0;0;0;0;9;2;1;0;0;0;0;0
België;Gynaecologie-verloskunde;344;296;48;27;227;40;2;0;0;0;0;4;36;8;0;0;0;0;0;0
België;Oftalmologie;174;94;80;16;68;5;5;0;0;0;0;9;61;7;2;0;1;0;0;0
België;Otorhinolaryngologie;135;88;47;6;75;7;0;0;0;0;0;3;38;6;0;0;0;0;0;0
België;Stomatologie;80;29;51;4;24;1;0;0;0;0;0;5;37;9;0;0;0;0;0;0
België;Dermato-venereologie;123;103;20;15;81;7;0;0;0;0;0;1;18;1;0;0;0;0;0;0
België;Pediatrie;491;409;82;45;306;55;3;0;0;0;0;9;63;10;0;0;0;0;0;0
België;Fysische geneeskunde en revalidatie;122;65;57;5;53;6;0;1;0;0;0;5;46;6;0;0;0;0;0;0
België;Klinische biologie;78;36;42;0;23;10;3;0;0;0;0;4;29;5;3;1;0;0;0;0
België;Rontgendiagnose;281;110;171;7;77;22;2;2;0;0;0;13;130;22;4;2;0;0;0;0
België;Radiotherapie - oncologie;55;25;30;2;19;4;0;0;0;0;0;4;18;6;1;1;0;0;0;0
België;Nucleaire geneeskunde;38;16;22;2;11;3;0;0;0;0;0;2;12;7;0;1;0;0;0;0
België;Pathologische anatomie;71;45;26;0;34;10;0;1;0;0;0;2;19;3;2;0;0;0;0;0
België;Medische oncologie;65;39;26;4;17;16;2;0;0;0;0;0;14;11;1;0;0;0;0;0
België;Klinische genetica;22;16;6;4;9;2;1;0;0;0;0;2;3;1;0;0;0;0;0;0
België;Arbeidsgeneeskunde;100;73;27;0;19;19;13;5;8;6;3;0;8;4;6;1;2;3;2;1
