territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;2548;1512;1036;134;354;235;150;77;105;165;153;103;36;60;216;155;104;70;61;103;114;106;47
Région Flandre;995;665;330;88;191;132;80;35;41;37;37;17;7;24;77;59;41;20;13;26;31;30;9
Région Wallonie;1235;687;548;36;110;75;55;35;57;115;105;75;24;29;104;64;48;40;41;65;65;63;29
Région Région de Bruxelles-capitale;318;160;158;10;53;28;15;7;7;13;11;11;5;7;35;32;15;10;7;12;18;13;9
Prov Brabant flamand;309;178;131;17;45;40;23;10;13;13;12;3;2;8;21;15;10;11;4;13;22;21;6
Prov Flandre occidentale;122;83;39;13;22;19;7;5;4;4;7;2;0;5;8;13;4;0;2;3;1;3;0
Prov Flandre orientale;259;175;84;27;53;36;24;7;12;7;4;4;1;8;24;19;14;6;4;4;3;2;0
Prov Anvers;193;147;46;21;39;28;14;8;9;10;8;7;3;1;12;9;5;2;2;5;5;3;2
Prov Limbourg;112;82;30;10;32;9;12;5;3;3;6;1;1;2;12;3;8;1;1;1;0;1;1
Prov Brabant wallon;148;92;56;4;12;8;11;4;8;15;15;12;3;3;6;6;7;6;6;7;5;7;3
Prov Hainaut;434;199;235;12;36;24;21;8;17;29;25;20;7;16;58;27;21;9;14;21;25;33;11
Prov Liège;357;238;119;7;37;23;10;14;23;43;45;28;8;6;22;16;7;11;9;12;18;10;8
Prov Namur;243;133;110;11;20;16;11;7;9;25;18;12;4;3;15;14;11;13;7;20;14;8;5
Prov Luxembourg;53;25;28;2;5;4;2;2;0;3;2;3;2;1;3;1;2;1;5;5;3;5;2
Prov Région de Bruxelles-capitale;318;160;158;10;53;28;15;7;7;13;11;11;5;7;35;32;15;10;7;12;18;13;9
