Territoire;Spécialité;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUTES SPECIALITES;26965;10557;16408;0;30;1189;1854;1892;1523;1261;964;829;1015;0;12;697;1394;1610;1607;2134;2129;2124;4701
Région Flandre;TOUTES SPECIALITES;14327;5478;8849;0;19;631;1057;1083;840;694;436;366;352;0;6;368;814;924;892;1229;1176;1136;2304
Région Wallonie;TOUTES SPECIALITES;8906;3397;5509;0;3;341;508;603;493;398;349;304;398;0;1;205;379;512;539;707;713;769;1684
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;3732;1682;2050;0;8;217;289;206;190;169;179;159;265;0;5;124;201;174;176;198;240;219;713
Prov Brabant flamand;TOUTES SPECIALITES;3867;1675;2192;0;9;223;314;317;232;218;140;112;110;0;1;90;195;229;245;315;289;284;544
Prov Flandre occidentale;TOUTES SPECIALITES;2335;708;1627;0;0;74;151;131;105;91;44;60;52;0;2;69;125;149;137;210;199;212;524
Prov Flandre orientale;TOUTES SPECIALITES;3090;1231;1859;0;4;145;253;234;184;151;101;78;81;0;1;74;186;199;185;255;253;219;487
Prov Anvers;TOUTES SPECIALITES;3569;1353;2216;0;4;130;255;280;231;165;121;88;79;0;1;105;199;236;233;308;293;291;550
Prov Limbourg;TOUTES SPECIALITES;1466;511;955;0;2;59;84;121;88;69;30;28;30;0;1;30;109;111;92;141;142;130;199
Prov Brabant wallon;TOUTES SPECIALITES;1834;725;1109;0;0;50;105;109;119;96;106;47;93;0;0;28;79;103;125;160;142;145;327
Prov Hainaut;TOUTES SPECIALITES;2384;846;1538;0;1;75;118;154;114;91;79;98;116;0;0;46;76;127;143;201;208;214;523
Prov Liège;TOUTES SPECIALITES;2919;1173;1746;0;1;145;176;216;160;134;99;108;134;0;0;91;136;160;173;191;230;247;518
Prov Namur;TOUTES SPECIALITES;1292;479;813;0;1;53;79;91;74;52;50;36;43;0;1;38;69;93;69;107;95;115;226
Prov Luxembourg;TOUTES SPECIALITES;477;174;303;0;0;18;30;33;26;25;15;15;12;0;0;2;19;29;29;48;38;48;90
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;3732;1682;2050;0;8;217;289;206;190;169;179;159;265;0;5;124;201;174;176;198;240;219;713
Belgique;MEDECINE DU TRAVAIL;1154;623;531;0;0;8;79;147;84;115;92;67;31;0;0;3;30;39;28;80;88;120;143
Belgique;ANESTHESIE-REANIMATION;2384;940;1444;0;1;118;158;177;137;95;66;71;117;0;1;109;177;204;198;209;180;140;226
Belgique;CHIRURGIE;1707;296;1411;0;0;37;68;65;35;27;32;17;15;0;0;57;123;138;140;160;176;174;443
Belgique;NEUROCHIRURGIE;220;22;198;0;0;3;2;7;5;3;1;0;1;0;0;14;29;30;21;19;29;18;38
Belgique;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;262;61;201;0;0;9;10;11;6;9;10;3;3;0;0;13;27;25;29;33;18;23;33
Belgique;NEUROLOGIE;553;255;298;0;0;50;55;41;45;25;19;15;5;0;0;15;40;43;38;48;40;40;34
Belgique;PSYCHIATRIE;1003;443;560;0;0;7;18;71;112;94;48;42;51;0;0;3;11;60;73;87;65;67;194
Belgique;GYNECOLOGIE-OBSTETRIQUE;1602;757;845;0;0;101;152;132;121;86;73;45;47;0;1;26;45;62;67;95;110;113;326
Belgique;OPHTALMOLOGIE;1209;706;503;0;9;70;102;94;78;84;74;74;121;0;4;23;37;44;41;58;57;58;181
Belgique;OTO-RHINO-LARYNGOLOGIE;723;289;434;0;0;40;49;43;54;38;21;24;20;0;0;17;26;38;30;58;69;51;145
Belgique;UROLOGIE;454;55;399;0;0;13;15;7;11;3;6;0;0;0;0;20;42;58;36;49;43;49;102
Belgique;CHIRURGIE ORTHOPEDIQUE;1144;99;1045;0;0;16;16;18;18;15;7;3;6;0;0;47;113;110;121;160;150;104;240
Belgique;STOMATOLOGIE;349;84;265;0;0;7;19;18;10;5;10;3;12;0;0;13;28;26;28;28;32;25;85
Belgique;DERMATO-VENEREOLOGIE;825;574;251;0;15;55;89;85;86;67;45;57;75;0;2;10;8;18;15;34;30;24;110
Belgique;PNEUMOLOGIE;563;224;339;0;0;31;69;49;25;17;10;11;12;0;0;10;31;33;36;54;69;56;50
Belgique;GASTRO-ENTEROLOGIE;705;205;500;0;0;35;49;40;25;20;10;11;15;0;0;15;56;55;59;77;70;70;98
Belgique;PEDIATRIE;1830;1136;694;0;1;142;211;197;157;130;70;97;131;0;0;18;47;42;62;45;79;82;319
Belgique;CARDIOLOGIE;1174;249;925;0;0;37;49;49;41;26;25;5;17;0;0;43;110;112;111;138;104;115;192
Belgique;NEUROPSYCHIATRIE;272;67;205;0;0;0;0;0;0;4;9;9;45;0;0;0;0;0;0;3;12;31;159
Belgique;MEDECINE PHYSIQUE ET READAPTATION;563;246;317;0;1;23;44;40;39;39;23;17;20;0;0;22;20;24;21;43;43;42;102
Belgique;BIOLOGIE CLINIQUE;748;333;415;0;0;13;33;41;33;37;44;42;90;0;0;13;18;17;26;41;52;81;167
Belgique;RADIODIAGNOSTIC;1792;502;1290;0;1;67;74;75;88;77;44;43;33;0;1;70;118;100;135;212;183;169;302
Belgique;RADIOTHERAPIE-ONCOLOGIE;232;127;105;0;0;13;22;25;18;20;12;9;8;0;0;9;19;13;11;12;19;5;17
Belgique;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE INFANTO-JUVENILE;298;229;69;0;0;48;67;56;15;11;6;16;10;0;0;6;12;12;3;9;8;12;7
Belgique;MEDECINE NUCLEAIRE;347;114;233;0;0;13;17;13;19;26;8;10;8;0;0;7;11;19;18;26;20;28;104
Belgique;ANATOMIE PATHOLOGIQUE;381;195;186;0;0;16;28;33;30;27;21;16;24;0;0;5;19;17;9;22;24;24;66
Belgique;MEDECINE INTERNE;1837;617;1220;0;0;94;150;122;77;53;51;27;43;0;2;48;69;122;113;144;112;123;487
Belgique;RHUMATOLOGIE;258;109;149;0;0;8;16;20;18;15;8;9;15;0;0;2;9;7;10;21;18;22;60
Belgique;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE DE L'ADULTE;720;318;402;0;0;54;95;71;10;14;24;30;20;0;1;23;60;49;12;16;54;61;126
Belgique;MEDECINE LEGALE;14;2;12;0;0;0;1;1;0;0;0;0;0;0;0;3;4;0;0;1;1;0;3
Belgique;MEDECINE D'URGENCE;89;40;49;0;0;19;9;6;4;2;0;0;0;0;0;14;14;5;6;5;4;1;0
Belgique;MEDECINE AIGUE;314;128;186;0;2;10;16;40;29;11;15;4;1;0;0;7;20;41;47;33;18;14;6
Belgique;GERIATRIE;286;164;122;0;0;15;39;45;28;15;11;10;1;0;0;5;9;10;9;15;27;27;20
Belgique;MEDECINE D'ASSURANCE ET EXPERTISE MEDICALE;648;199;449;0;0;0;5;24;37;30;55;34;14;0;0;0;1;12;25;72;103;139;97
Belgique;ONCOLOGIE MEDICALE;245;126;119;0;0;17;28;28;21;13;8;7;4;0;0;7;10;21;24;19;10;13;15
Belgique;GESTION DE DONNEES DE SANTE;60;23;37;0;0;0;0;1;7;8;6;1;0;0;0;0;1;4;5;8;12;3;4
Région Flandre;MEDECINE DU TRAVAIL;753;384;369;0;0;7;54;95;53;79;47;35;14;0;0;2;25;27;18;66;62;78;91
