gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle specialiteiten;4598;1813;2785;164;281;332;317;238;169;135;177;102;173;241;318;332;378;362;879
België;Nucleaire in vitro geneeskunde;205;82;123;0;0;2;7;11;25;19;18;1;1;0;3;8;21;29;60
België;Functionele en professionele revalidatie van gehandicapten;987;376;611;10;22;57;63;61;42;35;86;6;21;27;37;50;53;63;354
België;Geriatrie;147;50;97;0;6;7;13;8;6;6;4;0;1;3;5;6;5;14;63
België;Mond-, kaak- en aangezichtschirurgie;201;47;154;5;7;14;11;3;1;6;0;10;17;25;21;19;20;15;27
België;Intensieve zorgen;948;314;634;46;71;55;60;44;17;12;9;48;70;70;88;88;105;76;89
België;Pediatrische neurologie;101;75;26;5;15;16;12;4;6;4;13;0;1;2;2;3;2;6;10
België;Nefrologie;359;147;212;17;38;30;25;12;9;9;7;14;23;20;23;22;27;20;63
België;Urgentiegeneeskunde;476;133;343;7;11;29;29;26;12;8;11;4;14;33;57;65;47;56;67
België;Endocrino-diabetologie;365;204;161;29;35;42;32;26;13;13;14;5;6;15;23;12;19;19;62
België;Neonatologie;141;100;41;10;21;15;21;16;8;5;4;2;4;3;10;6;5;5;6
België;Oncologie;325;125;200;16;30;38;23;7;7;3;1;7;9;26;33;29;40;30;26
België;Pediatrische hematologie en oncologie;42;30;12;0;3;8;4;3;7;5;0;0;1;3;2;2;2;0;2
België;Klinische hematologie;173;92;81;19;21;17;14;9;7;4;1;5;5;12;9;13;15;8;14
België;Beheer van gezondheidsgegevens;103;29;74;0;0;0;1;5;8;6;9;0;0;1;1;8;14;20;30
België;Forensische psychiatrie;25;9;16;0;1;2;2;3;1;0;0;0;0;1;4;1;3;1;6
Vlaams Gewest;Alle specialiteiten;2803;1129;1674;119;193;223;217;154;94;63;66;79;119;162;204;211;214;199;486
Vlaams Gewest;Nucleaire in vitro geneeskunde;108;38;70;0;0;2;5;9;11;5;6;1;0;0;3;7;12;19;28
Vlaams Gewest;Functionele en professionele revalidatie van gehandicapten;618;246;372;10;20;48;45;45;27;16;35;6;19;20;26;33;30;31;207
Vlaams Gewest;Geriatrie;98;34;64;0;6;4;11;5;2;4;2;0;1;2;5;2;2;12;40
Vlaams Gewest;Mond-, kaak- en aangezichtschirurgie;147;27;120;4;5;7;8;0;0;3;0;8;16;21;15;13;15;13;19
Vlaams Gewest;Intensieve zorgen;628;237;391;35;53;43;49;34;12;7;4;35;45;52;57;57;54;43;48
Vlaams Gewest;Pediatrische neurologie;60;42;18;5;7;8;9;3;4;2;4;0;1;1;2;3;1;3;7
Vlaams Gewest;Nefrologie;200;83;117;9;25;18;15;7;2;5;2;11;15;12;12;12;14;8;33
Vlaams Gewest;Urgentiegeneeskunde;268;76;192;7;7;20;22;11;2;2;5;4;8;24;36;38;26;27;29
Vlaams Gewest;Endocrino-diabetologie;182;109;73;19;23;19;15;13;9;7;4;3;4;6;13;4;10;6;27
Vlaams Gewest;Neonatologie;75;49;26;6;9;6;9;10;5;3;1;2;2;2;5;5;4;3;3
Vlaams Gewest;Oncologie;231;98;133;14;23;29;16;7;6;3;0;6;5;15;21;21;29;19;17
Vlaams Gewest;Pediatrische hematologie en oncologie;26;20;6;0;3;6;2;2;5;2;0;0;1;0;1;2;1;0;1
Vlaams Gewest;Klinische hematologie;92;52;40;10;11;11;9;4;5;2;0;3;2;5;3;8;8;4;7
Vlaams Gewest;Beheer van gezondheidsgegevens;45;9;36;0;0;0;0;1;3;2;3;0;0;1;1;5;5;10;14
Vlaams Gewest;Forensische psychiatrie;25;9;16;0;1;2;2;3;1;0;0;0;0;1;4;1;3;1;6
Waals Gewest;Alle specialiteiten;1292;456;836;27;53;69;81;59;52;45;70;17;39;52;92;91;125;130;290
Waals Gewest;Nucleaire in vitro geneeskunde;66;29;37;0;0;0;2;1;12;7;7;0;1;0;0;0;6;7;23
Waals Gewest;Functionele en professionele revalidatie van gehandicapten;269;92;177;0;0;7;14;14;10;14;33;0;2;5;8;12;17;22;111
Waals Gewest;Geriatrie;41;14;27;0;0;3;2;3;3;1;2;0;0;0;0;4;2;2;19
Waals Gewest;Mond-, kaak- en aangezichtschirurgie;32;8;24;1;1;4;2;0;0;0;0;2;1;2;5;5;4;0;5
Waals Gewest;Intensieve zorgen;233;48;185;6;12;5;10;5;5;3;2;10;16;10;28;25;36;27;33
Waals Gewest;Pediatrische neurologie;31;24;7;0;5;7;3;1;1;1;6;0;0;1;0;0;1;3;2
Waals Gewest;Nefrologie;107;41;66;4;7;7;7;5;5;3;3;1;4;6;7;8;9;10;21
Waals Gewest;Urgentiegeneeskunde;168;42;126;0;3;7;7;11;6;4;4;0;6;5;18;21;20;27;29
Waals Gewest;Endocrino-diabetologie;125;65;60;7;8;13;14;12;2;4;5;2;2;6;7;4;7;11;21
Waals Gewest;Neonatologie;39;27;12;2;4;4;9;3;1;2;2;0;2;1;4;1;1;1;2
Waals Gewest;Oncologie;73;21;52;2;5;8;4;0;1;0;1;1;3;8;11;6;9;8;6
Waals Gewest;Pediatrische hematologie en oncologie;10;6;4;0;0;1;2;0;1;2;0;0;0;2;1;0;1;0;0
Waals Gewest;Klinische hematologie;52;25;27;5;8;3;4;3;1;1;0;1;2;6;3;3;4;4;4
Waals Gewest;Beheer van gezondheidsgegevens;46;14;32;0;0;0;1;1;4;3;5;0;0;0;0;2;8;8;14
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;503;228;275;18;35;40;19;25;23;27;41;6;15;27;22;30;39;33;103
Brussels Hoofdstedelijk Gewest;Nucleaire in vitro geneeskunde;31;15;16;0;0;0;0;1;2;7;5;0;0;0;0;1;3;3;9
Brussels Hoofdstedelijk Gewest;Functionele en professionele revalidatie van gehandicapten;100;38;62;0;2;2;4;2;5;5;18;0;0;2;3;5;6;10;36
Brussels Hoofdstedelijk Gewest;Geriatrie;8;2;6;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;4
Brussels Hoofdstedelijk Gewest;Mond-, kaak- en aangezichtschirurgie;22;12;10;0;1;3;1;3;1;3;0;0;0;2;1;1;1;2;3
