Gebied-Specialiteit;Unnamed: 1;Unnamed: 2;Totaal;Geslacht;Unnamed: 5;Vrouw;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Man;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25
;;;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
;België;Alle apothekers;21477.0;15386;6091;580;2043;2092;1378;1479;1496;1502;1234;856;2726;108;560;637;361;473;460;510;512;464;2006
;Vlaams Gewest;Alle apothekers;12862.0;9221;3641;395;1376;1299;841;866;865;837;750;477;1515;80;335;329;197;262;265;255;298;281;1339
;Waals Gewest;Alle apothekers;6654.0;4795;1859;149;461;580;404;487;531;548;394;298;943;23;151;197;106;166;156;205;167;133;555
;"Brussels Hoofdstedelijk
Gewest";Alle apothekers;1961.0;1370;591;36;206;213;133;126;100;117;90;81;268;5;74;111;58;45;39;50;47;50;112
;Vlaams Brabant;Alle apothekers;2758.0;2022;736;72;245;246;198;215;205;199;176;121;345;12;65;68;57;55;70;64;65;74;206
;West-Vlaanderen;Alle apothekers;2294.0;1626;668;78;241;194;144;129;169;142;134;87;308;14;43;42;19;45;35;40;48;53;329
;Oost-Vlaanderen;Alle apothekers;3311.0;2356;955;113;396;363;181;242;210;209;175;108;359;35;95;88;51;71;84;61;67;62;341
;Antwerpen;Alle apothekers;3343.0;2388;955;106;376;359;239;198;203;212;205;127;363;18;98;101;53;64;60;69;94;77;321
;Limburg;Alle apothekers;1156.0;829;327;26;118;137;79;82;78;75;60;34;140;1;34;30;17;27;16;21;24;15;142
;Waals Brabant;Alle apothekers;1187.0;881;306;27;63;95;77;93;100;116;61;61;188;1;14;32;17;29;35;33;32;19;94
;Henegouwen;Alle apothekers;1882.0;1339;543;47;123;157;107;135;165;138;124;99;244;3;50;58;29;57;46;54;55;43;148
;Luik;Alle apothekers;2140.0;1520;620;44;163;187;140;129;144;185;118;88;322;13;56;73;33;47;43;72;48;45;190
;Namen;Alle apothekers;1012.0;740;272;17;70;101;54;95;88;71;71;38;135;6;23;25;20;25;15;30;26;20;82
;Luxemburg;Alle apothekers;433.0;315;118;14;42;40;26;35;34;38;20;12;54;0;8;9;7;8;17;16;6;6;41
;"Brussels Hoofdstedelijk
Gewest";Alle apothekers;1961.0;1370;591;36;206;213;133;126;100;117;90;81;268;5;74;111;58;45;39;50;47;50;112
;België;Geen FOD-erkenning;20255.0;14335;5920;549;1844;1845;1226;1365;1399;1424;1170;825;2688;104;531;599;337;459;448;496;502;452;1992
;Vlaams Gewest;Geen FOD-erkenning;12129.0;8577;3552;382;1248;1136;753;792;813;790;710;461;1492;79;319;313;182;253;258;248;296;273;1331
;Waals Gewest;Geen FOD-erkenning;6264.0;4465;1799;133;410;510;356;455;494;519;372;283;933;20;140;180;102;163;152;199;163;131;549
;"Brussels Hoofdstedelijk
Gewest";Geen FOD-erkenning;1862.0;1293;569;34;186;199;117;118;92;115;88;81;263;5;72;106;53;43;38;49;43;48;112
;Vlaams Brabant;Geen FOD-erkenning;2605.0;1891;714;68;223;212;175;200;199;190;171;115;338;12;62;61;52;53;70;63;65;72;204
;West-Vlaanderen;Geen FOD-erkenning;2176.0;1523;653;75;213;180;124;119;160;135;128;86;303;14;41;36;19;45;33;38;48;51;328
;Oost-Vlaanderen;Geen FOD-erkenning;3102.0;2172;930;111;362;302;164;211;195;199;166;106;356;34;90;87;46;66;82;61;67;60;337
