Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Man;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21
;;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;50-54;60-64;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64
België;Alle specialiteiten;5906.0;3322;2584;284;2359;575;64;20;15;4;1;214;1769;522;46;14;12;2;3;2
;Geriatrie;114.0;89;25;7;55;24;1;1;1;0;0;1;15;7;1;0;1;0;0;0
;Urgentiegeneeskunde;451.0;231;220;15;144;56;12;1;3;0;0;12;130;58;12;3;4;1;0;0
;Gerechtelijke geneeskunde;7.0;4;3;1;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;Anesthesie-reanimatie;667.0;286;381;17;208;50;10;1;0;0;0;25;264;82;8;0;2;0;0;0
;Heelkunde;372.0;182;190;16;128;35;2;1;0;0;0;16;133;38;2;1;0;0;0;0
;Neurochirurgie;67.0;22;45;3;13;6;0;0;0;0;0;4;27;14;0;0;0;0;0;0
;"Plastische, reconstructieve en
esthetische heelkunde";58.0;24;34;1;18;5;0;0;0;0;0;2;16;14;2;0;0;0;0;0
;Urologie;138.0;61;77;5;41;15;0;0;0;0;0;6;56;15;0;0;0;0;0;0
;Orthopedische heelkunde;283.0;86;197;6;57;23;0;0;0;0;0;16;140;39;1;0;1;0;0;0
;Neurologie;168.0;107;61;12;79;15;1;0;0;0;0;8;40;13;0;0;0;0;0;0
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";130.0;110;20;8;78;21;2;1;0;0;0;3;15;1;1;0;0;0;0;0
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";259.0;149;110;10;96;32;6;2;2;1;0;5;83;18;1;1;2;0;0;0
;Pneumologie;75.0;43;32;0;25;18;0;0;0;0;0;0;19;13;0;0;0;0;0;0
;Gastro-enterologie;108.0;61;47;1;34;25;0;1;0;0;0;2;22;22;1;0;0;0;0;0
;Cardiologie;139.0;52;87;2;25;24;0;0;0;0;1;1;35;47;3;1;0;0;0;0
;Inwendige geneeskunde;817.0;452;365;57;360;29;3;2;1;0;0;56;270;34;4;1;0;0;0;0
;Reumatologie;23.0;19;4;0;14;5;0;0;0;0;0;0;2;2;0;0;0;0;0;0
;Acute geneeskunde;28.0;12;16;1;7;2;1;0;0;1;0;2;13;1;0;0;0;0;0;0
;Gynaecologie-verloskunde;342.0;304;38;32;222;47;3;0;0;0;0;6;23;8;1;0;0;0;0;0
;Oftalmologie;158.0;97;61;5;82;7;2;1;0;0;0;9;45;6;0;0;1;0;0;0
;Otorhinolaryngologie;124.0;85;39;10;62;12;0;1;0;0;0;4;28;7;0;0;0;0;0;0
;Stomatologie;73.0;23;50;1;20;2;0;0;0;0;0;4;39;7;0;0;0;0;0;0
;Dermato-venereologie;105.0;88;17;13;70;4;0;1;0;0;0;1;13;2;1;0;0;0;0;0
;Pediatrie;465.0;390;75;42;294;50;4;0;0;0;0;4;63;8;0;0;0;0;0;0
;Fysische geneeskunde en revalidatie;110.0;53;57;4;41;6;1;1;0;0;0;3;49;5;0;0;0;0;0;0
;Klinische biologie;71.0;31;40;2;20;6;3;0;0;0;0;5;23;11;0;1;0;0;0;0
;Rontgendiagnose;265.0;92;173;5;72;11;2;1;1;0;0;14;137;21;1;0;0;0;0;0
;Radiotherapie - oncologie;49.0;24;25;3;15;6;0;0;0;0;0;2;15;6;1;1;0;0;0;0
;Nucleaire geneeskunde;39.0;19;20;2;12;5;0;0;0;0;0;1;16;2;1;0;0;0;0;0
;Pathologische anatomie;66.0;41;25;2;33;6;0;0;0;0;0;2;18;3;1;1;0;0;0;0
;Medische oncologie;66.0;40;26;1;20;19;0;0;0;0;0;0;14;12;0;0;0;0;0;0
;Arbeidsgeneeskunde;69.0;45;24;0;11;9;11;5;7;2;0;0;3;6;4;4;1;1;3;2
Vlaams Gewest;Alle specialiteiten;3071.0;1715;1356;160;1196;306;33;9;8;3;0;118;936;267;21;6;6;0;2;0
;Geriatrie;40.0;31;9;1;18;12;0;0;0;0;0;0;3;4;1;0;1;0;0;0
;Urgentiegeneeskunde;196.0;100;96;9;62;24;5;0;0;0;0;5;57;28;4;0;2;0;0;0
;Gerechtelijke geneeskunde;6.0;4;2;1;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;Anesthesie-reanimatie;345.0;147;198;14;102;24;6;1;0;0;0;14;144;37;2;0;1;0;0;0
;Heelkunde;184.0;88;96;11;54;20;2;1;0;0;0;8;74;14;0;0;0;0;0;0
;Neurochirurgie;38.0;11;27;2;5;4;0;0;0;0;0;3;15;9;0;0;0;0;0;0
;"Plastische, reconstructieve en
esthetische heelkunde";36.0;14;22;0;11;3;0;0;0;0;0;1;10;9;2;0;0;0;0;0
;Urologie;91.0;40;51;5;26;9;0;0;0;0;0;5;37;9;0;0;0;0;0;0
;Orthopedische heelkunde;156.0;45;111;4;29;12;0;0;0;0;0;11;73;26;1;0;0;0;0;0
;Neurologie;95.0;65;30;6;47;11;1;0;0;0;0;4;22;4;0;0;0;0;0;0
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";70.0;61;9;4;45;11;1;0;0;0;0;1;7;0;1;0;0;0;0;0
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";144.0;83;61;9;53;17;3;0;1;0;0;4;45;9;1;1;1;0;0;0
;Pneumologie;32.0;18;14;0;10;8;0;0;0;0;0;0;8;6;0;0;0;0;0;0
;Gastro-enterologie;59.0;31;28;0;16;15;0;0;0;0;0;0;11;17;0;0;0;0;0;0
;Cardiologie;65.0;17;48;0;9;8;0;0;0;0;0;0;18;27;2;1;0;0;0;0
;Inwendige geneeskunde;448.0;251;197;37;193;17;2;1;1;0;0;32;144;19;1;1;0;0;0;0
;Reumatologie;10.0;8;2;0;4;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;Acute geneeskunde;24.0;11;13;1;6;2;1;0;0;1;0;2;10;1;0;0;0;0;0;0
;Gynaecologie-verloskunde;195.0;170;25;15;126;26;3;0;0;0;0;4;15;5;1;0;0;0;0;0
;Oftalmologie;84.0;53;31;4;45;3;1;0;0;0;0;4;23;3;0;0;1;0;0;0
;Otorhinolaryngologie;72.0;56;16;8;39;8;0;1;0;0;0;3;11;2;0;0;0;0;0;0
;Stomatologie;43.0;13;30;0;11;2;0;0;0;0;0;2;26;2;0;0;0;0;0;0
;Dermato-venereologie;56.0;48;8;6;39;2;0;1;0;0;0;1;4;2;1;0;0;0;0;0
;Pediatrie;210.0;182;28;17;136;26;3;0;0;0;0;2;20;6;0;0;0;0;0;0
;Fysische geneeskunde en revalidatie;61.0;26;35;2;22;1;0;1;0;0;0;2;31;2;0;0;0;0;0;0
;Klinische biologie;34.0;18;16;0;14;4;0;0;0;0;0;1;12;3;0;0;0;0;0;0
;Rontgendiagnose;133.0;38;95;1;29;6;0;1;1;0;0;7;78;9;1;0;0;0;0;0
;Radiotherapie - oncologie;27.0;15;12;1;10;4;0;0;0;0;0;1;8;2;0;1;0;0;0;0
;Nucleaire geneeskunde;20.0;12;8;1;8;3;0;0;0;0;0;0;7;0;1;0;0;0;0;0
;Pathologische anatomie;35.0;20;15;1;15;4;0;0;0;0;0;1;14;0;0;0;0;0;0;0
;Medische oncologie;33.0;20;13;0;8;12;0;0;0;0;0;0;4;9;0;0;0;0;0;0
;Arbeidsgeneeskunde;29.0;19;10;0;1;4;5;2;5;2;0;0;2;2;2;2;0;0;2;0
Waals Gewest;Alle specialiteiten;1624.0;929;695;89;687;126;15;5;6;0;1;69;490;112;10;4;5;2;1;2
;Geriatrie;50.0;38;12;6;23;7;0;1;1;0;0;1;9;2;0;0;0;0;0;0
;Urgentiegeneeskunde;148.0;73;75;3;55;11;1;0;3;0;0;3;53;13;3;0;2;1;0;0
;Anesthesie-reanimatie;189.0;76;113;2;63;9;2;0;0;0;0;10;75;24;3;0;1;0;0;0
;Heelkunde;109.0;59;50;3;46;10;0;0;0;0;0;7;34;8;0;1;0;0;0;0
;Neurochirurgie;17.0;7;10;1;5;1;0;0;0;0;0;1;6;3;0;0;0;0;0;0
;"Plastische, reconstructieve en
esthetische heelkunde";12.0;6;6;1;3;2;0;0;0;0;0;0;5;1;0;0;0;0;0;0
;Urologie;26.0;12;14;0;8;4;0;0;0;0;0;1;11;2;0;0;0;0;0;0
;Orthopedische heelkunde;76.0;29;47;2;22;5;0;0;0;0;0;3;41;2;0;0;1;0;0;0
;Neurologie;41.0;21;20;4;15;2;0;0;0;0;0;4;9;7;0;0;0;0;0;0
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";29.0;21;8;4;14;3;0;0;0;0;0;2;5;1;0;0;0;0;0;0
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";51.0;31;20;0;21;7;2;1;0;0;0;1;18;1;0;0;0;0;0;0
;Pneumologie;28.0;15;13;0;10;5;0;0;0;0;0;0;8;5;0;0;0;0;0;0
;Gastro-enterologie;31.0;20;11;1;13;5;0;1;0;0;0;2;8;1;0;0;0;0;0;0
