gebied;erkenning;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle verpleegkundigen;;196054;170052;26002;7203;15229;14478;15783;18232;17488;19639;21001;16112;24887;1007;2736;2645;2853;3162;2740;2855;3247;2532;2225
Vlaams Gewest;Alle verpleegkundigen;;128075;110527;17548;4942;9807;9176;10027;11654;11439;13104;13993;10486;15899;711;1689;1497;1695;1873;1755;2106;2418;1956;1848
Waals Gewest;Alle verpleegkundigen;;58119;51114;7005;1893;4352;4444;4982;5778;5313;5747;6150;4895;7560;238;812;879;920;1098;860;635;722;510;331
Brussels Hoofdstedelijk Gewest;Alle verpleegkundigen;;9860;8411;1449;368;1070;858;774;800;736;788;858;731;1428;58;235;269;238;191;125;114;107;66;46
Vlaams Brabant;Alle verpleegkundigen;;20932;17873;3059;753;1376;1318;1422;1798;1839;2334;2571;1890;2572;103;264;253;249;293;297;352;491;411;346
West-Vlaanderen;Alle verpleegkundigen;;28015;24382;3633;1186;2297;2225;2342;2601;2354;2558;2969;2350;3500;181;357;302;372;399;366;383;481;405;387
Oost-Vlaanderen;Alle verpleegkundigen;;30193;26064;4129;1131;2311;2038;2374;2771;2834;3089;3226;2431;3859;159;410;348;407;469;427;500;591;455;363
Antwerpen;Alle verpleegkundigen;;30257;26169;4088;1173;2324;2005;2269;2609;2717;3276;3545;2443;3808;153;361;339;397;418;408;526;590;468;428
Limburg;Alle verpleegkundigen;;18678;16039;2639;699;1499;1590;1620;1875;1695;1847;1682;1372;2160;115;297;255;270;294;257;345;265;217;324
Waals Brabant;Alle verpleegkundigen;;5853;5314;539;183;374;370;371;571;509;619;802;593;922;24;58;65;76;72;70;64;55;37;18
Henegouwen;Alle verpleegkundigen;;21185;18540;2645;622;1554;1577;1808;2138;2066;2193;2245;1761;2576;87;317;312;343;415;319;246;285;215;106
Luik;Alle verpleegkundigen;;18070;15780;2290;595;1503;1514;1677;1881;1590;1634;1671;1450;2265;58;240;298;317;359;290;202;223;174;129
Namen;Alle verpleegkundigen;;8877;7803;1074;350;624;689;741;784;770;851;954;753;1287;53;154;153;137;166;124;87;101;48;51
Luxemburg;Alle verpleegkundigen;;4134;3677;457;143;297;294;385;404;378;450;478;338;510;16;43;51;47;86;57;36;58;36;27
Brussels Hoofdstedelijk Gewest;Alle verpleegkundigen;;9860;8411;1449;368;1070;858;774;800;736;788;858;731;1428;58;235;269;238;191;125;114;107;66;46
België;Geen bijzondere erkenning (BE);;162567;143068;19499;6231;12127;11131;12158;14276;13929;16162;18024;14489;24541;860;2082;1900;2007;2185;1910;2039;2448;1974;2094
Vlaams Gewest;Geen bijzondere erkenning (BE);;107168;93817;13351;4401;8201;7246;7898;9197;9113;10797;11937;9360;15667;623;1354;1112;1205;1306;1237;1492;1785;1500;1737
Waals Gewest;Geen bijzondere erkenning (BE);;47314;42268;5046;1536;3129;3239;3691;4424;4235;4708;5364;4474;7468;192;556;589;626;737;573;457;579;422;315
