Gebied;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Man;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24
;;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
"Alle geestelijke
gezondheidszorgbeoefenaars";België;11824.0;10152;1672;444;2397;2046;1643;1395;903;567;414;249;94;26;184;227;220;242;189;159;194;139;92
;Vlaams Gewest;7942.0;6890;1052;395;1733;1450;1112;913;519;359;245;128;36;22;128;141;133;156;113;91;127;85;56
;Waals Gewest;2842.0;2396;446;38;462;424;402;392;296;147;120;81;34;4;36;63;67;63;54;48;50;36;25
;"Brussels
Hoofdstedelijk Gewest";1040.0;866;174;11;202;172;129;90;88;61;49;40;24;0;20;23;20;23;22;20;17;18;11
;Vlaams Brabant;1756.0;1534;222;74;375;266;225;227;142;99;72;40;14;1;22;28;26;34;28;19;32;19;13
;West-Vlaanderen;1058.0;908;150;67;234;189;154;112;61;44;30;13;4;6;16;18;16;26;13;9;23;13;10
;Oost-Vlaanderen;2233.0;1897;336;127;461;369;300;272;150;104;66;39;9;6;39;46;45;50;46;30;32;28;14
;Antwerpen;1972.0;1718;254;86;436;427;275;213;111;87;52;23;8;3;40;33;38;36;17;27;29;19;12
;Limburg;923.0;833;90;41;227;199;158;89;55;25;25;13;1;6;11;16;8;10;9;6;11;6;7
;Waals Brabant;590.0;505;85;3;77;85;84;68;91;35;27;28;7;2;3;14;12;13;13;10;7;6;5
;Henegouwen;690.0;578;112;15;110;103;83;103;71;45;25;14;9;0;10;13;19;16;15;8;12;6;13
;Luik;1003.0;845;158;13;189;146;155;135;76;48;46;27;10;1;15;24;24;22;16;18;20;15;3
;Namen;404.0;336;68;6;55;71;62;61;34;16;14;9;8;1;5;10;10;8;6;10;8;7;3
;Luxemburg;155.0;132;23;1;31;19;18;25;24;3;8;3;0;0;3;2;2;4;4;2;3;2;1
;"Brussels
Hoofdstedelijk Gewest";1040.0;866;174;11;202;172;129;90;88;61;49;40;24;0;20;23;20;23;22;20;17;18;11
Klinisch psycholoog;België;10785.0;9197;1588;367;2135;1835;1512;1272;841;530;387;227;91;19;172;214;213;228;184;153;185;133;87
;Vlaams Gewest;6922.0;5954;968;320;1479;1240;983;792;459;323;219;106;33;15;116;128;126;142;108;85;118;79;51
;Waals Gewest;2833.0;2387;446;36;459;424;402;392;294;146;119;81;34;4;36;63;67;63;54;48;50;36;25
;"Brussels
Hoofdstedelijk Gewest";1030.0;856;174;11;197;171;127;88;88;61;49;40;24;0;20;23;20;23;22;20;17;18;11
;Vlaams Brabant;1554.0;1348;206;68;329;224;202;199;130;85;63;34;14;0;20;26;24;32;27;19;29;17;12
;West-Vlaanderen;900.0;765;135;52;196;157;135;91;53;40;27;11;3;4;14;16;15;23;12;9;21;13;8
;Oost-Vlaanderen;1955.0;1649;306;98;398;306;269;244;131;98;61;36;8;3;36;39;43;45;43;28;30;27;12
;Antwerpen;1737.0;1499;238;69;370;384;240;184;99;78;49;19;7;2;37;32;37;32;17;25;28;16;12
;Limburg;776.0;693;83;33;186;169;137;74;46;22;19;6;1;6;9;15;7;10;9;4;10;6;7
;Waals Brabant;586.0;501;85;3;76;85;84;68;90;34;26;28;7;2;3;14;12;13;13;10;7;6;5
;Henegouwen;687.0;575;112;13;109;103;83;103;71;45;25;14;9;0;10;13;19;16;15;8;12;6;13
;Luik;1001.0;843;158;13;188;146;155;135;75;48;46;27;10;1;15;24;24;22;16;18;20;15;3
;Namen;404.0;336;68;6;55;71;62;61;34;16;14;9;8;1;5;10;10;8;6;10;8;7;3
;Luxemburg;155.0;132;23;1;31;19;18;25;24;3;8;3;0;0;3;2;2;4;4;2;3;2;1
;"Brussels
Hoofdstedelijk Gewest";1030.0;856;174;11;197;171;127;88;88;61;49;40;24;0;20;23;20;23;22;20;17;18;11
Klinisch orthopedagoog;België;1039.0;955;84;77;262;211;131;123;62;37;27;22;3;7;12;13;7;14;5;6;9;6;5
;Vlaams Gewest;1020.0;936;84;75;254;210;129;121;60;36;26;22;3;7;12;13;7;14;5;6;9;6;5
;Waals Gewest;9.0;9;0;2;3;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;"Brussels
Hoofdstedelijk Gewest";10.0;10;0;0;5;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
