Gebied;Specialiteit;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;ALLE SPECIALITEITEN;9420;4607;4813;46;449;483;305;461;477;534;689;680;483;8;265;224;214;245;225;411;940;1027;1254
Gewest Vlaanderen;ALLE SPECIALITEITEN;5534;2733;2801;33;266;284;170;279;304;330;413;421;233;3;141;124;92;143;103;208;550;682;755
Gewest Wallonië;ALLE SPECIALITEITEN;2714;1310;1404;12;97;122;92;132;128;136;221;200;170;1;60;50;75;62;77;135;299;274;371
Gewest Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;1172;564;608;1;86;77;43;50;45;68;55;59;80;4;64;50;47;40;45;68;91;71;128
Prov Vlaams Brabant;ALLE SPECIALITEITEN;1250;685;565;5;49;55;52;71;89;93;111;104;56;0;30;31;14;36;36;50;116;130;122
Prov West-Vlaanderen;ALLE SPECIALITEITEN;1021;465;556;7;44;55;24;60;49;38;79;62;47;2;19;12;17;19;13;24;104;154;192
Prov Oost-Vlaanderen;ALLE SPECIALITEITEN;1204;598;606;8;83;53;35;58;68;66;65;99;63;0;44;32;17;36;18;52;103;143;161
Prov Antwerpen;ALLE SPECIALITEITEN;1361;657;704;9;58;85;36;50;64;97;105;102;51;0;29;33;28;35;30;61;156;156;176
Prov Limburg;ALLE SPECIALITEITEN;698;328;370;4;32;36;23;40;34;36;53;54;16;1;19;16;16;17;6;21;71;99;104
Prov Waals Brabant;ALLE SPECIALITEITEN;560;306;254;3;12;18;24;29;37;32;46;57;48;0;13;10;16;14;16;24;39;45;77
Prov Henegouwen;ALLE SPECIALITEITEN;687;318;369;3;20;25;23;35;36;29;63;51;33;0;14;14;18;12;22;38;68;88;95
Prov Luik;ALLE SPECIALITEITEN;968;441;527;5;38;59;37;46;29;44;77;55;51;0;28;20;30;22;24;46;131;95;131
Prov Namen;ALLE SPECIALITEITEN;332;167;165;1;16;17;5;14;20;23;21;22;28;1;4;2;9;8;9;18;32;34;48
Prov Luxemburg;ALLE SPECIALITEITEN;167;78;89;0;11;3;3;8;6;8;14;15;10;0;1;4;2;6;6;9;29;12;20
Prov Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;1172;564;608;1;86;77;43;50;45;68;55;59;80;4;64;50;47;40;45;68;91;71;128
België;ALGEMENE TANDHEELKUNDE;8736;4160;4576;46;412;430;261;410;418;458;646;623;456;8;248;200;191;218;210;386;900;986;1229
België;PARODONTOLOGIE;188;106;82;0;15;14;14;20;18;18;3;3;1;0;11;15;8;12;7;13;7;7;2
België;ORTHODONTIE;496;341;155;0;22;39;30;31;41;58;40;54;26;0;6;9;15;15;8;12;33;34;23
Gewest Vlaanderen;ALGEMENE TANDHEELKUNDE;5104;2447;2657;33;240;249;146;248;270;278;385;377;221;3;131;109;77;130;91;196;525;653;742
Gewest Vlaanderen;PARODONTOLOGIE;137;82;55;0;14;9;7;15;15;15;3;3;1;0;7;12;5;7;6;6;6;5;1
Gewest Vlaanderen;ORTHODONTIE;293;204;89;0;12;26;17;16;19;37;25;41;11;0;3;3;10;6;6;6;19;24;12
Gewest Wallonië;ALGEMENE TANDHEELKUNDE;2537;1192;1345;12;91;109;77;119;107;122;209;190;156;1;57;45;70;57;75;124;289;263;364
Gewest Wallonië;PARODONTOLOGIE;33;17;16;0;1;3;5;3;3;2;0;0;0;0;1;2;3;2;1;5;0;2;0
Gewest Wallonië;ORTHODONTIE;144;101;43;0;5;10;10;10;18;12;12;10;14;0;2;3;2;3;1;6;10;9;7
Gewest Brussels hoofdstedelijk gewest;ALGEMENE TANDHEELKUNDE;1095;521;574;1;81;72;38;43;41;58;52;56;79;4;60;46;44;31;44;66;86;70;123
Gewest Brussels hoofdstedelijk gewest;PARODONTOLOGIE;18;7;11;0;0;2;2;2;0;1;0;0;0;0;3;1;0;3;0;2;1;0;1
Gewest Brussels hoofdstedelijk gewest;ORTHODONTIE;59;36;23;0;5;3;3;5;4;9;3;3;1;0;1;3;3;6;1;0;4;1;4
Prov Vlaams Brabant;ALGEMENE TANDHEELKUNDE;1138;608;530;5;46;49;46;63;76;80;103;89;51;0;30;28;12;31;33;46;110;121;119
Prov Vlaams Brabant;PARODONTOLOGIE;35;20;15;0;2;1;1;4;5;3;1;3;0;0;0;2;1;2;3;3;1;2;1
Prov Vlaams Brabant;ORTHODONTIE;77;57;20;0;1;5;5;4;8;10;7;12;5;0;0;1;1;3;0;1;5;7;2
Prov West-Vlaanderen;ALGEMENE TANDHEELKUNDE;962;427;535;7;39;50;21;53;46;34;73;58;46;2;18;9;17;16;9;23;100;152;189
Prov West-Vlaanderen;PARODONTOLOGIE;22;16;6;0;3;3;0;5;2;2;1;0;0;0;1;2;0;1;0;1;1;0;0
Prov West-Vlaanderen;ORTHODONTIE;37;22;15;0;2;2;3;2;1;2;5;4;1;0;0;1;0;2;4;0;3;2;3
Prov Oost-Vlaanderen;ALGEMENE TANDHEELKUNDE;1095;528;567;8;74;42;28;52;56;56;61;91;60;0;39;25;13;33;15;47;96;141;158
Prov Oost-Vlaanderen;PARODONTOLOGIE;37;21;16;0;4;4;2;1;7;3;0;0;0;0;3;6;1;2;2;2;0;0;0
Prov Oost-Vlaanderen;ORTHODONTIE;72;49;23;0;5;7;5;5;5;7;4;8;3;0;2;1;3;1;1;3;7;2;3
Prov Antwerpen;ALGEMENE TANDHEELKUNDE;1255;585;670;9;50;75;30;42;59;79;99;93;49;0;27;31;22;33;29;59;149;147;173
Prov Antwerpen;PARODONTOLOGIE;32;18;14;0;4;1;4;3;1;4;0;0;1;0;2;2;2;2;0;0;3;3;0
Prov Antwerpen;ORTHODONTIE;74;54;20;0;4;9;2;5;4;14;6;9;1;0;0;0;4;0;1;2;4;6;3
Prov Limburg;ALGEMENE TANDHEELKUNDE;654;299;355;4;31;33;21;38;33;29;49;46;15;1;17;16;13;17;5;21;70;92;103
Prov Limburg;PARODONTOLOGIE;11;7;4;0;1;0;0;2;0;3;1;0;0;0;1;0;1;0;1;0;1;0;0
Prov Limburg;ORTHODONTIE;33;22;11;0;0;3;2;0;1;4;3;8;1;0;1;0;2;0;0;0;0;7;1
Prov Waals Brabant;ALGEMENE TANDHEELKUNDE;512;275;237;3;10;17;22;25;28;28;44;55;43;0;11;10;14;13;16;21;37;41;74
Prov Waals Brabant;PARODONTOLOGIE;9;2;7;0;0;0;1;0;1;0;0;0;0;0;1;0;2;0;0;2;0;2;0
Prov Waals Brabant;ORTHODONTIE;39;29;10;0;2;1;1;4;8;4;2;2;5;0;1;0;0;1;0;1;2;2;3
Prov Henegouwen;ALGEMENE TANDHEELKUNDE;657;298;359;3;19;25;21;31;32;28;60;48;31;0;14;14;18;12;22;35;65;85;94
Prov Henegouwen;PARODONTOLOGIE;4;3;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Prov Henegouwen;ORTHODONTIE;26;17;9;0;0;0;2;3;3;1;3;3;2;0;0;0;0;0;0;2;3;3;1
Prov Luik;ALGEMENE TANDHEELKUNDE;895;392;503;5;35;49;28;42;25;39;73;51;45;0;27;17;27;20;22;43;127;91;129
Prov Luik;PARODONTOLOGIE;16;10;6;0;0;3;4;1;1;1;0;0;0;0;0;2;1;1;1;1;0;0;0
Prov Luik;ORTHODONTIE;57;39;18;0;3;7;5;3;3;4;4;4;6;0;1;1;2;1;1;2;4;4;2
Prov Namen;ALGEMENE TANDHEELKUNDE;317;155;162;1;16;16;4;13;16;20;20;21;28;1;4;2;9;7;9;17;32;34;47
Prov Namen;PARODONTOLOGIE;4;2;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
Prov Namen;ORTHODONTIE;11;10;1;0;0;1;1;0;4;2;1;1;0;0;0;0;0;0;0;0;0;0;1
Prov Luxemburg;ALGEMENE TANDHEELKUNDE;156;72;84;0;11;2;2;8;6;7;12;15;9;0;1;2;2;5;6;8;28;12;20
Prov Luxemburg;ORTHODONTIE;11;6;5;0;0;1;1;0;0;1;2;0;1;0;0;2;0;1;0;1;1;0;0
Prov Brussels hoofdstedelijk gewest;ALGEMENE TANDHEELKUNDE;1095;521;574;1;81;72;38;43;41;58;52;56;79;4;60;46;44;31;44;66;86;70;123
Prov Brussels hoofdstedelijk gewest;PARODONTOLOGIE;18;7;11;0;0;2;2;2;0;1;0;0;0;0;3;1;0;3;0;2;1;0;1
Prov Brussels hoofdstedelijk gewest;ORTHODONTIE;59;36;23;0;5;3;3;5;4;9;3;3;1;0;1;3;3;6;1;0;4;1;4
