territoire;spécialité;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);34713;20648;14065;1230;3385;1889;2179;2499;2140;2026;2014;1563;1723;651;1970;1055;1057;1657;1254;1267;1504;1480;2170
Région Flandre;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);19130;11756;7374;632;1745;1040;1341;1647;1355;1121;1142;900;833;271;857;440;583;915;668;669;840;874;1257
Région Wallonie;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);12325;7016;5309;489;1215;569;711;736;686;757;709;510;634;308;782;365;355;643;516;522;562;492;764
Région Région de Bruxelles-capitale;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);3258;1876;1382;109;425;280;127;116;99;148;163;153;256;72;331;250;119;99;70;76;102;114;149
Prov Brabant flamand;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);4148;2631;1517;160;413;246;281;328;291;276;242;206;188;55;199;115;133;185;138;136;153;179;224
Prov Flandre occidentale;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);3631;2087;1544;123;282;131;239;329;234;201;216;170;162;49;113;63;132;195;146;138;223;173;312
Prov Flandre orientale;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);4365;2795;1570;129;383;252;361;420;317;245;256;222;210;66;157;76;115;205;133;182;170;195;271
Prov Anvers;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);4643;2871;1772;151;436;278;310;367;345;293;303;205;183;65;238;124;114;209;164;143;203;208;304
Prov Limbourg;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);2343;1372;971;69;231;133;150;203;168;106;125;97;90;36;150;62;89;121;87;70;91;119;146
Prov Brabant wallon;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);2182;1391;791;81;238;106;120;152;112;150;172;106;154;57;136;67;43;105;67;74;95;62;85
Prov Hainaut;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);3734;1908;1826;117;301;135;188;200;209;217;197;139;205;107;230;98;112;217;176;167;192;179;348
Prov Liège;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);3580;2074;1506;164;351;173;228;211;201;220;201;168;157;73;230;108;114;173;161;157;166;151;173
Prov Namur;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);1739;982;757;73;169;80;99;92;104;107;104;62;92;34;107;46;48;102;72;87;73;73;115
Prov Luxembourg;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);1090;661;429;54;156;75;76;81;60;63;35;35;26;37;79;46;38;46;40;37;36;27;43
Prov Région de Bruxelles-capitale;TOUS LES KINESITHERAPEUTES (NOMBRE DE PERSONNES);3258;1876;1382;109;425;280;127;116;99;148;163;153;256;72;331;250;119;99;70;76;102;114;149
Belgique;SANS AGREMENT;32461;19052;13409;1230;2968;1567;1943;2302;1967;1909;1922;1524;1720;651;1863;959;966;1550;1186;1201;1442;1439;2152
Belgique;KINESITHERAPIE CARDIOVASCULAIRE;62;37;25;0;8;4;3;7;6;6;3;0;0;0;1;3;2;4;3;3;6;3;0
Belgique;THERAPIE MANUELLE;1084;586;498;0;213;153;74;61;37;24;14;9;1;0;91;83;72;77;47;45;43;27;13
Belgique;KINESITHERAPIE NEUROLOGIQUE;220;168;52;0;51;28;27;13;20;17;8;3;1;0;7;8;6;10;9;5;3;3;1
Belgique;KINESITHERAPIE PEDIATRIQUE;522;474;48;0;109;101;77;65;46;33;29;14;0;0;5;1;7;8;6;7;3;10;1
Belgique;REEDUCATION ABDOMINO-PELVIENNE ET KINESITHERAPIE PERINATALE;341;333;8;0;31;40;57;56;61;40;34;12;2;0;0;0;0;1;1;2;2;0;2
Belgique;KINESITHERAPIE RESPIRATOIRE;232;171;61;0;40;27;25;19;26;15;13;6;0;0;3;2;11;12;5;9;11;7;1
Région Flandre;SANS AGREMENT;16917;10189;6728;632;1335;723;1109;1455;1187;1006;1051;861;830;271;752;344;493;810;603;604;778;834;1239
