Territoire;Specialite;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUTES SPECIALITES;3615;1234;2381;0;0;110;236;266;193;140;121;100;68;0;0;63;190;259;302;326;332;330;579
Région Flandre;TOUTES SPECIALITES;2069;707;1362;0;0;81;143;186;116;70;51;42;18;0;0;42;128;171;178;181;173;194;295
Région Wallonie;TOUTES SPECIALITES;1130;352;778;0;0;17;66;60;57;46;43;39;24;0;0;14;43;69;102;115;126;98;211
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;416;175;241;0;0;12;27;20;20;24;27;19;26;0;0;7;19;19;22;30;33;38;73
Prov Brabant flamand;TOUTES SPECIALITES;513;198;315;0;0;21;41;50;25;20;22;13;6;0;0;11;26;35;39;42;40;43;79
Prov Flandre occidentale;TOUTES SPECIALITES;399;107;292;0;0;15;22;27;23;6;4;8;2;0;0;8;21;37;39;35;28;36;88
Prov Flandre orientale;TOUTES SPECIALITES;451;160;291;0;0;21;30;40;29;19;4;12;5;0;0;8;24;44;47;40;35;40;53
Prov Anvers;TOUTES SPECIALITES;490;184;306;0;0;17;37;52;28;19;20;8;3;0;0;7;28;37;40;43;49;48;54
Prov Limbourg;TOUTES SPECIALITES;216;58;158;0;0;7;13;17;11;6;1;1;2;0;0;8;29;18;13;21;21;27;21
Prov Brabant wallon;TOUTES SPECIALITES;245;75;170;0;0;3;10;9;14;12;14;7;6;0;0;2;9;16;20;25;24;25;49
Prov Hainaut;TOUTES SPECIALITES;294;79;215;0;0;1;23;14;6;12;6;8;9;0;0;2;5;12;36;33;42;20;65
Prov Liège;TOUTES SPECIALITES;375;129;246;0;0;8;18;25;24;11;17;18;8;0;0;4;19;25;28;36;38;36;60
Prov Namur;TOUTES SPECIALITES;161;51;110;0;0;4;11;11;7;8;5;4;1;0;0;5;7;14;14;15;16;12;27
Prov Luxembourg;TOUTES SPECIALITES;55;18;37;0;0;1;4;1;6;3;1;2;0;0;0;1;3;2;4;6;6;5;10
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;416;175;241;0;0;12;27;20;20;24;27;19;26;0;0;7;19;19;22;30;33;38;73
Belgique;MEDECINE NUCLEAIRE IN VITRO;219;83;136;0;0;0;2;9;14;25;16;11;6;0;0;0;0;5;15;20;26;31;39
Belgique;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;946;310;636;0;0;1;43;57;50;37;34;47;41;0;0;2;25;30;47;48;74;125;285
Belgique;GERIATRIE;172;54;118;0;0;9;9;14;6;7;5;0;4;0;0;2;3;6;5;10;16;14;62
Belgique;CHIRURGIE ORALE ET MAXILLO-FACIALE;169;38;131;0;0;10;7;12;2;3;4;0;0;0;0;9;21;20;19;21;13;13;15
Belgique;SOINS INTENSIFS;719;203;516;0;0;23;51;60;38;16;7;4;4;0;0;22;58;84;91;106;73;48;34
Belgique;NEUROLOGIE PEDIATRIQUE;83;56;27;0;0;6;8;15;4;5;6;7;5;0;0;0;2;5;1;2;5;5;7
Belgique;NEPHROLOGIE;299;108;191;0;0;27;26;22;10;7;9;4;3;0;0;14;21;23;27;24;18;24;40
Belgique;MEDECINE D'URGENCE;425;106;319;0;0;7;23;27;20;9;11;8;1;0;0;7;29;57;60;47;57;26;36
Belgique;ENDOCRINO-DIABETOLOGIE;282;139;143;0;0;13;36;28;26;12;12;10;2;0;0;1;17;15;13;16;19;18;44
Belgique;NEONATOLOGIE;69;51;18;0;0;7;12;9;11;5;6;1;0;0;0;2;3;5;1;3;2;1;1
Belgique;HEMATOLOGIE CLINIQUE;126;55;71;0;0;7;18;10;9;4;4;1;2;0;0;3;11;8;13;13;9;7;7
Belgique;GESTION DE DONNEES DE SANTE;106;31;75;0;0;0;1;3;3;10;7;7;0;0;0;1;0;1;10;16;20;18;9
Région Flandre;MEDECINE NUCLEAIRE IN VITRO;117;38;79;0;0;0;2;7;9;11;4;4;1;0;0;0;0;5;12;11;17;15;19
Région Flandre;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;547;181;366;0;0;1;32;42;37;19;14;21;15;0;0;2;20;24;32;24;40;81;143
