gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;134;123;11;3;10;20;6;20;18;23;8;6;9;2;1;1;2;3;1;1;0;0;0
Gewest Vlaanderen;98;93;5;1;4;16;5;17;14;19;6;6;5;0;0;0;2;2;1;0;0;0;0
Gewest Wallonië;21;19;2;0;4;3;1;3;2;1;2;0;3;1;0;0;0;0;0;1;0;0;0
Gewest Brussels hoofdstedelijk gewest;15;11;4;2;2;1;0;0;2;3;0;0;1;1;1;1;0;1;0;0;0;0;0
Prov Vlaams Brabant;13;13;0;0;0;2;0;3;1;3;0;2;2;0;0;0;0;0;0;0;0;0;0
Prov West-Vlaanderen;24;22;2;0;1;1;0;5;3;8;2;1;1;0;0;0;2;0;0;0;0;0;0
Prov Oost-Vlaanderen;33;32;1;0;2;7;5;6;4;5;1;1;1;0;0;0;0;0;1;0;0;0;0
Prov Antwerpen;22;21;1;1;1;5;0;3;5;2;3;1;0;0;0;0;0;1;0;0;0;0;0
Prov Limburg;6;5;1;0;0;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0
Prov Waals Brabant;3;3;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Henegouwen;6;6;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Prov Luik;7;7;0;0;0;2;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0
Prov Namen;2;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Prov Luxemburg;3;1;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0
Prov Brussels hoofdstedelijk gewest;15;11;4;2;2;1;0;0;2;3;0;0;1;1;1;1;0;1;0;0;0;0;0
