Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Man;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22
;;;Vrouw;Man;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65+
België;Alle specialiteiten;29560.0;12691;16869;35;1681;1713;1906;1918;1543;1255;949;1691;13;1063;1070;1427;1627;1587;2116;2079;5887
;Geriatrie;368.0;238;130;0;47;34;41;49;27;18;11;11;0;6;11;9;11;10;15;26;42
;Urgentiegeneeskunde;254.0;123;131;0;45;49;12;8;6;3;0;0;0;39;35;20;18;9;5;4;1
;Gerechtelijke geneeskunde;16.0;5;11;0;3;0;1;1;0;0;0;0;0;0;4;3;0;0;1;1;2
;Beheer van gezondheidsgegevens;58.0;22;36;0;0;0;0;1;6;8;6;1;0;0;0;1;4;5;8;12;6
;Anesthesie-reanimatie;2723.0;1127;1596;3;173;155;155;177;137;97;65;165;2;177;146;183;198;196;201;176;317
;Heelkunde;1801.0;386;1415;0;63;68;64;66;35;27;33;30;0;69;102;120;135;135;159;169;526
;Neurochirurgie;250.0;32;218;0;8;7;1;7;5;3;1;0;0;19;24;29;32;20;19;25;50
;"Plastische, reconstructieve en
esthetische heelkunde";286.0;73;213;0;9;16;8;10;5;9;10;6;0;11;20;29;23;28;34;16;52
;Urologie;512.0;76;436;0;18;15;17;7;10;4;5;0;0;40;44;37;57;32;51;41;134
;Orthopedische heelkunde;1276.0;144;1132;0;31;27;15;21;18;15;7;10;0;81;100;125;113;119;158;139;297
;Neurologie;659.0;325;334;0;50;66;59;41;47;23;19;20;1;31;22;37;44;37;49;42;71
;Psychiatrie;951.0;433;518;0;1;10;16;72;110;91;48;85;0;0;5;10;57;71;80;64;231
;Neuropsychiatrie;221.0;52;169;0;0;0;0;0;0;4;7;41;0;0;0;0;0;0;2;11;156
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";388.0;307;81;0;42;71;73;59;17;13;6;26;0;11;8;15;11;4;7;8;17
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";832.0;412;420;0;59;82;100;69;18;14;24;46;0;30;26;63;51;12;17;54;167
;Pneumologie;649.0;278;371;0;39;53;68;48;24;17;9;20;0;27;20;34;34;35;54;66;101
;Gastro-enterologie;808.0;282;526;0;50;65;49;42;24;19;11;22;0;32;30;59;54;57;77;68;149
;Cardiologie;1315.0;316;999;0;38;62;56;49;40;25;24;22;0;63;79;118;115;111;132;104;277
;Inwendige geneeskunde;1950.0;772;1178;1;116;132;164;119;79;51;48;62;1;57;63;70;124;106;145;107;505
;Reumatologie;284.0;132;152;0;11;19;16;22;18;15;8;23;0;5;7;9;7;11;21;18;74
;Acute geneeskunde;312.0;137;175;2;9;12;19;39;27;10;14;5;0;5;11;17;35;44;30;17;16
;Gynaecologie-verloskunde;1767.0;979;788;0;191;141;152;133;119;85;73;85;0;24;28;45;62;68;95;108;358
;Oftalmologie;1313.0;806;507;12;96;83;100;93;80;85;70;187;8;34;26;39;44;43;57;56;200
;Otorhinolaryngologie;774.0;344;430;2;49;50;50;43;54;36;22;38;0;23;20;25;38;33;60;67;164
;Stomatologie;386.0;101;285;0;17;10;19;17;10;5;10;13;0;28;22;29;26;27;29;31;93
;Dermato-venereologie;901.0;650;251;14;83;59;87;87;86;65;44;125;1;10;15;12;19;17;35;30;112
;Pediatrie;2016.0;1348;668;1;201;177;213;192;151;134;69;210;0;36;32;45;41;59;43;73;339
;Fysische geneeskunde en revalidatie;615.0;289;326;0;44;25;44;40;42;38;24;32;0;24;24;21;24;21;43;43;126
;Klinische biologie;725.0;354;371;0;21;23;36;41;35;37;43;118;0;9;15;16;15;26;39;52;199
;Rontgendiagnose;1923.0;582;1341;0;76;81;78;72;91;75;41;68;0;111;92;107;101;132;211;179;408
;Radiotherapie - oncologie;254.0;144;110;0;17;20;21;26;18;17;11;14;0;11;11;17;12;11;11;20;17
;Nucleaire geneeskunde;355.0;128;227;0;11;17;18;13;19;26;8;16;0;15;10;11;20;16;25;19;111
;Pathologische anatomie;417.0;229;188;0;24;27;29;35;31;27;20;36;0;15;6;20;18;10;22;25;72
;Medische oncologie;304.0;171;133;0;30;36;24;28;22;12;8;11;0;15;7;9;22;23;20;12;25
;Klinische genetica;73.0;45;28;0;0;4;8;14;6;5;3;5;0;0;2;6;6;5;4;3;2
;Arbeidsgeneeskunde;1186.0;652;534;0;9;15;88;154;89;111;92;94;0;5;3;34;43;28;83;89;249
;"Verzekeringsgeneeskunde en
medische expertise";638.0;197;441;0;0;2;5;23;37;31;55;44;0;0;0;3;13;26;74;104;221
Vlaams Gewest;Alle specialiteiten;16132.0;6777;9355;19;987;919;1101;1108;863;677;437;666;3;646;605;859;951;878;1221;1165;3027
;Geriatrie;220.0;130;90;0;26;15;19;30;16;9;8;7;0;5;8;5;6;7;12;17;30
;Urgentiegeneeskunde;119.0;67;52;0;26;26;6;5;3;1;0;0;0;26;11;6;6;1;1;1;0
;Gerechtelijke geneeskunde;6.0;2;4;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1
;Beheer van gezondheidsgegevens;26.0;9;17;0;0;0;0;1;0;5;2;1;0;0;0;0;3;3;1;7;3
;Anesthesie-reanimatie;1572.0;654;918;1;115;85;95;98;91;63;38;68;2;113;77;106;113;114;117;99;177
;Heelkunde;1002.0;214;788;0;41;38;44;38;17;10;11;15;0;42;67;73;84;80;85;94;263
;Neurochirurgie;160.0;18;142;0;5;3;0;5;4;1;0;0;0;10;17;24;20;14;11;14;32
;"Plastische, reconstructieve en
esthetische heelkunde";167.0;40;127;0;4;10;2;6;3;4;7;4;0;5;8;18;14;17;23;9;33
;Urologie;315.0;49;266;0;14;12;8;4;7;2;2;0;0;24;28;23;38;19;35;27;72
;Orthopedische heelkunde;755.0;81;674;0;21;14;9;10;13;8;2;4;0;54;55;87;71;71;98;86;152
;Neurologie;357.0;176;181;0;35;40;30;18;27;9;8;9;0;17;12;21;26;13;26;24;42
;Psychiatrie;267.0;138;129;0;0;0;2;28;58;38;5;7;0;0;0;3;24;42;35;10;15
;Neuropsychiatrie;122.0;26;96;0;0;0;0;0;0;3;6;17;0;0;0;0;0;0;0;9;87
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";262.0;217;45;0;30;40;57;44;11;11;5;19;0;3;5;6;8;1;6;4;12
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";582.0;258;324;0;33;51;68;35;7;8;18;38;0;20;12;31;36;2;13;50;160
;Pneumologie;352.0;154;198;0;24;32;42;25;12;11;4;4;0;18;13;16;18;17;29;38;49
;Gastro-enterologie;438.0;155;283;0;31;39;30;26;13;6;5;5;0;22;20;35;30;29;43;38;66
;Cardiologie;676.0;129;547;0;15;29;23;26;17;9;3;7;0;38;51;77;67;67;66;56;125
;Inwendige geneeskunde;943.0;375;568;1;58;70;76;64;32;27;29;18;0;29;30;30;57;49;61;38;274
;Reumatologie;145.0;65;80;0;8;9;9;10;10;7;5;7;0;2;6;7;5;5;8;9;38
;Acute geneeskunde;140.0;57;83;1;7;7;12;14;8;3;4;1;0;4;8;14;18;21;8;7;3
;Gynaecologie-verloskunde;875.0;471;404;0;105;60;88;73;63;37;25;20;0;11;13;23;30;34;58;54;181
;Oftalmologie;759.0;478;281;8;56;45;60;65;54;55;41;94;1;12;13;21;21;21;36;31;125
;Otorhinolaryngologie;416.0;182;234;1;29;30;27;21;27;20;11;16;0;12;15;16;26;16;28;43;78
;Stomatologie;231.0;57;174;0;11;9;9;13;5;2;5;3;0;19;15;25;18;17;22;19;39
;Dermato-venereologie;498.0;363;135;6;48;33;55;57;50;33;23;58;0;7;9;6;13;9;19;17;55
;Pediatrie;999.0;666;333;1;102;85;103;106;87;73;30;79;0;21;12;23;20;30;24;45;158
;Fysische geneeskunde en revalidatie;373.0;165;208;0;26;13;26;23;24;25;17;11;0;19;16;11;19;14;31;20;78
;Klinische biologie;380.0;174;206;0;9;16;25;29;21;20;15;39;0;7;9;11;12;22;24;30;91
;Rontgendiagnose;1067.0;298;769;0;44;42;40;49;45;36;14;28;0;70;51;70;66;73;138;105;196
;Radiotherapie - oncologie;157.0;87;70;0;13;9;19;17;14;10;3;2;0;7;7;12;5;6;10;15;8
;Nucleaire geneeskunde;179.0;62;117;0;8;11;10;7;13;7;2;4;0;9;5;7;11;11;15;9;50
;Pathologische anatomie;261.0;132;129;0;14;17;23;21;18;15;12;12;0;7;4;16;16;7;13;15;51
;Medische oncologie;147.0;89;58;0;19;14;17;16;9;8;4;2;0;9;3;4;11;11;9;3;8
;Klinische genetica;46.0;27;19;0;0;1;5;9;2;5;3;2;0;0;2;3;3;5;2;3;1
;Arbeidsgeneeskunde;776.0;408;368;0;8;12;59;99;58;74;48;50;0;4;2;28;30;15;67;63;159
;"Verzekeringsgeneeskunde en
medische expertise";342.0;104;238;0;0;2;3;16;24;22;22;15;0;0;0;1;6;15;46;55;115
Waals Gewest;Alle specialiteiten;9527.0;4011;5516;9;428;528;536;621;491;405;340;653;5;257;324;404;511;543;695;687;2090
;Geriatrie;115.0;85;30;0;18;13;15;17;9;8;1;4;0;1;2;3;4;2;2;6;10
;Urgentiegeneeskunde;89.0;32;57;0;11;14;3;2;2;0;0;0;0;9;17;8;11;6;3;2;1
;Gerechtelijke geneeskunde;8.0;2;6;0;0;0;1;1;0;0;0;0;0;0;2;3;0;0;0;0;1
;Beheer van gezondheidsgegevens;21.0;7;14;0;0;0;0;0;2;3;2;0;0;0;0;0;1;2;5;3;3
;Anesthesie-reanimatie;866.0;330;536;2;31;52;44;65;32;25;13;66;0;41;49;62;69;60;72;66;117
;Heelkunde;589.0;117;472;0;13;21;13;21;15;13;14;7;0;13;23;37;40;38;61;63;197
;Neurochirurgie;68.0;11;57;0;2;3;1;1;1;2;1;0;0;8;4;4;9;5;8;7;12
;"Plastische, reconstructieve en
esthetische heelkunde";80.0;23;57;0;3;4;3;4;2;4;2;1;0;5;10;8;3;9;10;3;9
;Urologie;150.0;22;128;0;3;2;7;2;3;2;3;0;0;9;13;11;16;12;11;11;45
;Orthopedische heelkunde;400.0;42;358;0;6;9;5;10;1;4;4;3;0;15;37;28;33;42;49;44;110
;Neurologie;216.0;102;114;0;8;19;19;19;13;10;6;8;0;9;6;11;11;17;18;16;26
;Psychiatrie;426.0;184;242;0;1;9;10;32;37;22;29;44;0;0;5;5;22;19;28;29;134
;Neuropsychiatrie;65.0;14;51;0;0;0;0;0;0;0;1;13;0;0;0;0;0;0;2;2;47
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";74.0;54;20;0;8;16;9;12;3;0;1;5;0;2;1;5;3;3;1;1;4
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";145.0;91;54;0;13;19;24;24;5;1;3;2;0;5;9;16;9;9;1;1;4
;Pneumologie;225.0;90;135;0;9;13;20;18;9;5;4;12;0;7;6;13;15;15;19;22;38
;Gastro-enterologie;266.0;89;177;0;14;22;12;9;8;9;5;10;0;6;4;16;19;22;28;24;58
;Cardiologie;441.0;117;324;0;17;19;20;17;15;12;10;7;0;16;18;27;35;34;45;37;112
;Inwendige geneeskunde;668.0;255;413;0;38;35;52;41;35;15;13;26;1;15;18;25;48;40;66;50;150
;Reumatologie;99.0;49;50;0;3;7;4;9;7;6;1;12;0;2;1;2;2;3;9;7;24
;Acute geneeskunde;136.0;60;76;0;0;1;6;22;15;6;8;2;0;1;2;2;16;20;18;8;9
;Gynaecologie-verloskunde;598.0;326;272;0;50;47;45;43;45;30;28;38;0;9;10;13;24;25;30;41;120
;Oftalmologie;382.0;222;160;2;23;24;26;21;20;25;18;63;4;14;10;14;11;19;14;19;55
;Otorhinolaryngologie;261.0;122;139;1;11;20;15;17;22;14;10;12;0;7;4;6;12;9;22;16;63
;Stomatologie;99.0;23;76;0;4;0;6;4;2;1;2;4;0;5;6;3;5;9;6;6;36
;Dermato-venereologie;266.0;187;79;4;20;23;20;21;26;21;14;38;0;2;4;4;4;5;10;9;41
;Pediatrie;680.0;446;234;0;66;62;66;63;46;38;28;77;0;10;11;16;15;20;16;20;126
;Fysische geneeskunde en revalidatie;200.0;98;102;0;12;11;13;14;14;9;7;18;0;5;7;10;4;7;11;16;42
;Klinische biologie;243.0;123;120;0;6;4;9;8;7;12;18;59;0;1;4;3;2;2;10;16;82
;Rontgendiagnose;643.0;195;448;0;22;25;25;22;27;33;16;25;0;27;30;27;29;46;60;58;171
;Radiotherapie - oncologie;74.0;39;35;0;4;7;2;4;2;6;6;8;0;2;3;5;7;5;1;4;8
;Nucleaire geneeskunde;130.0;51;79;0;2;3;5;5;6;17;4;9;0;1;2;3;4;5;8;8;48
;Pathologische anatomie;107.0;65;42;0;3;7;4;10;10;11;5;15;0;5;2;3;1;2;7;7;15
;Medische oncologie;100.0;52;48;0;7;12;2;9;11;2;3;6;0;4;3;3;5;9;8;6;10
;Klinische genetica;18.0;11;7;0;0;2;3;2;3;0;0;1;0;0;0;2;3;0;2;0;0
;Arbeidsgeneeskunde;330.0;200;130;0;0;3;25;48;25;30;34;35;0;1;1;5;13;13;10;18;69
;"Verzekeringsgeneeskunde en
medische expertise";249.0;75;174;0;0;0;2;4;11;9;26;23;0;0;0;1;6;9;24;41;93
"Brussels
Hoofdstedelijk Gewest";Alle specialiteiten;3901.0;1903;1998;7;266;266;269;189;189;173;172;372;5;160;141;164;165;166;200;227;770
;Geriatrie;33.0;23;10;0;3;6;7;2;2;1;2;0;0;0;1;1;1;1;1;3;2
;Urgentiegeneeskunde;46.0;24;22;0;8;9;3;1;1;2;0;0;0;4;7;6;1;2;1;1;0
;Gerechtelijke geneeskunde;2.0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;Beheer van gezondheidsgegevens;11.0;6;5;0;0;0;0;0;4;0;2;0;0;0;0;1;0;0;2;2;0
;Anesthesie-reanimatie;285.0;143;142;0;27;18;16;14;14;9;14;31;0;23;20;15;16;22;12;11;23
;Heelkunde;210.0;55;155;0;9;9;7;7;3;4;8;8;0;14;12;10;11;17;13;12;66
;Neurochirurgie;22.0;3;19;0;1;1;0;1;0;0;0;0;0;1;3;1;3;1;0;4;6
;"Plastische, reconstructieve en
esthetische heelkunde";39.0;10;29;0;2;2;3;0;0;1;1;1;0;1;2;3;6;2;1;4;10
;Urologie;47.0;5;42;0;1;1;2;1;0;0;0;0;0;7;3;3;3;1;5;3;17
;Orthopedische heelkunde;121.0;21;100;0;4;4;1;1;4;3;1;3;0;12;8;10;9;6;11;9;35
;Neurologie;86.0;47;39;0;7;7;10;4;7;4;5;3;1;5;4;5;7;7;5;2;3
;Psychiatrie;258.0;111;147;0;0;1;4;12;15;31;14;34;0;0;0;2;11;10;17;25;82
;Neuropsychiatrie;34.0;12;22;0;0;0;0;0;0;1;0;11;0;0;0;0;0;0;0;0;22
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";52.0;36;16;0;4;15;7;3;3;2;0;2;0;6;2;4;0;0;0;3;1
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";105.0;63;42;0;13;12;8;10;6;5;3;6;0;5;5;16;6;1;3;3;3
;Pneumologie;72.0;34;38;0;6;8;6;5;3;1;1;4;0;2;1;5;1;3;6;6;14
;Gastro-enterologie;104.0;38;66;0;5;4;7;7;3;4;1;7;0;4;6;8;5;6;6;6;25
;Cardiologie;198.0;70;128;0;6;14;13;6;8;4;11;8;0;9;10;14;13;10;21;11;40
;Inwendige geneeskunde;339.0;142;197;0;20;27;36;14;12;9;6;18;0;13;15;15;19;17;18;19;81
;Reumatologie;40.0;18;22;0;0;3;3;3;1;2;2;4;0;1;0;0;0;3;4;2;12
;Acute geneeskunde;36.0;20;16;1;2;4;1;3;4;1;2;2;0;0;1;1;1;3;4;2;4
;Gynaecologie-verloskunde;294.0;182;112;0;36;34;19;17;11;18;20;27;0;4;5;9;8;9;7;13;57
;Oftalmologie;172.0;106;66;2;17;14;14;7;6;5;11;30;3;8;3;4;12;3;7;6;20
;Otorhinolaryngologie;97.0;40;57;0;9;0;8;5;5;2;1;10;0;4;1;3;0;8;10;8;23
;Stomatologie;56.0;21;35;0;2;1;4;0;3;2;3;6;0;4;1;1;3;1;1;6;18
;Dermato-venereologie;137.0;100;37;4;15;3;12;9;10;11;7;29;1;1;2;2;2;3;6;4;16
;Pediatrie;337.0;236;101;0;33;30;44;23;18;23;11;54;0;5;9;6;6;9;3;8;55
;Fysische geneeskunde en revalidatie;42.0;26;16;0;6;1;5;3;4;4;0;3;0;0;1;0;1;0;1;7;6
;Klinische biologie;102.0;57;45;0;6;3;2;4;7;5;10;20;0;1;2;2;1;2;5;6;26
;Rontgendiagnose;213.0;89;124;0;10;14;13;1;19;6;11;15;0;14;11;10;6;13;13;16;41
;Radiotherapie - oncologie;23.0;18;5;0;0;4;0;5;2;1;2;4;0;2;1;0;0;0;0;1;1
;Nucleaire geneeskunde;46.0;15;31;0;1;3;3;1;0;2;2;3;0;5;3;1;5;0;2;2;13
;Pathologische anatomie;49.0;32;17;0;7;3;2;4;3;1;3;9;0;3;0;1;1;1;2;3;6
;Medische oncologie;57.0;30;27;0;4;10;5;3;2;2;1;3;0;2;1;2;6;3;3;3;7
;Klinische genetica;9.0;7;2;0;0;1;0;3;1;0;0;2;0;0;0;1;0;0;0;0;1
;Arbeidsgeneeskunde;80.0;44;36;0;1;0;4;7;6;7;10;9;0;0;0;1;0;0;6;8;21
;"Verzekeringsgeneeskunde en
medische expertise";47.0;18;29;0;0;0;0;3;2;0;7;6;0;0;0;1;1;2;4;8;13
Vlaams Brabant;Alle specialiteiten;4342.0;1998;2344;6;256;274;338;327;240;209;140;208;0;174;149;222;238;235;314;288;724
;Geriatrie;48.0;34;14;0;3;5;6;8;5;2;3;2;0;1;1;1;2;1;2;2;4
;Urgentiegeneeskunde;30.0;15;15;0;6;3;2;2;2;0;0;0;0;3;5;2;3;0;1;1;0
;Gerechtelijke geneeskunde;2.0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;Beheer van gezondheidsgegevens;11.0;6;5;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0;0;2;3
;Anesthesie-reanimatie;368.0;161;207;0;22;24;24;22;23;12;14;20;0;31;17;25;24;23;35;22;30
;Heelkunde;279.0;67;212;0;11;12;17;15;6;0;3;3;0;8;26;19;22;22;22;20;73
;Neurochirurgie;35.0;4;31;0;2;1;0;1;0;0;0;0;0;3;4;4;5;3;3;2;7
;"Plastische, reconstructieve en
esthetische heelkunde";37.0;12;25;0;2;2;1;4;2;1;0;0;0;1;1;2;4;5;5;1;6
;Urologie;67.0;9;58;0;1;2;3;0;2;1;0;0;0;5;11;2;7;3;9;6;15
;Orthopedische heelkunde;176.0;27;149;0;7;5;3;2;3;4;0;3;0;16;14;24;17;15;23;15;25
;Neurologie;92.0;48;44;0;12;5;8;2;11;3;4;3;0;3;3;6;6;4;3;6;13
;Psychiatrie;75.0;39;36;0;0;0;1;8;11;13;3;3;0;0;0;2;1;8;9;6;10
;Neuropsychiatrie;33.0;6;27;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;1;26
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";76.0;66;10;0;9;10;16;16;2;4;1;8;0;1;0;0;2;1;3;1;2
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";145.0;67;78;0;7;10;23;11;1;4;4;7;0;6;3;10;6;1;2;9;41
;Pneumologie;95.0;47;48;0;8;8;12;9;3;5;0;2;0;7;1;3;7;3;7;8;12
;Gastro-enterologie;113.0;44;69;0;7;10;9;9;4;2;2;1;0;7;5;7;5;9;9;10;17
;Cardiologie;187.0;36;151;0;3;7;8;8;4;2;2;2;0;12;16;22;13;21;21;17;29
;Inwendige geneeskunde;281.0;116;165;0;15;22;20;24;10;7;13;5;0;9;7;8;25;15;19;14;68
;Reumatologie;35.0;15;20;0;2;2;4;3;2;1;0;1;0;0;1;2;4;2;0;2;9
;Acute geneeskunde;52.0;23;29;0;6;6;2;3;5;1;0;0;0;2;2;3;6;10;5;0;1
;Gynaecologie-verloskunde;249.0;147;102;0;30;17;32;22;17;11;7;11;0;1;3;10;9;9;16;18;36
;Oftalmologie;200.0;134;66;2;16;14;19;15;16;14;11;27;0;3;2;8;6;7;7;11;22
;Otorhinolaryngologie;98.0;48;50;0;5;10;7;5;9;6;2;4;0;3;4;3;6;1;7;10;16
;Stomatologie;52.0;18;34;0;2;4;3;3;1;0;2;3;0;6;1;6;2;2;5;0;12
;Dermato-venereologie;141.0;108;33;4;11;12;19;18;10;10;6;18;0;2;2;1;5;6;4;2;11
;Pediatrie;310.0;217;93;0;26;39;34;33;30;22;8;25;0;5;5;8;5;10;10;18;32
;Fysische geneeskunde en revalidatie;89.0;41;48;0;6;4;7;7;2;7;4;4;0;5;1;3;3;3;3;3;27
;Klinische biologie;123.0;52;71;0;3;3;5;7;4;6;8;16;0;3;1;4;2;6;6;11;38
;Rontgendiagnose;303.0;106;197;0;15;13;11;18;15;17;6;11;0;23;11;20;20;20;33;19;51
;Radiotherapie - oncologie;43.0;28;15;0;6;2;3;6;5;5;1;0;0;2;1;3;1;1;4;2;1
;Nucleaire geneeskunde;50.0;24;26;0;2;7;4;1;6;2;0;2;0;1;0;3;3;4;5;2;8
;Pathologische anatomie;69.0;41;28;0;3;6;10;6;2;6;5;3;0;2;0;4;1;3;1;5;12
;Medische oncologie;45.0;25;20;0;4;5;4;2;3;5;1;1;0;3;0;2;4;4;3;1;3
;Klinische genetica;22.0;13;9;0;0;1;2;5;1;3;1;0;0;0;1;0;0;4;1;2;1
;Arbeidsgeneeskunde;213.0;115;98;0;3;2;18;27;18;17;16;14;0;0;0;5;9;4;19;20;41
;"Verzekeringsgeneeskunde en
medische expertise";98.0;38;60;0;0;1;1;5;5;13;9;4;0;0;0;0;3;5;12;19;21
West-Vlaanderen;Alle specialiteiten;2596.0;910;1686;3;142;117;148;140;107;91;49;113;0;93;102;125;157;137;203;201;668
;Geriatrie;44.0;25;19;0;7;2;5;5;1;2;1;2;0;1;2;1;1;0;3;2;9
;Urgentiegeneeskunde;14.0;8;6;0;2;5;1;0;0;0;0;0;0;5;0;0;1;0;0;0;0
;Beheer van gezondheidsgegevens;2.0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;Anesthesie-reanimatie;295.0;104;191;1;17;9;16;15;17;11;6;12;0;19;11;19;26;23;24;18;51
